,Unnamed: 0,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,SA_tau,t
111,111.0,0.00593780426749345,0.016332353134100152,0.0027067300748832,1500.1352102094934,0.011116900600698974,0.011026651250063451,1.0,1.0,0.0110672673718728,0.011188373365867,0.0,0.0,0.011402440008423675,10.050260225001695,0.005809902943712225,1500.0
112,112.0,0.005881370329184,0.016314769147256176,0.0026963894625465,1500.1153346295032,0.011119102946393575,0.010909348961002926,1.0,1.0,0.01121691557914595,0.0110027588633771,0.0,0.0,0.01142684963037925,15.57554534025985,0.00573510702424185,1749.0
113,113.0,0.00587807807805315,0.0163116915340538,0.0026963510417667,1500.1399971152566,0.011119467662405276,0.01100355008165915,1.0,1.0,0.011165881545796825,0.0110027588633771,0.0,0.0,0.011423523273551998,15.885526861246035,0.005746570359536325,1750.0
114,114.0,0.00589682225031425,0.016297875766574748,0.0026874223090797,1500.1387578547512,0.011146301329005601,0.0109989617575462,1.0,1.0,0.011328537598740775,0.011019554557555825,0.0,0.0,0.011436529438224149,14.904478263495548,0.005724318087955425,1999.0
115,115.0,0.0058535583267581,0.0162924330163446,0.0026873887919232,1500.1051421264854,0.011145462475512674,0.010998560230628951,1.0,1.0,0.011335013686842425,0.011019554557555825,0.0,0.0,0.011433803921102624,13.4713945117619,0.00571148299429745,2000.0
116,116.0,-0.011615453722181925,-0.0056951185773805,0.0028816883091887,0.058544093757518526,0.0265352167787701,0.028309323019586323,0.0,0.0,0.03412149758097832,0.0357434783180756,0.0,0.0,-0.012279237701597324,0.038285931994323605,-0.012279237701597324,0.0
117,117.0,-0.00789281268759595,-0.002220254281752025,0.0028685833508644,0.051090132255922,0.0239463802085382,0.025688660423372,0.0,0.0,0.030087419057045574,0.031289222325976154,0.0,0.0,-0.008644025379664626,0.02754783650016175,-0.008644025379664626,1.0
118,118.0,-0.004396526864513425,0.001957837335969775,0.0028396524679204,0.059323443510947926,0.0188058154491486,0.018566887653539924,0.0,0.0,0.021979282163677002,0.024092306870084124,0.0,0.0,-0.004721750769496425,0.05488523824897125,-0.004901487894379675,4.0
119,119.0,-0.00244262338077025,0.0027978088550758,0.0028321826288577,0.08894499024972896,0.017156152355275074,0.017316496465339924,0.0,0.0,0.019320182694188875,0.0211410671839979,0.0,0.0,-0.00331617355013205,0.059431030505948,-0.003893297081812525,5.0
120,120.0,-0.002009874011128025,0.003774003668905175,0.0028084587783678,0.1502818962471792,0.015957223847046648,0.0165610744524787,0.0,0.0,0.017370209452732575,0.017567331763224777,0.0,0.0,-0.0022058780216890747,0.08035757924517377,-0.002544331997162475,9.0
121,121.0,-0.0017513807606643,0.00406923566063655,0.0028036188626745,0.1478107254952192,0.015861631332177575,0.0171571931343842,0.0,0.0,0.0171029353609013,0.0176313024096907,0.0,0.0,-0.001895969893261376,0.08742549875023535,-0.002752244517735825,10.0
122,122.0,-0.001774811617092875,0.00602262382598055,0.0027870991233383,0.1751266232531634,0.01574031512250345,0.016589759498530875,0.0,0.0,0.016660633130474452,0.01741878621341705,0.0,0.0,-2.0792145194750103e-06,0.09695703999750543,-0.001983019543074325,14.0
123,123.0,-0.001293881442200325,0.006074300371234875,0.0027835274264834,0.27957610500016017,0.01591223749201355,0.01682775137296915,0.0,0.0,0.0166649509224405,0.018104091653914852,0.0,0.0,0.0004121385384788,0.10683157900712098,-0.001347081921157625,15.0
124,124.0,-0.0007498785081963999,0.006641174038529325,0.0027708688711488,0.3207816247522714,0.01635987513676395,0.0159346569701059,0.0,0.0,0.01650612246306005,0.01590931611173645,0.0,0.0,0.00102191353335535,0.13852582649997203,-0.00079911045097195,19.0
125,125.0,-1.7404566415549986e-05,0.00728182131976275,0.0027680425037717,0.40041778924569366,0.01587429503206715,0.016173074454358276,0.0,0.0,0.016548239678002577,0.01608135932270965,0.0,0.0,0.001448926803608925,0.131711442998494,-0.000318574394767325,20.0
126,126.0,0.0034008361684758,0.010994617262303275,0.0027140146491927,3.232133263991273,0.0132306840419576,0.013383539754734075,0.0,0.0,0.013536100225588776,0.013262946872732025,0.0,0.0,0.00547565178476995,0.3291980900012277,0.002964940240604125,50.0
127,127.0,0.0032117074319203253,0.010965693944001825,0.0027127923623134,4.661350815735204,0.012868262407682924,0.013415175526565501,0.0,0.0,0.013409989656499526,0.013286377214799725,0.0,0.0,0.005638420135150775,0.34994857674428204,0.003095601188699875,51.0
128,128.0,0.004492741902968301,0.0128339329899772,0.0026704934816285,16.059100082242367,0.01256444080044715,0.012198958635623251,0.0,0.0,0.012641894692237676,0.0123389555729188,0.0,0.0,0.007788455462119175,0.45746864900138456,0.00452573090652395,100.0
129,129.0,0.004580190266147675,0.0128152985109215,0.0026698607335035,14.693684958248923,0.012568561548074349,0.0121661082226113,0.0,0.0,0.012432402816680175,0.012175861926133076,0.0,0.0,0.007773558124676399,0.38469034000081587,0.0044060284428697,101.0
130,130.0,0.00493316584500975,0.014071410973752025,0.0026446180775015,26.96062549825365,0.012150622304186924,0.0123007420552381,0.25,1.0,0.0122791239335709,0.012314825455481376,0.0,0.0,0.0087998533507793,0.8780148284931784,0.004896719480476175,150.0
131,131.0,0.0051112489603479,0.014052023944391576,0.0026441929304578,24.229049608999052,0.012145237169790525,0.012471651441686899,0.25,1.0,0.012335169949162625,0.012314825455481376,0.0,0.0,0.0087756293777863,0.8498782054921321,0.004857340404998225,151.0
132,132.0,0.0050204767641522,0.014294039602256675,0.0026261976488873,42.59263892900344,0.0119711433066129,0.011993676990488774,1.0,1.0,0.012205758697980325,0.01229578960342555,0.0,0.0,0.0093011510005093,0.965559583499271,0.0053093794044048,200.0
133,133.0,0.0051189992816640505,0.014370062917911,0.0026258781789247,61.39072067200141,0.011971565189706851,0.011915751778513626,1.0,1.0,0.012290835890517025,0.01229578960342555,0.0,0.0,0.009370124794665476,1.0449587109978893,0.005308754870223975,201.0
134,134.0,0.005242159003247674,0.0143901132654621,0.0026119072459353,92.28300426949863,0.011853719380021801,0.011727174803032725,1.0,1.0,0.011922385961810625,0.011847978008207749,0.0,0.0,0.009549200998611476,0.8259991830054787,0.0051850960420599754,250.0
135,135.0,0.005230123853193425,0.014404067297275749,0.0026116516898883,130.33382727800927,0.01179895302170735,0.011626883731228426,1.0,1.0,0.0119172117358116,0.011847978008207749,0.0,0.0,0.009533170173651625,1.2731817117528408,0.005187980895894825,251.0
136,136.0,0.0051962954213772,0.0147449619494085,0.0026002419392422,117.57124862850105,0.011568165131703775,0.0116939308260309,1.0,1.0,0.011900816959366425,0.011764734265383676,0.0,0.0,0.009713930527410451,1.1994929857501118,0.005086630792103625,300.0
137,137.0,0.005099232987525525,0.0147271157344447,0.0026000291620023,124.7306795077493,0.011567402246897875,0.011701559067008475,1.0,1.0,0.01171465126116205,0.011764734265383676,0.0,0.0,0.009699439996367425,1.5708938007519464,0.005086630792103625,301.0
138,138.0,0.00525866918457855,0.014898644425121225,0.0025903923324014,139.04040411674214,0.011596984685084575,0.01176251965608505,1.0,1.0,0.011892163083336025,0.012000558282242701,0.0,0.0,0.010112946018974575,1.3704894534967027,0.005265853322975425,350.0
139,139.0,0.0052549450261673,0.014886019965938151,0.0025902101732621,170.9658115417551,0.011596790597439776,0.011741743371925451,1.0,1.0,0.011849265563870327,0.011999436763166726,0.0,0.0,0.0100997393063141,1.5160340817528777,0.0052727486044463,351.0
140,140.0,0.005613805234497475,0.0149788499715521,0.0025818730192419,215.12139887674857,0.01194987868467515,0.011526734118883525,1.0,1.0,0.01190256813544165,0.011883079539622851,0.0,0.0,0.010216800241813252,1.8654971332580317,0.00536023918607615,400.0
141,141.0,0.00560290540594585,0.01505049026805845,0.0025817138457067,189.7637047594981,0.011920404272398225,0.011526830975320975,1.0,1.0,0.0118987664204303,0.011883079539622851,0.0,0.0,0.0102060846835024,1.6362276412546635,0.005320248223943251,401.0
142,142.0,0.00560818990220865,0.015133327683835726,0.0025743700237022,289.63598468374767,0.011659095616701049,0.01145702866505835,1.0,1.0,0.011749165360706373,0.011411714516734225,0.0,0.0,0.010399094864710499,1.8152169837449037,0.0054370539883105,450.0
143,143.0,0.005620727422890675,0.0151555486889841,0.0025742287338881,337.4812956995047,0.011648480530222424,0.011455452535286674,1.0,1.0,0.011749165360706373,0.0113760348771786,0.0,0.0,0.010401039605934276,2.237109228510235,0.005486097247009224,451.0
144,144.0,0.00549442060130905,0.015231636688971201,0.0025676686007199,479.5178712190064,0.011973999162682025,0.011929846954701074,1.0,1.0,0.011781229254794875,0.011661075099129949,0.0,0.0,0.010479568257847875,2.3419253479987674,0.00555098731192815,500.0
145,145.0,0.005488525884480025,0.015240909803762,0.0025675416172409,512.6757714647501,0.011973662281481775,0.011931034069881,1.0,1.0,0.011780789373756151,0.011661075099129949,0.0,0.0,0.01046959443796745,2.4388932617475803,0.005530256083231825,501.0
