,Unnamed: 0,obj_values,MRO_obj_values,SAA_obj_values,epsilon,online_time,MRO_time,SAA_time,MRO_mean_val,MRO_square_val,MRO_sig_val,SAA_mean_val,SAA_square_val,SAA_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,SAA_worst_values,worst_times,MRO_worst_times,SAA_worst_times,worst_values_regret,MRO_worst_values_regret,SAA_worst_values_regret,worst_times_regret,MRO_worst_times_regret,SAA_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,SAA_eval0,SAA_eval1,SAA_satisfy0,SAA_satisfy1,SAA_worst_satisfy0,SAA_worst_satisfy1
0,0.0,-0.01831483153852555,-0.018314831538525474,-0.04712529776884705,0.0184536166918117,0.08740250195974725,0.080076136,0.0043307235,4.214684851089404e-09,3.894365213487229e-34,5.0340889016912435e-20,4.214684851089404e-09,3.894365213487229e-34,5.896480623540011e-20,4.214684851089404e-09,3.894365213487229e-34,5.0340889016911755e-20,-0.018314832521753675,-0.0183148325217537,0.014127075064444924,0.000313222408294625,0.000192821025848325,0.000239908695220875,0.0,0.0,0.0,4.2319297790527344e-05,3.331899642944336e-05,3.153085708618164e-05,0.0,0.107430369610574,1.1409601940320924e-08,0.037730215528395776,0.0418686352507989,0.0,0.0,0.0377302155283961,0.04186863525079802,0.0,0.0,0.0,0.0,0.0,0.0,0.07598944988405085,0.07611725751353438,0.0,0.0,0.0,0.0
1,1.0,-0.015789999485783322,-0.0157899994857842,-0.038594610473925726,0.0182861565352365,0.09882579693548575,0.09803280325,0.004473064,3.512237375907836e-09,4.419841999113752e-34,6.583946730925628e-20,3.512237375907836e-09,4.419841999113752e-34,1.622108850760036e-19,4.057793509173355e-09,3.24530434457269e-34,5.890177215672502e-20,-0.015789999565045374,-0.015789999565045197,0.01259307971475835,0.000318646430969225,0.00021964311599727502,0.00027281045913687496,-0.007502593710972925,-0.007502593710972925,0.04807406518738495,0.0002355575561523,0.0001945495605468,0.0001964569091796,1.0,0.15235619556216717,0.14670385750332599,0.017247661706723,0.024636660594759673,1.0,1.0,0.01724766170672295,0.024636660594758976,1.0,1.0,1.0,1.0,1.0,1.0,0.06222195575274162,0.06521270304614529,0.0,0.0,0.0,0.0
2,2.0,-0.0157899988652688,-0.01578999886528705,-0.03436921008865031,0.0179191691968152,0.16039714576937864,0.1629262915,0.0057945965,4.236439361321673e-09,4.282301379560232e-34,6.516432387384768e-20,4.236439361321673e-09,4.282301379560232e-34,1.538470186804889e-19,4.276256124040794e-09,2.1635362297151268e-34,2.0172040388624133e-20,-0.01578999920748985,-0.015789999207500127,0.008510955608795225,0.000400125980377175,0.000274837017059325,0.00035703182220455,-0.00096757348933585,-0.000967573489294625,0.0454921710079771,0.0002827644348144,0.0002722740173339,0.00027143955230705003,4.0,0.12930243307316464,0.16519440447529646,0.00453601740687295,0.0055360043530739995,1.0,1.0,0.0045360174068791,0.0055360043530871,1.0,1.0,1.0,1.0,1.0,1.0,0.02897873794954205,0.024797308887252924,0.0,0.0,0.0,0.0
3,3.0,-0.015789998806899623,-0.015789998806910198,-0.032579441387278425,0.0178250187626749,0.17930545052264402,0.1806266385,0.00620767225,4.135347139192475e-09,4.498652420933907e-34,5.386593611975313e-20,4.135347139192475e-09,4.498652420933907e-34,1.6693834117195638e-19,4.135347139192475e-09,1.9471826067436144e-34,1.183885979414092e-20,-0.01578999910186835,-0.0157899991018731,0.00708566109259395,0.00042390823364249995,0.00030189752578727497,0.00038397312164305003,-0.015789997450553626,-0.015789997450562875,0.01331916284062045,0.00029814243316644997,0.000293433666229225,0.000297605991363475,5.0,0.12101612322823192,0.16121390368839372,0.001438324444580075,0.0034835238188032,1.0,1.0,0.001438324444428725,0.0034835238186126,1.0,1.0,1.0,1.0,1.0,1.0,0.01846569506764585,0.019435112595042374,0.0,0.0,0.0,0.0
4,4.0,-0.0157899978927482,-0.015789997892776075,-0.029299177586732623,0.0175276460217592,0.27445612647756956,0.27482061325,0.007465164,3.51015697245361e-09,4.83854754394849e-34,4.329521198978533e-20,3.51015697245361e-09,4.83854754394849e-34,1.673330017589568e-19,3.523762919838749e-09,1.3908447191025814e-34,7.09254137875805e-21,-0.015789998690118077,-0.015789998690111377,0.004877036154598474,0.000511586666107125,0.000406205654144225,0.0004870891571044,-0.014140154938702326,-0.0141401549387023,0.0250108664659584,0.000398874282836875,0.000410258769988925,0.00040519237518305,9.0,0.0971564173697167,0.13742467972960334,-0.008051037542197274,-0.0065603320950662,1.0,1.0,-0.008051037542207925,-0.006560332095073,1.0,1.0,1.0,1.0,1.0,1.0,0.00808105930526245,0.007194887509478775,0.0,0.0,0.0,0.0
5,5.0,-0.015789998494946476,-0.0157899984949679,-0.028663649590355476,0.0174672860603206,0.24486280929473875,0.25680100925,0.0077883575,3.585490886283396e-09,4.762802195222832e-34,1.1595634193292712e-25,3.585490886283396e-09,4.762802195222832e-34,1.425635353169674e-19,3.597458544929467e-09,1.298121737829076e-34,1.0535323052898995e-26,-0.015789998845550424,-0.015789998845291423,0.005227041039074,0.0005363225936889249,0.00042992830276484997,0.0005052685737609499,-0.015789995866560776,-0.0157899958666346,0.008302357985441575,0.000424444675445475,0.00042814016342159996,0.00042134523391717496,10.0,0.0902994397901115,0.13189777341967884,-0.015789998265865874,-0.015789996853130678,1.0,1.0,-0.01578999826585195,-0.015789996853079274,1.0,1.0,1.0,1.0,1.0,1.0,0.0034609123684362503,0.005849239494188949,0.0,0.0,0.0,0.0
6,6.0,-0.015789995987075024,-0.015789996948419326,-0.028293533784926498,0.0172620478295848,0.2313632522658081,0.23389825652508542,0.010297084231628374,0.07401598579427345,0.017790790994553926,0.0008592559037004,0.07401598579427345,0.017790790994553926,0.001649106530284875,0.09584380067349615,0.027115018322318926,0.00128600384717925,-0.0157899974976946,-0.01578999833214905,0.0075069995201986,0.0006267428398132,0.0005349516868591001,0.0005838871002197,-0.015789998127906824,-0.015789998127871723,0.014845453761490851,0.0005178451538085,0.00052225589752195,0.000520646572113025,14.0,0.07102123939131941,0.11296258356034353,-0.015789998537412975,-0.0157899985019897,1.0,1.0,-0.015789998352872325,-0.01578999824914965,1.0,1.0,1.0,1.0,1.0,1.0,0.00011251932882361586,0.002832136098518,0.0,0.0,0.0,0.0
7,7.0,-0.0157899975086014,-0.0157899982162203,-0.0290033634440379,0.0172178331866346,0.23102964336782833,0.2417009263775024,0.010774058597442598,0.08708481940752788,0.022650931561995425,0.0010103111917254752,0.08708481940752788,0.022650931561995425,0.001830412819456475,0.11310929222400248,0.03378386297898365,0.00146024742476025,-0.015789998192762923,-0.0157899987922273,0.0092700526454456,0.0006443858146667,0.00055634975433345,0.0006067752838134,-0.015789997393783423,-0.015789998254834726,0.0094515875507907,0.000542581081390325,0.00055253505706785,0.0005373954772949,15.0,0.06760547259392742,0.12247061182288385,-0.015789998811675574,-0.015789998813079,1.0,1.0,-0.015789998638120726,-0.01578999856939755,1.0,1.0,1.0,1.0,1.0,1.0,-0.00087812021986935,-0.001549529155335025,0.0,0.0,0.0,0.0
8,8.0,-0.01578999815944845,-0.01578999589127335,-0.02890359774365745,0.0170615873357821,0.2360546843991699,0.23566346911813352,0.010716816560821475,0.13584971880526026,0.037920650628867424,0.0018668112319166499,0.13584971880526026,0.037920650628867424,0.002405165785250725,0.15837441776513594,0.049765665242619654,0.0022994156279928504,-0.015789998522950825,-0.01578999779254825,0.011111681011705626,0.000732421874999975,0.0006669759750366,0.00069415569305415,-0.015789997368926077,-0.01578999835120385,0.012037379898193675,0.0006552338600158501,0.000653624534606925,0.00064861774444575,19.0,0.055681350994196604,0.11689860773730855,-0.015789999097387476,-0.0157899990871334,1.0,1.0,-0.0157899992295452,-0.015789999209853724,1.0,1.0,1.0,1.0,1.0,1.0,-0.00234955871380345,-0.0005861392652516751,0.0,0.0,0.0,0.0
9,9.0,-0.015789998367368697,-0.015789997411490602,-0.0281185985154597,0.0170267984504156,0.23177688627307122,0.23775079321606443,0.010738131201721174,0.14464114979113302,0.04167702759266085,0.002074123445836775,0.14464114979113302,0.04167702759266085,0.0029433777057376754,0.16723984138238246,0.05380275408153165,0.0022876818551898753,-0.015789998762691423,-0.015789998257198325,0.011306077417556801,0.0007534027099609,0.000680863857269225,0.0007079839706420499,-0.015789998504790327,-0.01578999751166625,0.01205111294753345,0.0006734132766723499,0.000671148300170875,0.0006596446037292251,20.0,0.053371754134221926,0.1287522950050034,-0.0157899989796088,-0.015789998728582225,1.0,1.0,-0.0157899993387648,-0.01578999934137525,1.0,1.0,1.0,1.0,1.0,1.0,-0.002789457259869925,-0.003056532660454225,0.0,0.0,0.0,0.0
10,10.0,-0.015789998158294776,-0.015789996526601176,-0.0262771112835756,0.0158478565231565,0.23427614889144893,0.21484227659875485,0.011476199546020426,0.3204135858585241,0.10689669143619392,0.005374925064555575,0.3204135858585241,0.10689669143619392,0.00636774255950755,0.3181272703861364,0.11760515037664154,0.005252141731561775,-0.01578999860821005,-0.015789997939941,0.0184896639952364,0.00274634361267085,0.002595067024230925,0.0025427937507629,-0.0157899978778214,-0.015789997138229376,0.02279868454967585,0.00257432460784905,0.0025372505187988,0.002498686313629075,100.0,0.012851235612017751,0.0312996938762117,-0.015789998315306,-0.015789998331317074,1.0,1.0,-0.0157899991207191,-0.015789999210060274,1.0,1.0,1.0,1.0,1.0,1.0,-0.005949645710666749,-0.004275938347748275,0.0,0.0,1.0,1.0
