,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
0,0.0,-0.011584471459376376,-0.0115844714593762,0.0086450649275663,0.042717973894958475,0.0015500066160583,0.0,2.3668800450434203e-35,8.22745933727713e-27,0.0,2.3668800450434203e-35,8.22744925745167e-27,0.026248725300747375,0.0262487253010469,5.328e-05,5.60725e-05,3.4675512368885007e-10,3.4675512368885007e-10,5.2435e-05,5.24475e-05,0.0,0.0682781376015031,0.034580260330233176,0.036032664935966824,0.03774590105435495,0.0,0.0,0.03603266493596667,0.037745901054353825,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,-0.011607518602269176,-0.01160751860226895,0.0086057500525932,0.00152705568273925,0.00145855109207145,3.425880616509895e-10,2.082495706753033e-35,2.2954264422073877e-20,5.487870899855993e-11,1.972400037536184e-35,1.9259088831231587e-27,0.03292896166782475,0.03292896166782537,5.177e-05,5.3595000000000004e-05,0.032931172183581575,0.03293117218444215,5.444e-05,5.4435e-05,1.0,0.0765343446148373,0.06059631123065995,0.036032662200415524,0.0377458971749205,0.0,0.0,0.03603266220044375,0.0377458971749415,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,-0.011624408163556725,-0.011624408163557075,0.0085189574037614,0.0015780118226623,0.001615824365539475,1.6149756103131312e-10,1.928960791585811e-35,3.3612353923615334e-20,5.174014303419325e-11,1.3149333583574558e-35,1.9573412048496413e-27,0.03666826944298253,0.036668269442982654,5.59775e-05,5.988e-05,0.036525830099334605,0.0365258300993757,5.8775e-05,5.996e-05,4.0,0.062315186080120676,0.05587004404474475,0.03608928781564785,0.037802825775561946,0.0,0.0,0.03608928781566112,0.0378028257755716,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,-0.011562467575297952,-0.0115624675752855,0.0084965478865733,0.0019379352539061999,0.001845586680450375,2.634178031930877e-10,2.1524096586316184e-35,9.65035812337276e-21,2.0555283699059367e-10,1.1834400225217101e-35,1.8876875383283225e-28,0.0410735851971712,0.0410735851971535,6.15225e-05,6.46175e-05,0.037015789511807846,0.03701578951180745,6.513250000000001e-05,6.557500000000001e-05,5.0,0.06102315159259545,0.05499710085867445,0.036195306634736676,0.037910029728108224,0.0,0.0,0.03619530663473755,0.03791002972810865,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,-0.011598245294379524,-0.011598245294360175,0.0084253763351036,0.00214097950335685,0.002093489442962625,3.025471844260649e-10,2.2336771830193295e-35,3.216221173865518e-20,2.66092164175851e-10,8.453143018012216e-36,3.06660358809868e-28,0.042329620078853894,0.04232962007885395,6.95425e-05,7.08625e-05,0.04232961905857865,0.042329619058579945,7.32575e-05,7.21275e-05,9.0,0.048746311441393,0.046766463933551126,0.036042514749837495,0.03775580619832328,0.0,0.0,0.036042514749838925,0.03775580619832322,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,-0.011605544633856275,-0.01160554463385615,0.0084108565880235,0.002423947067108125,0.002266729984436,3.812287923618385e-10,2.485495561092377e-35,7.311508155295972e-20,2.483526865641276e-10,7.889600150144734e-36,3.3226078425850686e-28,0.04087251025431523,0.040872510254317825,7.484e-05,7.66475e-05,0.0408725103889616,0.04087251038896157,7.74875e-05,7.731e-05,10.0,0.04639572296803843,0.046242499697709896,0.036042519960591754,0.03775581272514983,0.0,0.0,0.0360425199605963,0.0377558127251498,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,-0.011612214033948425,-0.0116122140339511,0.0083972969238312,0.001040449057830775,0.001407603359497025,0.00682411103346455,0.0003740606284909,9.834076931281271e-05,0.006824111079616975,0.0003740606284909,9.834076931281541e-05,0.0449313379749066,0.044931337974908225,7.622e-05,7.74975e-05,0.044931338173099425,0.04493133817310245,7.842750000000001e-05,7.862e-05,11.0,0.044313072313618196,0.04427535354653167,0.036042521195642975,0.0377558127563912,0.0,0.0,0.036042521195642926,0.03775581275639092,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,-0.011589094681975949,-0.01158909468199075,0.0083612973700149,0.0009716337898253999,0.0013301155775451,0.025860358957141574,0.001837924357904,0.000775590332178075,0.025860358998980176,0.001837924357904,0.000954294254221675,0.0511855171561759,0.05118551715621833,8.316500000000001e-05,8.543e-05,0.05118551663387165,0.05118551663387358,8.534499999999999e-05,8.716e-05,14.0,0.037500231983128976,0.037324834981600497,0.03604251664856745,0.03775581078648415,0.0,0.0,0.03604251664855875,0.0377558107864819,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,-0.011592315120473175,-0.011592315120447325,0.0083505822794503,0.0009874378070068,0.00140673323791495,0.030401977089924023,0.002136254528677225,0.0010455551205185,0.030401977046182624,0.002136254528677225,0.001055734274676025,0.04965641873263335,0.04965641873256365,8.78975e-05,8.8755e-05,0.049656414581209625,0.04965641458125982,9.04925e-05,9.00225e-05,15.0,0.036430813820295796,0.0363133014191028,0.036092033000198226,0.03780664986675587,0.0,0.0,0.03609203300171833,0.037806649868245876,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,-0.011609748572583475,-0.01160974857258325,0.0083126066134466,0.0008652511371154,0.0014485510739440251,0.04436445583388345,0.003394560575284425,0.0017616090328041749,0.04300917812716343,0.003456142526761225,0.001680508190636925,0.05010842942597915,0.05010842258697098,9.16375e-05,9.31525e-05,0.05010842235646205,0.05010842235640708,9.51375e-05,9.429999999999999e-05,19.0,0.03093005712737995,0.030593064050768178,0.036135152729880354,0.03785047878205448,0.0,0.0,0.036135156381588075,0.03785048340744375,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,-0.011613555675787025,-0.011613555693211675,0.0083041275113152,0.000967674676422075,0.00147261877368155,0.04614764401802475,0.0036110465961889248,0.001832817705440025,0.04613652342059993,0.003868047976042175,0.0017205537216177002,0.05024010827083015,0.050240107262783225,9.532e-05,9.752e-05,0.050240109046314776,0.05024010634390705,9.642750000000001e-05,9.65725e-05,20.0,0.030417330353664375,0.030076326993129975,0.03617941067220412,0.037896445035785445,0.0,0.0,0.036177884371590155,0.037894841269127,0.0,0.0,0.0,0.0,0.0,0.0
11,11.0,-0.011617324572577924,-0.011617325623762475,0.0082959891567904,0.0009820157991027,0.001503377138977,0.049547614311525254,0.003987863100824,0.001853490924801625,0.04951553564412457,0.004141851999831825,0.0018357720262286502,0.05007032328996105,0.05007032328998873,0.0001002875,0.00010446,0.0498805376968845,0.0498805368421429,0.0001041375,0.00010477,21.0,0.029895440928147,0.029656457238808727,0.03669198100443775,0.038708765477036874,0.0,0.0,0.03669193212103662,0.03870863863645893,0.0,0.0,0.0,0.0,0.0,0.0
12,12.0,-0.011520133463947976,-0.0115482183198199,0.0082345677740582,0.000890523596954275,0.00154607946487425,0.06617180144762444,0.0057781863389355995,0.002491466316914225,0.0659154379125671,0.0058647239536641,0.002455843522999075,0.0589150540443989,0.0590401261557593,0.00012111275,0.00011867249999999999,0.055444891709785775,0.05544488850563882,0.0001190675,0.0001203425,30.0,0.022414430510675827,0.022114563334522448,0.036324291522785046,0.03880862498191775,0.0,0.0,0.03620687298986465,0.03861144721034695,0.0,0.0,0.0,0.0,0.0,0.0
13,13.0,-0.011525031120167801,-0.011551829945462175,0.0082287704408564,0.0009332155480041,0.001467127638702375,0.0683414085751052,0.0060196617892795505,0.002595364200863175,0.0670701210894611,0.0060658732279124244,0.002484782130044625,0.05484249185663445,0.054842490672281724,0.0001271275,0.00013065250000000002,0.0587314144725989,0.05882349639158462,0.000126115,0.0001270725,31.0,0.022280822331806074,0.022011744490062775,0.036326017886532225,0.03796010355916698,0.0,0.0,0.03627786621270887,0.03796010355743483,0.0,0.0,0.0,0.0,0.0,0.0
14,14.0,-0.011513329062891701,-0.0115133277689258,0.0081829933189655,0.000904705570983825,0.001416334517120275,0.07690556774357007,0.007260034240609325,0.00292590849490555,0.07609197001263673,0.0071618522460012,0.002771946529534175,0.05295203649150175,0.05295203642638555,0.0001418225,0.0001504325,0.052952034302061704,0.052952034038665524,0.0001457475,0.000146775,40.0,0.018252210198921898,0.017898208249269052,0.03631731494729808,0.03796010435680272,0.0,0.0,0.03622369020898807,0.037941762371101674,0.0,0.0,0.0,0.0,0.0,0.0
