,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.0,0.01917831887618826,0.019055646499350508,0.005621278256416602,3.1052765798696784,3.4904482537007424,0.05575884049279749,0.0037657281176458357,3.0200140843467636e-20,0.05575494579732716,0.00380718322532108,1.478772909293051e-20,0.02317377418253306,0.022966244742740987,0.000188709195936045,0.00017646509804758,0.0,0.0,0.00017704103374849002,0.00024948446662159505,0.0,0.017940381768590384,0.019326008091832558,0.018692974355550306,0.018739599397994935,0.7,0.55,0.6,0.6,0.018309524990247083,0.01966142655504122,0.019177470205939066,0.019093866135972064,0.7,0.6,0.65,0.65,0.9,0.85,0.9,0.9,1.0,0.9,0.95,0.95
1,1.0,0.01911475232069522,0.019156858110316963,0.0056194232945721,3.7647445582377257,4.265010233339853,0.0561660851317272,0.003809047248573949,2.826506062718629e-20,0.05614213492672644,0.0038417843043277848,-1.0541681545275819e-20,0.02331581724281772,0.0230932607665728,0.0008451748057268151,0.00074687455198721,0.023242809528321137,0.023078102195618632,0.00019942533108400503,0.00018696270417418,1.0,0.017969603124226456,0.019345670055844325,0.018713822359933654,0.018741842663858036,0.75,0.6,0.6,0.6,0.01841066467613336,0.01978073167547808,0.019268903803985736,0.019206069168382713,0.7,0.65,0.65,0.65,0.9,0.8,0.85,0.9,1.0,0.85,0.9,0.9
2,2.0,0.021287702123231694,0.021416454501563865,0.005519288080199098,5.1085667072504295,4.3237010676704815,0.07328976086363137,0.006044806744941495,-2.786233309258738e-20,0.07449721078820035,0.00629770109690139,1.8675580871192172e-20,0.026162668241111846,0.02572738329644549,0.00035204159212294495,0.00028037565643892505,0.028983948750951234,0.029092792796022178,0.000739675696240695,0.000292642135173035,100.0,0.016085487974255294,0.01684975394953792,0.01648433003004248,0.016387814582783794,0.95,0.95,0.95,0.95,0.01645884600882659,0.017352464998682048,0.016966166776283133,0.01688710434490212,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3.0,0.021303783825238023,0.021412164001153193,0.005518676894951401,4.102168914914364,4.8775651854346505,0.0733134243894487,0.006046600561940705,2.381116596921194e-20,0.07454485502957338,0.006303617937717411,1.193642156178154e-19,0.02611450627929096,0.02570518393284128,0.004234052298124825,0.002254584501497405,0.026224279764689096,0.025732612088123434,0.00050599438836793,0.00034029509406532,101.0,0.016036203655436496,0.01679302045120184,0.016435532550671685,0.01632768808804575,0.95,0.95,0.95,0.95,0.016388965473636573,0.017283203235127213,0.016893736823646595,0.016817069177525245,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.0,0.021495634730864334,0.02202026402625301,0.005472497647822202,5.695929723186419,4.134743924386567,0.07767802995137231,0.006881639929099815,9.80885969428805e-20,0.07963325734257615,0.00720769447846193,3.176252450808473e-20,0.02710595860384594,0.026538066277307072,0.00034832996316249,0.00161531659541647,0.027369163296686615,0.027008905979686408,0.00055967146181497,0.00034700420219446,200.0,0.01592172861643756,0.016629356672072736,0.0162376700940082,0.016187150774560698,1.0,0.95,1.0,1.0,0.01676550768380993,0.017678066945890875,0.017250278052255714,0.01715243894688668,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.0,0.021472688719445358,0.022009158145720534,0.005472133554484397,5.86408731447882,4.9660782875551375,0.0776810101722061,0.0068803984514592045,5.857173868149212e-20,0.07964441553937027,0.007208707598765765,-9.81784885629302e-24,0.027134705921512504,0.02654592297273291,0.00066078398376698,0.00040919264429243007,0.027086615614012405,0.02651631151998824,0.00083188159624109,0.000342753098811895,201.0,0.015951964746075874,0.016656757472820756,0.016251728440298697,0.016213999846960318,1.0,0.95,1.0,1.0,0.01678653986007754,0.01770854153406875,0.01727371614411361,0.017178982513906288,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6.0,0.021518736113358933,0.022305656302689405,0.005441894478605601,7.1792140401317734,5.716450646403246,0.07830190304581294,0.0069097673278931595,-2.741482636141909e-21,0.08124409415971655,0.0074663136614118,9.097492680216787e-20,0.027377731546201274,0.02670471270096187,0.0027399904560297256,0.0004472398781217151,0.027824036475186897,0.027190341103253978,0.0005378782574552599,0.001294522441457905,300.0,0.015488859279563786,0.01612953342632805,0.015859001515891886,0.015712291068457573,1.0,1.0,1.0,1.0,0.01606594869503033,0.016876259951813452,0.016509210801384823,0.01634323170598457,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0,0.0215748533379474,0.02239323491920658,0.0054416357164188,6.354605551465648,5.765044886246324,0.0783047085344705,0.006918275450804786,5.0461650825292014e-21,0.08125818648306345,0.0074749899569005445,1.2392125556410294e-19,0.02740854246608624,0.026756551812744993,0.00137499844422559,0.001307656860444645,0.027561230470814723,0.026783014162442213,0.0027430774935055,0.00042569810175332,301.0,0.015460344418700162,0.01609774790626013,0.015828470567881156,0.015680198400172488,1.0,1.0,1.0,1.0,0.016066506956838464,0.016876558241442446,0.01650904772267788,0.016333043635790197,0.95,0.95,0.95,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8.0,0.02152812054018658,0.022410939759038035,0.005419148372072701,6.871620876947418,6.203417905210517,0.07902078019642375,0.0070715475752531395,-4.885730758854629e-21,0.08240192371909486,0.007696593125152735,1.3771878593269543e-19,0.027223537131281568,0.026760165555415872,0.00048634399427096,0.0006864367926027099,0.027596122440165922,0.026858241245100965,0.00120300344424318,0.00048486863961437503,400.0,0.01544344041779056,0.01612123581661245,0.01574462754527427,0.01569645638373287,1.0,1.0,1.0,1.0,0.015862821451673968,0.0166828426891143,0.01627960206975045,0.016141599866696412,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9.0,0.02153286013974013,0.02239890054946459,0.005418947889262699,6.74658389427932,6.047055796871428,0.0790418011987012,0.007075709264699399,1.292641327279702e-19,0.08242480627246959,0.007700487304320465,1.9581534403382787e-20,0.027209946113671096,0.026723603636807765,0.0010315674531738701,0.0005771686090155851,0.027206408841337536,0.02674408654057675,0.0011808987474068553,0.004338098404696171,401.0,0.015441486695346623,0.01612605194461448,0.01575646717054268,0.015699685380472596,1.0,1.0,1.0,1.0,0.015871670539756945,0.01668106546926887,0.016284128610824306,0.016140414133853403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
