,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.016237314868799264,0.016237314868791968,0.0068147282143572714,2.636364122037776,1.5515613311436027,3.778627295002153e-18,1.481578386097026e-35,1.3642825370666517e-19,3.778627295002153e-18,1.481578386097026e-35,1.364282537072012e-19,0.016237317370350404,0.0162373173703615,0.00010107096750289202,8.376094046980143e-05,0.0,0.0,9.21409809961915e-05,0.00011917098890990019,0,0.02725891350266829,0.06598542650047098,0.022285667285295692,0.02340951353674423,0.02293052626080848,0.02312721240041056,0.0,0.0,0.0,0.0,0.022285667285323545,0.023409513536770937,0.022930526260838316,0.023127212400441063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.017249590195058867,0.017561853163363856,0.006794051780644229,0.9713289152132347,0.8487718669930473,0.015627769440209032,0.0007326815330289939,0.00012589118880140075,0.016910272682804182,0.0008578719666203798,0.0001774593853565979,0.01800227867787821,0.017561854372537496,0.00012759107630699873,0.00014336092863231897,0.024244081215447577,0.024244081215434664,0.000147141981869936,0.000126630999147892,1,0.03572908499867058,0.07037533030914818,0.01919318554139807,0.0207617432745836,0.019990672010504543,0.020286137794117656,0.0,0.0,0.0,0.0,0.01977129125815214,0.021372553225309624,0.02056968648653873,0.020847077787113363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.01703508232275352,0.01701190760716864,0.0067766190557736585,0.8347329233074561,0.3952795625664294,0.027801585908118907,0.0013544134638498859,0.001367100809755345,0.02890087440177189,0.0014617195497853596,0.0012910991354037325,0.018474659269716275,0.01908766295712178,0.00020092190243303776,0.00012396101374179125,0.01781811101712187,0.01752208001570697,0.00015954207628965378,0.00012620107736438513,2,0.031000506620064348,0.08757073110099454,0.01971115002386852,0.021436193065431337,0.020580558056990897,0.0208833005859089,0.0,0.0,0.0,0.0,0.019924764458117722,0.02158658773765621,0.020744979376114196,0.021019608859498096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.01694557930070742,0.016657631086237447,0.006761554302473919,0.5345162933226675,0.8583318633027375,0.03214464865190803,0.0017207220502684917,0.0008717843893694184,0.03269690723319577,0.0017216200299027204,0.0012410145239182438,0.01826352173343296,0.01834876664723293,0.00013639102689921856,0.0001301910961046815,0.01820857177787325,0.01879314837696011,9.299104567617178e-05,8.851103484630585e-05,3,0.02859630012491977,0.07841373733597203,0.019916556338708796,0.021526261510977182,0.020692367837748735,0.02094235536023146,0.0,0.0,0.0,0.0,0.019968253026210515,0.021623686659609242,0.02077712969420126,0.02104439243017157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.016343397558918074,0.016444376622108133,0.0067482940488149245,0.4730535402195528,0.7770106925163418,0.03458484221872605,0.0018073256029587242,0.001770042306642147,0.038182110917926976,0.0019044654425660519,0.0013674085354579617,0.018532768128681223,0.022794023344937846,0.00013063091319054365,0.028832873096689582,0.01804149653000738,0.018130893613929465,0.00012758094817399979,0.00011293101124465466,4,0.026908871967865216,0.08071323279923565,0.02140883943135015,0.02350228908755947,0.022597780444196445,0.023082788617697095,0.0,0.0,0.0,0.0,0.020332113625577783,0.021932109656453633,0.021067436980026694,0.02128765856184257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
5,0.016316521820286423,0.016021593982696727,0.00673645438478662,1.0053185059223324,0.3222566114272922,0.0431688713986942,0.002835158761141246,0.0019860652131766378,0.046639182318978845,0.0029368030079785436,0.0012537368509618848,0.018287385406624494,0.019985509638747373,0.00011698098387569189,0.00014619110152125359,0.01828695740639844,0.02208858490276693,0.00012982101179659367,0.00012038100976496935,5,0.025618805307521964,0.08607289731443694,0.020303858910279794,0.02239584968649549,0.021454327168740246,0.02194539041846944,0.0,0.0,0.0,0.0,0.02033221213458831,0.0219322211093973,0.021067528873259488,0.0212877390077542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.01629224059566891,0.015754305448440486,0.006725762001498818,1.1650586021132767,1.1009419717593119,0.04399780460752838,0.002694175018225598,0.0022011469615780196,0.04986110313687015,0.0032994795000283583,0.0016638211864617289,0.018084563531224875,0.0217419514630905,0.00013553095050156116,0.00017893104813992977,0.018083946729052874,0.01960089647158252,0.00014774093870073557,0.000137980910949409,6,0.024828851870644625,0.09482476492457999,0.021354260456493964,0.0231344598422513,0.022380637079476226,0.02250153268776002,0.0,0.0,0.0,0.0,0.02033221512254562,0.021932294634129643,0.021067542155717187,0.02128776130333856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,0.016270128286468434,0.015543268769037508,0.00671601544017038,0.6447392839472741,1.0979364219820127,0.04648121628345619,0.0026356892470122766,0.002584729880825113,0.04911239699733069,0.003180438490069924,0.0015731064785923811,0.017913516835042092,0.022214394365521355,0.0001468620030209422,0.00013418099842965603,0.017913082185850568,0.021220849088945302,0.00011536106467247009,0.00010557996574789286,7,0.024054019242604023,0.08588778218397748,0.021969134877642994,0.023823669259728803,0.023169066420183935,0.023416305199931254,0.0,0.0,0.0,0.0,0.020332306480684445,0.02193241628910917,0.021067630884048477,0.021287842903448588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,0.016249809193429585,0.01571182991989866,0.006707061946004065,0.7618071048054844,1.5132334700319916,0.0484430956990696,0.0028352222118290414,0.0019192235212081102,0.05038556041660769,0.0032496411958807445,0.001495483728279556,0.017767098519680967,0.020778111648439696,0.00013748090714216232,0.00016954191960394382,0.017766779590354803,0.021681071869579863,0.0001469920389354229,0.0001448210095986724,8,0.02342926236643683,0.09373190106918423,0.021354416192511043,0.02313466242215056,0.022380587039961833,0.022501510071707004,0.0,0.0,0.0,0.0,0.02033248552321105,0.021932593876838984,0.02106779256410572,0.021287981229796533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.016538566560513113,0.016595898100192245,0.006698782947222867,1.3510637641884387,1.716526183881797,0.05681389724352349,0.0036802791443247647,0.0013516781044654296,0.05260453733481223,0.003420907469573077,0.0013726473408851923,0.018308476569595705,0.01865242193395667,0.00011532101780176163,0.00015855103265494108,0.018831626776513243,0.023801680726951584,0.00014492101036012173,0.00016059097833931446,9,0.022611993397358518,0.09799783676152965,0.02096057629308557,0.022090592434021474,0.02124123696010495,0.021150906532037675,0.0,0.0,0.0,0.0,0.019814704658744423,0.021487254923841383,0.02060410877723186,0.020859982393566887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
