,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_obj_values,SA_time,SA_tau,t
0,-0.006958024614943845,0.0012066103781390135,0.0029205978061531165,0.04526252008508891,0.04135387687919162,0.043035513675621834,0.04352958342105103,0.04250481708101565,0.0,0.0,0.0,0.0,0.04328881232371219,0.04498016913472251,0.04516640327535695,0.04487224225463619,0.0,0.0,0.0,0.0,-0.007303072157750362,0.04950156807899475,-0.007303072157750364,0
1,-0.006958026044029466,0.0011818359065636338,0.0029117364774189553,0.039471521973609924,0.04135388369831284,0.04303552054373948,0.04352959056459035,0.042504823942499645,0.0,0.0,0.0,0.0,0.04328881232371219,0.04498016913472251,0.04516640327535695,0.04487224225463619,0.0,0.0,0.0,0.0,-0.007303072157750362,0.6056194639531896,-0.007303072157750364,1
2,-0.006958055123940193,0.0011609637924443227,0.0029042653096172824,0.038055542041547596,0.0413539648428219,0.043035603669294084,0.04352967447884932,0.04250490672280958,0.0,0.0,0.0,0.0,0.04328881232371219,0.04498016913472251,0.04516640327535695,0.04487224225463619,0.0,0.0,0.0,0.0,-0.007303072157750363,0.05516467604320496,-0.007303072157750364,2
3,-0.006285308452810768,0.0019738207509122723,0.0028978089867745366,0.25185313902329654,0.04012551587005139,0.04181489149384651,0.041719115033622155,0.041839637430271616,0.0,0.0,0.0,0.0,0.04507574238812993,0.04660763678125085,0.04640965086458185,0.04683095861869892,0.0,0.0,0.0,0.0,-0.006782935587410101,0.03822880401276052,-0.006782935587410102,3
4,0.0029460906335026056,0.0100126789912173,0.002892126020920682,0.08639690291602165,0.02157084912985704,0.02200432015816047,0.021823288418744966,0.0211112574571483,0.0,0.0,0.0,0.0,0.023070194259975675,0.023507895004272618,0.02361802822548241,0.02280407135220326,0.0,0.0,0.0,0.0,0.0013712603800168843,0.04588743392378092,0.001371260234602754,4
5,0.004348914631782613,0.011149300772838197,0.002887051879194266,0.12223327101673931,0.018173357330891364,0.018908338681605897,0.018716081132571106,0.01829769171797238,0.0,0.0,0.0,0.0,0.019880972782418994,0.020556361047456794,0.020614466169811753,0.019923171235976797,0.0,0.0,0.0,0.0,0.003075479481174763,0.05314623296726495,0.0030754794811747627,5
6,0.004348500737039699,0.011138501827300173,0.002882469429213779,0.1900884899077937,0.018172662680569475,0.01890783803828721,0.01871570958302673,0.018297224401347383,0.0,0.0,0.0,0.0,0.019880972782418994,0.020556361047456794,0.020614466169811753,0.019923171235976797,0.0,0.0,0.0,0.0,0.0030754794811747627,0.06059961102437228,0.0030754794811747627,6
7,0.006296310417251601,0.012803201304727015,0.002878292331501591,0.1483190229628235,0.01579920351688399,0.016410210485750525,0.01603643705279815,0.016015631660141215,0.0,0.0,0.0,0.0,0.01592069830070447,0.016431685985620576,0.015833851052582358,0.015871122515052367,0.0,0.0,0.0,0.0,0.006196181766457102,0.06966604094486684,0.006196181766457101,7
8,0.006296304076220505,0.012794533918451256,0.002874455119716028,0.15368003793992102,0.01579918516362499,0.01641019050777791,0.016036406869160486,0.016015605643351808,0.0,0.0,0.0,0.0,0.015920698300704472,0.01643168598562058,0.015833851052582365,0.015871122515052374,0.0,0.0,0.0,0.0,0.006196181766457102,0.06891080702189356,0.006196181766457102,8
9,0.006287152268516958,0.012786393683647923,0.002870906977381229,0.15534533897880465,0.01580389744908207,0.016416330004828998,0.01603817714709738,0.01601869668331546,0.0,0.0,0.0,0.0,0.018390640284203057,0.01925505974646851,0.019175632058525717,0.018737868708464642,0.0,0.0,0.0,0.0,0.006084371363286906,0.05973032605834305,0.0036243799823629124,9
10,0.0048402449564782235,0.012763800903862513,0.0028676076727132647,0.18889696209225804,0.01753619789964204,0.01822608148274449,0.017891808418155707,0.017810498085048677,0.0,0.0,0.0,0.0,0.01839064028420306,0.01925505974646851,0.01917563205852572,0.018737868708464646,0.0,0.0,0.0,0.0,0.005920371937891972,0.10747821303084493,0.0036243799823629116,10
11,0.0062874869814081216,0.013079276865788761,0.0028645248117312497,0.09372661099769175,0.01574057926448426,0.016341316923812164,0.015939937215994366,0.01592851198939457,0.0,0.0,0.0,0.0,0.015988472333453616,0.016514483196351664,0.01584914794366058,0.015928997115908103,0.0,0.0,0.0,0.0,0.006195255678034133,0.07794957607984543,0.006170538823012762,11
12,0.006289866083970804,0.013056316551584008,0.0028616319279206773,0.12216025998350233,0.015754729481689485,0.01635892227068416,0.015964763210819417,0.01595080774457171,0.0,0.0,0.0,0.0,0.01545463469888449,0.01611484736112599,0.015521096475797684,0.015582053149654313,0.0,0.0,0.0,0.0,0.0063869012401638345,0.0852922050980851,0.005678515211598829,12
13,0.006289847750751661,0.013034321358959015,0.0028589071203075273,0.12771440600045025,0.015754659081251943,0.016358831147889896,0.015964642792453777,0.015950695806946222,0.0,0.0,0.0,0.0,0.01545463469888449,0.01611484736112599,0.015521096475797686,0.015582053149654319,0.0,0.0,0.0,0.0,0.006347546460799113,0.07171635504346341,0.005678515211598829,13
14,0.005190594798285918,0.012986273823630656,0.002856332061303071,0.12977126997429878,0.01556717849049153,0.01634555139231965,0.015894856259132634,0.015897877873966394,0.0,0.0,0.0,0.0,0.01544107701212946,0.016159641412254445,0.01557256349253068,0.015645143372716306,0.0,0.0,0.0,0.0,0.006311989075590055,0.07971901900600642,0.005383486554258858,14
