,Unnamed: 0,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_obj_values,SA_time,SA_tau,t
0,0.0,0.00136651005916365,0.020108522864941827,0.0035109743595625,0.7809231287392322,0.014158320613981075,0.01357263718045175,0.013821792469491974,0.013965388912312724,1.0,1.0,1.0,1.0,0.014158320613981075,0.01357263718045175,0.013821792469491974,0.013965388912312724,0.0,0.0,0.0,0.0,0.002553651067129125,0.9714336847537197,0.00136651005916365,0.0
1,1.0,0.001048173135061275,0.020127214794632177,0.0035086575737311,0.9747566739970353,0.01403078079721965,0.01347065879894905,0.01360231709521425,0.013505446149539201,1.0,1.0,1.0,1.0,0.014036228731396726,0.013522250554825975,0.01360231709521425,0.013549104305997374,0.0,0.0,0.0,0.0,0.002583926925976475,0.8896986547770211,0.001048173135061275,1.0
2,2.0,0.0034559132471671,0.0234539840535575,0.0033847267680253,2.4675308951991606,0.01203217243515255,0.011409949912721524,0.01157041119524505,0.011671937833033726,1.0,1.0,1.0,1.0,0.01203217243515255,0.011409949912721524,0.01157041119524505,0.011671937833033726,0.0,0.0,0.0,0.0,0.0065303502134306,3.2950190972769633,0.0034612239888789247,100.0
3,3.0,0.003432452664741975,0.02342691434079415,0.0033839771856522,2.902862490474945,0.012034052182893025,0.01135795005629725,0.01153134406500765,0.011637593236161675,1.0,1.0,1.0,1.0,0.012034052182893025,0.01135795005629725,0.01153134406500765,0.011637593236161675,0.0,0.0,0.0,0.0,0.00650702841253275,3.071856996277347,0.003432452664741975,101.0
4,4.0,0.004236397129900575,0.024240846017937898,0.0033275811672688,0.37683907375321724,0.0115356527778254,0.010865370527167,0.011041193322537774,0.011089523274511725,1.0,1.0,1.0,1.0,0.011535652766985174,0.010865370524395075,0.011041193321830001,0.011089523272160874,0.0,0.0,0.0,0.0,0.007602940180426525,0.3200938854715787,0.004236397130687725,200.0
5,5.0,0.00424617782693645,0.024302175414735526,0.003327138404235,0.35044607528834604,0.011528313308968575,0.01084636124818875,0.011046390524792225,0.011109617098173475,1.0,1.0,1.0,1.0,0.01152831330822485,0.010846361244946225,0.01104639052479195,0.011109617098173,0.0,0.0,0.0,0.0,0.00766648339364365,0.3553104466991499,0.0042461778252136,201.0
6,6.0,0.0044529861167061004,0.02461780091132955,0.0032904683906975,0.715925496944692,0.01131507296335965,0.010579170481297275,0.010891892910767875,0.010822138040945275,1.0,1.0,1.0,1.0,0.0113150729656636,0.010579170477717826,0.010891892922963275,0.010818676869194525,0.0,0.0,0.0,0.0,0.00816545895818195,0.6605883429874666,0.0044529861192416755,300.0
7,7.0,0.0044502239115773255,0.024604936784267426,0.0032901554744672,0.80742537129845,0.011320641581154475,0.010582624136674525,0.0109187573921738,0.010814316519436176,1.0,1.0,1.0,1.0,0.0113206415811196,0.010582624131278823,0.010918757367013601,0.01082249465946775,0.0,0.0,0.0,0.0,0.0081541594120221,0.9395876976777799,0.00445022391194835,301.0
8,8.0,0.0043894470493328,0.02468221978213325,0.0032630187865043,1.191760749250534,0.011144932201604524,0.010384266389284925,0.010711328621020099,0.01074460574384345,1.0,1.0,1.0,1.0,0.01114493220164205,0.0103842663885298,0.010711328616004,0.01074460574481835,0.0,0.0,0.0,0.0,0.0083671258485553,1.1523751810018439,0.004389447057888425,400.0
9,9.0,0.00437062561698615,0.024682190036486328,0.003262777358505,1.4991983867948875,0.011147474218204726,0.01037681705463455,0.010738944463077525,0.0107457135179946,1.0,1.0,1.0,1.0,0.011147474218200275,0.010376817054697575,0.010738944461962776,0.010745713518008725,0.0,0.0,0.0,0.0,0.00836830324144785,1.401924365243758,0.004370625654281625,401.0
10,10.0,0.0045490656868008,0.02476584134575665,0.0032412652143819,1.6624331120401623,0.0109860253126312,0.010358731044446375,0.010578524981031874,0.010663155646237,1.0,1.0,1.0,1.0,0.010986025312232351,0.01035873104530935,0.010578524963130526,0.0106631556464515,0.0,0.0,0.0,0.0,0.008559515273982575,1.599309122248087,0.0045490656821966504,500.0
11,11.0,0.004555670409456199,0.0247578879078316,0.0032410689583736,1.7044298097898718,0.010986052636622575,0.010362335421431775,0.010596716865459125,0.0106997300979113,1.0,1.0,1.0,1.0,0.010986052635084275,0.010362335421070875,0.010596716859867626,0.01069973009458655,0.0,0.0,0.0,0.0,0.008552543116075725,1.6474312805221416,0.004555670404262825,501.0
12,12.0,0.004639812066294025,0.024910086630830573,0.0032232664871209,2.169254964013817,0.010929122445713226,0.010280658775829125,0.010520863626575951,0.010557062086560624,1.0,1.0,1.0,1.0,0.010929122432368875,0.0102806587758291,0.010520863615377025,0.01055706208543755,0.0,0.0,0.0,0.0,0.008793754136906374,2.0695236382744047,0.004639812058981425,600.0
13,13.0,0.00463470331896485,0.0249030215167239,0.0032231013226556,2.1108606445486653,0.010916836032167851,0.01028065877582925,0.010520749202478401,0.010558073695642399,1.0,1.0,1.0,1.0,0.010916836031230025,0.0102806587759376,0.0105207492024207,0.010558073704336025,0.0,0.0,0.0,0.0,0.008787514901767424,2.0323604258010164,0.004634703295034875,601.0
