,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
0,0.05537017197139116,0.03678071677370321,0.009771367069333792,0.9604357357089132,1.0415060787291188,0.0,0.0,1.9507685490453048,2.336122523767454,0.0,0.0,0.0,0.001181391067802906,0
1,0.07761561914884571,0.03514187073354499,0.0030037425458431244,1.0001644770162461,1.087801077248018,0.0,0.0,2.955526439814023,3.9763797727494548,0.0,0.0,6.291263806209221e-16,0.002536661922931671,1
2,0.12586112948639783,0.03175426480542942,0.0033705919049680233,1.0176437179879059,1.1314719232248893,0.0,0.0,1.442734740596754,1.7080675182430927,0.0,0.0,1.3939466864738076e-15,0.003226162865757942,4
3,0.12492415608822657,0.030928772885469198,0.003546622581779957,1.1646177580346284,1.1764394795393796,0.0,0.0,4.34878917888475,4.494410369732347,0.0,0.0,5.551115123125783e-16,0.0035426421090960503,5
4,0.3988654820483305,0.02370081007023983,0.15353439701721072,1.249637018421589,1.3664242208910795,0.0,0.0,2.5974059830321368,3.271782993044707,0.0,0.0,1.5313421029312504e-17,0.6273965393193066,24
5,0.3895784316755602,0.023500785351792872,0.14248224906623363,1.249637018421589,1.3664242208910797,0.0,0.0,2.65104534970401,3.304531846601433,0.0,0.0,5.181040781584064e-17,0.2131278021261096,25
6,0.510069080175242,0.02028916852783923,0.16328514507040381,1.0672641048546294,1.063399293382058,0.0,0.0,1.6480882072823775,1.5007029984783153,0.0,0.0,0.34384444385104973,0.8215766670182347,49
7,0.5021850100978906,0.020196309484414757,0.1578260399401188,1.067550413969003,1.0640079674685108,0.0,0.0,1.6480882072823775,1.5007029984783156,0.0,0.0,0.3375927266901215,0.8316068239510059,50
8,0.6419648228757497,0.01722282364760504,0.23732408182695508,1.2151179509374601,1.0984511759625217,0.0,0.0,1.3168424321285699,1.1472501977807008,0.0,0.0,0.5374368414618105,0.3438247232697904,99
9,0.6736652839002336,0.017181669653061407,0.2325412482023239,1.1955162254591933,1.0901503322060522,0.0,0.0,1.2975395649934183,1.1901584313375584,0.0,0.0,0.5723984498176726,0.3852188936434686,100
10,0.6736652839002336,0.017141002694214605,0.2325412482023239,1.1955162254591933,1.0901503322060522,0.0,0.0,1.3263994192602664,1.2020908764742806,0.0,0.0,0.568611043406032,0.5483158188872039,101
11,0.7736219103303571,0.014535307512065145,0.9239706848748028,1.0229369953057716,0.8950033271200525,0.0,0.0,1.0211257741302318,0.9368880520759265,0.0,0.0,0.7051707745289507,2.4472508570179343,200
12,0.7791933479509321,0.014517635372994265,0.7168014170601964,0.9984213497959531,0.8701601111211358,0.0,0.0,1.0640688894119021,0.9301708863701832,0.0,0.0,0.713094637356798,2.913583963178098,201
13,0.7791933479509321,0.013160964863183288,0.7168014170601964,0.9984213497959531,0.8701601111211358,0.0,0.0,0.9713885096272616,0.9325578234076254,0.0,0.0,0.7808885577230231,0.8505397592671216,300
14,0.7791933479509321,0.01315019923874526,0.7168014170601964,0.9984213497959531,0.8701601111211358,0.0,0.0,0.9713885096272616,0.9325578234076254,0.0,0.0,0.7825762716074414,0.7420559260062873,301
15,0.862720489727908,0.012260238924567736,1.043786076363176,0.9847977973577897,0.8677163738251957,0.0,0.0,0.9924203593900374,0.8751056034619807,0.0,0.0,0.8156684566430902,1.9804912409745157,400
16,0.860907024574709,0.012252682533351756,1.3020599731244147,0.9847977973577897,0.8677163738251957,0.0,0.0,0.992501026148349,0.8755745292735049,0.0,0.0,0.8137871890487338,3.3215274238027632,401
17,0.860907024574709,0.01160218657175105,1.3020599731244147,0.9847977973577897,0.8677163738251957,0.0,0.0,0.9852877880545862,0.8944811944437419,0.0,0.0,0.8090878478330962,2.1443744958378375,500
18,0.860907024574709,0.0115964500129782,1.3020599731244147,0.9847977973577897,0.8677163738251957,0.0,0.0,1.0101817527386634,0.954806631431427,0.0,0.0,0.8075029926284959,2.2690998506732285,501
19,0.8244391270533926,0.011089803368973158,0.7547824047505856,1.0070896284084982,0.9202307536058559,0.0,0.0,1.0415779599851032,0.9562609371476273,0.0,0.0,0.7798020327701093,1.8073793188668787,600
20,0.823779641640798,0.011085225533789834,0.8895863080397248,1.0036223380621632,0.9213829718196918,0.0,0.0,1.0414968170622154,0.9552731955161005,0.0,0.0,0.7788623009664393,3.8579738531261683,601
21,0.823779641640798,0.010673710275468873,0.8895863080397248,1.0036223380621632,0.9213829718196918,0.0,0.0,1.0151479983516278,0.8908280432327852,0.0,0.0,0.7921186953674232,2.0082684122025967,700
22,0.823779641640798,0.010669928623759203,0.8895863080397248,1.0036223380621632,0.9213829718196918,0.0,0.0,1.0176658692449052,0.8918678951477554,0.0,0.0,0.7912650533543403,2.6425494560971856,701
23,0.8249168526256055,0.010325562490663596,0.7092073811218143,0.9944009325588417,0.911620360326267,0.0,0.0,1.0040243675339093,0.9230964712677739,0.0,0.0,0.7843879382978411,1.797571200877428,800
24,0.8248727912313666,0.010322358281591832,0.7586549986153841,0.9951062556466573,0.9153308473625459,0.0,0.0,1.0031917703997715,0.9246086119860099,0.0,0.0,0.784162430622007,2.104367434978485,801
25,0.8248727912313666,0.010027681806695065,0.7586549986153841,0.9951062556466573,0.9153308473625459,0.0,0.0,1.0066856403390119,0.8963315617579934,0.0,0.0,0.7855838476693311,2.741140760947019,900
26,0.8248727912313666,0.010024913640301133,0.7586549986153841,0.9951062556466573,0.9153308473625459,0.0,0.0,1.0066856403390119,0.8963315617579934,0.0,0.0,0.7847167573297402,2.49116555089131,901
27,0.8242331866727167,0.009768349146801747,1.7486172039061785,0.9965923195477138,0.8878654329525056,0.0,0.0,1.0038803126443296,0.8931623643758558,0.0,0.0,0.7838323877233333,5.3880605306476355,1000
28,0.8281171009175978,0.009765920719231444,1.8955054259859025,0.994501540733811,0.8910497442825333,0.0,0.0,1.0044323554074355,0.8940617250246652,0.0,0.0,0.7873361784472885,3.2275190828368068,1001
29,0.8281171009175978,0.009539423288984678,1.8955054259859025,0.994501540733811,0.8910497442825333,0.0,0.0,1.0002559502263835,0.8915175836245536,0.0,0.0,0.7842777787283292,4.2866784813813865,1100
