,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
0,-0.04744147893439624,-0.04485242972548275,0.0006458765842134119,0.117843531,0.04988022520159881,0.052524462447527925,0.0,0.0,0.0522978880359622,0.05483989532475787,0.0,0.0,-0.04767097918617972,0.003629295,0
1,-0.040653506387224495,-0.03909216664659493,0.0006400154787332795,0.120137592,0.021240700576570987,0.017719190392793776,0.0,0.0,0.021240716301283172,0.01771920680382466,0.0,0.0,-0.040653511404457346,0.005453636,1
2,-0.03879536470257652,-0.03740378543104887,0.0006271709218885336,0.220421456,0.01787247416684755,0.014357192295278383,0.0,0.0,0.016507161864757786,0.012463883872064025,0.0,0.0,-0.038986390835138496,0.007079126,4
3,-0.037741830529861776,-0.03608443798313979,0.0006238756566936219,0.246987455,0.011656359175645493,0.007344194408898026,0.0,0.0,0.013221881026444542,0.008924142616989301,0.0,0.0,-0.03785764063031775,0.005841043,5
4,-0.03471995103371784,-0.028486251780341358,0.0006134676107615749,0.342333555,-0.004105009803751881,-0.008312032498749636,0.0,0.0,0.002474099976582868,-0.0014502567755510947,0.0,0.0,-0.029700817516651976,0.007452946,9
5,-0.0352930688301659,-0.028826882403413398,0.000611355012111221,0.374363574,-0.001493035886205931,-0.0056694653985863595,0.0,0.0,-0.0002887040696870488,-0.004477623256195092,0.0,0.0,-0.030078827128533627,0.006649589,10
6,-0.029609031311201933,-0.025287069827068753,0.0006041716740354696,0.553890358,-0.008095253122225943,-0.009504306091490597,0.0,0.0,-0.0070765277965492215,-0.008134125487743452,0.0,0.0,-0.026677320515686984,0.008488617,14
7,-0.02991516055656805,-0.02546543788253389,0.0006026241615322143,0.560490225,-0.007433005119511425,-0.008632293776205068,0.0,0.0,-0.005596447897175558,-0.007679770443431357,0.0,0.0,-0.026883644374178044,0.010282267,15
8,-0.03195044295889368,-0.025309894144604647,0.0005971555567523738,0.75418602,-0.0066756958134318225,-0.01043413509849852,0.0,0.0,-0.006587233056236146,-0.009314490393255681,0.0,0.0,-0.02669539032630475,0.010714676,19
9,-0.03257247743597199,-0.025542247247083854,0.0005959379457645492,0.777657567,-0.005908276692047042,-0.010008262438254083,0.0,0.0,-0.0074639786697232435,-0.010157012045326121,0.0,0.0,-0.02687477490359368,0.01249046,20
10,-0.03257247743597199,-0.025542247247083854,0.0005905300160685173,0.777657567,-0.005908276692047042,-0.010008262438254083,0.0,0.0,-0.004107767446098721,-0.008554901598370308,0.0,0.0,-0.02790354881967618,0.014411448,25
11,-0.03257247743597199,-0.025542247247083854,0.0005895626405570673,0.777657567,-0.005908276692047042,-0.010008262438254083,0.0,0.0,-0.004107766557223665,-0.00855490043496525,0.0,0.0,-0.028105772496394146,0.015096098,26
