,Unnamed: 0,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,SA_tau,t
0,0.0,-0.01242562793203682,-0.005397085173216719,0.004802813848647899,0.002804749,0.05370557395502891,0.05510743269454947,0.0,0.0,0.06837076684722058,0.07136057894023402,0.0,0.0,-0.015473109059688692,0.0013043937999999999,-0.015473109090096132,0.0
1,1.0,-0.009421773180178391,-0.0025512213294076884,0.0047809722514406,0.0027532347,0.043827660977266675,0.04427710197828592,0.0,0.0,0.05893698440418088,0.05954180025454494,0.0,0.0,-0.012357429255834381,0.0013682529999999998,-0.012357429273055321,1.0
2,2.0,-0.0038841587243017795,0.0019279783899782397,0.004732754113200699,0.0031116562999999996,0.027568690195928197,0.02773116103196236,0.0,0.0,0.03824397596400605,0.03867176203908359,0.0,0.0,-0.006402361116587809,0.0017211847999999998,-0.00640236114919335,4.0
3,3.0,-0.0028748612841439604,0.0029854374778305105,0.0047203043814295995,0.0031973883000000003,0.025111216001022518,0.02512827170312948,0.0,0.0,0.035910983517173624,0.03422819981249371,0.0,0.0,-0.00527225756878712,0.0019061032999999998,-0.00527225759108344,5.0
4,4.0,-0.00132633044477808,0.00454474702364502,0.0046807646306131,0.0038261245,0.020835345835566548,0.02162465610892021,0.0,0.0,0.027606293472472492,0.027859057610879166,0.0,0.0,-0.0027911984867794804,0.0024503757999999997,-0.0031907438875521596,9.0
5,5.0,-0.0012824898591948899,0.004587417083182748,0.0046726981044575,0.0040973779,0.02104909011640866,0.02183886691675877,0.0,0.0,0.028468923182896327,0.028717351910222115,0.0,0.0,-0.00262834429658669,0.0025634045,-0.00340913001140756,10.0
6,6.0,-0.001092767863522881,0.004885368065997288,0.004665164957684,0.0043435797,0.02043528643513227,0.02165730422626882,0.0,0.0,0.028946758260904315,0.02951050085357476,0.0,0.0,-0.00232382006975188,0.0027312848,-0.00336592033723411,11.0
7,7.0,-2.4278150198359928e-05,0.00600602744068066,0.004645165205563801,0.004552637,0.0176841250769942,0.01860385727331034,0.0,0.0,0.0231081967667519,0.02345960972351778,0.0,0.0,-0.0008617702162794857,0.0032214082000000003,-0.0015576529963782974,14.0
8,8.0,0.0002028232452873399,0.006189756318826771,0.004639212377472399,0.004789494300000001,0.0168469987470343,0.017841690144332432,0.0,0.0,0.021131414377520377,0.021373371994631463,0.0,0.0,-0.0006623210858217558,0.0035336301,-0.0012762605320744984,15.0
9,9.0,0.00098949248696078,0.0070183380414721806,0.0046181147852481005,0.0055149056,0.016370200870607497,0.017421293417259058,0.0,0.0,0.02058185326900906,0.020797578920144392,0.0,0.0,0.0004171432594776801,0.0038113762999999997,-0.00048346159069570006,19.0
