,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.0,0.019708471398892,0.020092387093152697,0.0065581579658194,2.8997214048868045,3.7524481879663654,0.0796675816023577,0.00686856853960215,0.00282940712328665,0.0794523860653161,0.0068613647842958505,0.00278848799948435,0.02737472317978775,0.026468517491132153,0.000179412018042,0.00016821699682619998,0.0,0.0,0.0001668520271778,0.0001663119764998,0.0,0.02623263256234305,0.1600911218433026,0.01766149567877615,0.0190173410827666,0.0184242849031265,0.0182246895233256,1.0,1.0,1.0,1.0,0.018759428192724602,0.01995207398601035,0.019507288162021047,0.0190659404710551,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.01996376790552,0.02018596245265265,0.0065559938436675,3.445527182600927,4.324732042849064,0.07939747971005731,0.0069091505822415,0.0028090745460517498,0.07930015331834231,0.00684580658017225,0.0027859778923917,0.0273092560637567,0.0265615493072311,0.0001853920402936,0.00017816148465495,0.027628039120365648,0.02634951158116445,0.0001748109934851,0.00017403205856675,1.0,0.02099406969802905,0.08788197993320945,0.01747328823735205,0.019078629201769698,0.01840519300041745,0.0182965072170857,1.0,1.0,1.0,1.0,0.0186933844968415,0.019984706984032048,0.01949713892830235,0.01917478224569895,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,0.021600207982801198,0.022587042756382,0.006439169426899,5.240875571733341,4.2325491945957765,0.08546940441966895,0.00821592671210895,0.0029990598886037003,0.0869392808812599,0.00854545670868365,0.00321478885141205,0.028454299923555748,0.028589598635857853,0.00026135199004775,0.000277787563391,0.03115021052045715,0.0303487846821078,0.0002531170030124,0.0002610469819046,100.0,0.0011808326473319,0.0026877283193349503,0.016949162601427502,0.0174415155027236,0.01709234485647555,0.0172147709008202,1.0,1.0,1.0,1.0,0.016871199313532398,0.0175961542732554,0.017298065241916752,0.01720238399556035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3.0,0.021575130391672498,0.022585098404989998,0.0064384563774433,5.675873325031716,4.115655206667725,0.08534870028430355,0.008215690020346049,0.0029879744979282,0.08694045196451555,0.0085428710865954,0.00320504772728225,0.0284428999264565,0.02856645001867605,0.00025444198399775003,0.00027532700914885,0.028399909110968298,0.0285304254132676,0.00026261701714245,0.00027024251176039997,101.0,0.0012969383806053,0.00278876645114915,0.0167665138416244,0.0174897314396159,0.0171107906373399,0.01727641985132465,1.0,1.0,1.0,1.0,0.0168736638683082,0.017622600127342347,0.017356471054929302,0.017260957538502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.0,0.022003195277239297,0.0228551736543889,0.0063845805891259,6.7056601530639455,4.982245176797733,0.08703187738079479,0.008644823760914251,0.0031078631435292,0.0886508708329397,0.00905298919897965,0.00327741664125235,0.02991153391187855,0.029395173090517902,0.0003374929656274,0.00032714800909155,0.029872756995789097,0.02980486186252885,0.0003295579226687,0.00032902299426495,200.0,0.00078335888834495,0.0015803377243972499,0.016494833598725653,0.01698592015525685,0.01651487443726845,0.0166830802580654,1.0,1.0,1.0,1.0,0.0165730418531757,0.0173053471793161,0.01678403528722195,0.0169305531469322,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.0,0.02199556976135655,0.0228602383378109,0.0063841558135652,5.857998917170335,4.988603826146573,0.08695408953759534,0.00862896730892625,0.00310752822928755,0.08854197091848096,0.00904163113594315,0.0032817979237035,0.02987524563842405,0.02932634587582325,0.00032575801014895003,0.0003277780488133,0.02986415589826905,0.0293562716025542,0.0003289580345153,0.00032472301973025,201.0,0.0008429480177982,0.0016363367521511,0.01637046972042435,0.016960818657670698,0.016511110417181,0.01655517732126245,1.0,1.0,1.0,1.0,0.0167085394499648,0.0173546173063053,0.0168012497615565,0.0170199595809192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6.0,0.0224262916470512,0.02311294483504995,0.0063488768917065,8.065501692704856,5.924989985884167,0.08730763446607105,0.00880737767893685,0.0030685602126146,0.08941836660022486,0.00909020330374565,0.003280635474682,0.0299762976977037,0.029741903606384498,0.00042330403812225004,0.0004283590242266,0.0305144019072594,0.029991990246149,0.00040624896064395,0.00038651900831605,300.0,0.00062673178194705,0.00115643675667155,0.0163892151538467,0.016946962739416,0.01647937146453295,0.01661540834492815,1.0,1.0,1.0,1.0,0.016605852233036553,0.017471090648686252,0.01692102504693365,0.01702877812583405,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0,0.02242415793285655,0.02311093082961025,0.0063485750024886,7.962537675106432,6.024548513058107,0.08734684914090615,0.00880257983052235,0.00306383059261345,0.08939510963713035,0.00907504254321635,0.00327954018494785,0.0299552694022251,0.0297040624332433,0.00041030900320035,0.00041193398647005003,0.029954582685751248,0.02971657887094315,0.00041138404048975,0.00040596799226475,301.0,0.0006676115446836,0.0011948080705748501,0.0163741260403642,0.0169273107895415,0.01644524701931105,0.016600246438180498,1.0,1.0,1.0,1.0,0.01661400948810505,0.0174711218024624,0.01693248632461925,0.0170206431712022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8.0,0.02236541663311195,0.023106784007711448,0.0063223397674182,9.285327163350303,6.267328641668428,0.08755580953760281,0.008881354746007701,0.00308974828431025,0.08983583856959555,0.0093125256933695,0.00316707737231375,0.03001578855553515,0.0294913604605825,0.0005161950248293,0.0004833845305256,0.030378871059854,0.0298428142516611,0.00046980450861155,0.00046750449109819996,400.0,0.0005411661818205,0.0009418383969409,0.01616089901081655,0.01682651231324345,0.016363349705394402,0.01646374546539245,1.0,1.0,1.0,1.0,0.01625467318944265,0.0169186692875296,0.0162526222667626,0.01653575510014585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9.0,0.022397338688167852,0.0230971890521997,0.0063221058708065,8.487682417035103,6.1587408515042625,0.08755251610529985,0.00888504182136495,0.0030818551781652,0.08986220242883994,0.00930844647938665,0.00316734695942455,0.02998936420818635,0.02955175247602245,0.0004903599619864999,0.0004745644982904,0.029989507933357952,0.02948262061229285,0.00046219449723135003,0.00045760953798884996,401.0,0.00057142194070595,0.0009709463368446499,0.016160899063308802,0.01682661815239695,0.0163986931620486,0.01646390237223405,1.0,1.0,1.0,1.0,0.01625460865517455,0.01691866182353945,0.01625264519804865,0.01653589036993575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
