,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.0,0.0211062226211934,0.021199060751770173,0.0056212782564166,3.953312485537026,3.3264305548218545,0.057769855141398575,0.00394474087800035,7.509373821636493e-20,0.0580002834788913,0.003999466997282275,1.7449031078586099e-19,0.025618683767519648,0.02536743991033355,0.00019838279695245,0.00018740023369892501,0.0,0.0,0.00019048099056815,0.0001853535068221,0.0,0.01825076557962815,0.0198288892180944,0.019020410007349074,0.01906481668042045,1.0,1.0,1.0,1.0,0.01933916718126075,0.020296581161716076,0.019983356968867452,0.019764099671507326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.02106127495045635,0.0212393004360754,0.0056194232945721,4.481103619677015,3.851781396195293,0.05803596624079147,0.004018346757879,1.8335772034681325e-19,0.05812602637518273,0.004026743398285575,1.806131981167153e-19,0.0259844585136223,0.025358452208902975,0.00019970873836425,0.0001884465164039,0.025537334070855552,0.025380595069323678,0.000190666178241325,0.0001932317682076,1.0,0.018478829524634026,0.019841168494997324,0.019236487037996724,0.019156507016527675,1.0,1.0,1.0,1.0,0.019533237318657574,0.02036613725852045,0.020169350593836625,0.0198087392486097,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,0.0221518211638648,0.022387672108574723,0.0055192880801991,4.835609411704354,6.560591368965106,0.0752975919519063,0.006331245761624174,1.4690939437178585e-19,0.07632777551096562,0.00661087555998865,2.790013590529365e-19,0.02744259643881605,0.027531878751371253,0.0002768220438156,0.000274169258773275,0.030667816276721074,0.0300569946659267,0.000354944175342075,0.00029524450656024997,100.0,0.016655909197314925,0.017503444659001575,0.0169869418088667,0.0168440279313739,1.0,1.0,1.0,1.0,0.017296526418705598,0.018263173610796,0.018122351406429,0.018125249418267476,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3.0,0.022134596674391077,0.0223572677623977,0.0055186768949514,4.78311600635061,5.9798968553950544,0.07499853736847317,0.006322079161946525,1.4934705422316882e-19,0.07653408894384423,0.006646767188646325,3.141314241472902e-19,0.0278012205481617,0.0274864257479842,0.00027316695195615,0.0002862935070879,0.0273969234966827,0.027470073338507997,0.00038566827424795,0.0002924317086581,101.0,0.01662650371058925,0.0174702567267668,0.016917538561409574,0.016783821910326048,1.0,1.0,1.0,1.0,0.01735324044536075,0.018218296565764548,0.01793057833093875,0.01797853889711955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.0,0.022562524026012498,0.022902452842568977,0.0054724976478222,7.371234069054481,6.0507233161479235,0.07865440682470443,0.00689885449017545,1.899522206194604e-19,0.08059937954090042,0.007379952878857225,3.175328588791742e-19,0.028024708143708076,0.027570475702908225,0.000350044458173175,0.0003474669938441,0.0280002329383796,0.027903903325967302,0.000343646242981725,0.000350355257978625,200.0,0.016559220847958,0.017087272206584424,0.016566554263338275,0.016679981081692673,1.0,1.0,1.0,1.0,0.016948532663829924,0.017931689109210724,0.01764730637266385,0.0175016809021298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.0,0.022538981713698024,0.022883976072946375,0.0054721335544844,6.919636105594691,6.698399528017035,0.07860555614236603,0.00688827073652585,1.6694985644049702e-19,0.0805385243172346,0.0073711930554359005,2.6953870742269114e-19,0.028052456735642772,0.0274862626545892,0.00033927371259775,0.00034005602356040003,0.02798871118710612,0.0275385504395398,0.000352338800439575,0.00034808876807792497,201.0,0.0164921690507399,0.0170869640424728,0.016560911911275452,0.0166814671034048,1.0,1.0,1.0,1.0,0.016874482749485123,0.017851981479433225,0.0174021898005922,0.017345840758584252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6.0,0.022440291295434723,0.0230937203077242,0.0054418944786056,10.08867548246053,6.565019752306398,0.07887862806612557,0.007001539037621025,1.133765700370556e-19,0.08163189938555088,0.007596972088753275,2.5494239655873433e-19,0.02818371854602455,0.027388454808558324,0.0004611400072462,0.000419175514252775,0.028788286114270922,0.028000225005218475,0.00051478642853905,0.00047462526708837497,300.0,0.0159362918150841,0.016898648234158025,0.016438777195879523,0.016403645580914176,1.0,1.0,1.0,1.0,0.016424458408305025,0.017423320423430574,0.01671484832003535,0.016893073889037373,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0,0.022581566703062127,0.023104992092539852,0.0054416357164188,7.083243993343785,6.818019138154341,0.07889706903996585,0.00699525867092965,2.0077818008990823e-19,0.08157662916043705,0.0075932116612843,3.506755487345773e-19,0.028247989098013626,0.02754280137387135,0.00046469748485825,0.00052794907242055,0.028247993563299725,0.02748686104037295,0.00048641997273072505,0.0004316399572417,301.0,0.015938053065822348,0.0169112176873871,0.016440548811070325,0.016403704572385623,1.0,1.0,1.0,1.0,0.01644536571918475,0.017462943233360475,0.016737923758227875,0.016894524958784102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8.0,0.022377185585095598,0.0231623856093403,0.0054191483720727,8.530052092304686,8.21870396588929,0.07984679457484208,0.00721150156382445,1.924212850586447e-19,0.082973229490917,0.00779761070906815,3.4536134810265267e-19,0.02794722209471345,0.027595735697878924,0.00050449656555425,0.0004947312118019,0.02870084181174545,0.0277835754412228,0.000499368004966475,0.00049318731180385,400.0,0.01579748730650005,0.01662840287926625,0.016172253485291926,0.016259407234772327,1.0,1.0,1.0,1.0,0.016233298398799126,0.01711697918447275,0.016628832274295575,0.016615872676204475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9.0,0.022367197788612098,0.023150105589110324,0.0054189478892627,8.875938840850722,7.639804739272222,0.07989557962357935,0.007235043073716125,2.5915076317946202e-19,0.08302040644087083,0.007798248645761825,3.159451674476883e-19,0.027946447017876623,0.0276150545759179,0.0005073255160823,0.000497063068905775,0.02792058944686365,0.02757363270790565,0.00050358052249065,0.0005099430563859249,401.0,0.015836734417825526,0.016628488653711124,0.016225642519260525,0.016261468632344348,1.0,1.0,1.0,1.0,0.016246541513393723,0.017122263010467525,0.016619007019948548,0.01662199530366485,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
