,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,SA_tau,t
0,-0.001968233582128274,0.013921167757176216,0.007017642571710879,0.14399734302423894,0.022248871046569016,0.01937399678808569,0.0,0.0,0.03316354551284841,0.031338857300651154,0.0,0.0,-0.005073583301462618,0.038014522986486554,-0.005073583301462618,0
1,0.004587286519883993,0.019872030509689827,0.0066038544977892535,0.21447794185951352,0.015962247046079826,0.013892623528169258,1.0,1.0,0.019405411639635904,0.015257539556599097,0.0,0.0,0.0034125090288367687,0.03510371781885624,0.003412509028836768,1
2,0.005478764892919009,0.018106704021058368,0.0031554430731951548,3.344803516054526,0.012988620272143783,0.012974346044802059,1.0,1.0,0.014955734796928659,0.014576559778996238,0.0,0.0,0.01067469883621022,0.13538177800364792,0.006921521951459776,50
3,0.005218303222348796,0.017964079003162176,0.0031365477514482616,1.0677918689325452,0.012972326207098771,0.013013199171312544,1.0,1.0,0.014875621857181666,0.01443062451889342,0.0,0.0,0.010607669182815112,0.1052174938376993,0.006858206684337415,51
4,0.007068968743215889,0.019000727366197092,0.002543615599075984,0.98844223190099,0.012524672946900194,0.013899170841908094,1.0,1.0,0.01291430069928351,0.01372079202745781,0.0,0.0,0.012281945776908477,0.28670867602340877,0.006957729857978837,100
5,0.007024504058872469,0.018925809248224915,0.002535591521786191,1.1119233961217105,0.012513731880174222,0.01390468557679422,1.0,1.0,0.01291430069928351,0.01372079202745781,0.0,0.0,0.012231717324843103,0.29636574001051486,0.006957729857978836,101
6,0.007073992209679833,0.019603425303363165,0.002233935758905455,2.300064869923517,0.01263307976930133,0.013201115777362877,1.0,1.0,0.013029192187320286,0.013034430476595369,1.0,1.0,0.014350989643606298,0.2766101770102978,0.0072270927074777015,150
7,0.006259750240408721,0.01953963718836657,0.0022291521559181233,1.5492552330251783,0.012566621085505145,0.013157023088485932,1.0,1.0,0.013029192187320284,0.01303443047659537,1.0,1.0,0.01430532363760547,0.14971400308422744,0.0072270927074777015,151
8,0.006888285541482073,0.018323357986389645,0.002035150943950378,2.22412950405851,0.012697024698914166,0.012811568020046162,1.0,1.0,0.012770218157585977,0.012869082967278582,1.0,1.0,0.013511549328297807,0.4500572180841118,0.006795983003559431,200
9,0.006888273103214919,0.018282900204009543,0.0020318524763477345,1.7681901140604168,0.012697022902236198,0.01281156546165191,1.0,1.0,0.012770218157585975,0.012869082967278584,1.0,1.0,0.013478949491769952,0.2811464269179851,0.006795983003559431,201
10,0.0070134910062372505,0.018890986860045318,0.0018923487859659547,0.8403361830860376,0.012594122913832445,0.012852629891843994,1.0,1.0,0.012856170926697018,0.013002343674945712,1.0,1.0,0.014434740739980441,0.3995784658472985,0.007433275452379842,250
11,0.007095210939176359,0.01887591375051597,0.00188988157484231,1.5007355369161814,0.012587559788452371,0.01288790880226534,1.0,1.0,0.012962798788686884,0.013132479922136448,1.0,1.0,0.014412568715062793,0.4176789850462228,0.007732961296227105,251
12,0.007092785589311258,0.018905035966875438,0.0017827124586383156,2.2042133691720665,0.012548890090647498,0.012985694294437102,1.0,1.0,0.01254949573322344,0.013182262431139846,1.0,1.0,0.01472941406330568,0.6345600970089436,0.007216867888774662,300
13,0.007002077311047519,0.01887518724224591,0.0017807683868032375,2.178100490011275,0.01254651896171024,0.012980138848842278,1.0,1.0,0.01254949573322344,0.013182262431139848,1.0,1.0,0.014704863258813747,0.37685067602433264,0.007216867888774661,301
