,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,online_pca_time,online_pca_k,MRO_pca_time,MRO_pca_k,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
0,0.0,-0.014702516735833279,-0.01470251673582717,0.008645064927566299,0.03716768580917965,0.00315100407626948,0.00012094974517818124,4.0,0.00012094974517818124,4.0,1.3530632064114352e-09,1.4709577045237659e-34,8.461555483076897e-20,1.3530632064114352e-09,1.4709577045237659e-34,8.461555483089434e-20,0.01012368727041094,0.01012368727040274,6.130719999999999e-05,6.1384e-05,3.4675512368885e-10,3.4675512368885e-10,5.95453e-05,5.914329999999999e-05,0.0,0.12101421875650112,0.03458026174876712,0.06685645612435781,0.06984243443153856,0.0,0.0,0.06685645612424909,0.06984243443138752,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,-0.014704757370676499,-0.014704757370680142,0.008605750052593201,0.0032902542110351102,0.00319413213673091,0.0,4.0,0.0,4.0,1.5942249198561451e-09,1.1587243947511347e-34,7.081472109313374e-20,1.6650409245234083e-09,1.2257980871031383e-34,7.051110261978574e-20,0.02406899734357954,0.0240689973435754,5.60773e-05,5.6348300000000004e-05,0.02406855782322928,0.024068557823220257,5.9648299999999996e-05,5.904040000000001e-05,1.0,0.1420038656088743,0.09588562958123957,0.06685690909714403,0.06984299155813728,0.0,0.0,0.06685690909713372,0.0698429915581387,0.0,0.0,0.0,0.0,0.0,0.0
2,2.0,-0.01449877551656357,-0.014498775516555481,0.008518957403761402,0.00353471844240716,0.00373373316374507,0.0,4.0,0.0,4.0,1.6241531391302127e-09,1.1606118382056398e-34,1.6829194918761104e-19,1.6631898872001759e-09,8.171987247354256e-35,4.818371559026103e-20,0.04273770226878042,0.04273770226874789,6.70096e-05,7.07033e-05,0.044416312609177416,0.044416312609179116,7.095250000000002e-05,7.093850000000001e-05,4.0,0.11478922241293787,0.10074484425336341,0.0652513974920551,0.0679169332539564,0.0,0.0,0.0652513974920684,0.06791693325395728,0.0,0.0,0.0,0.0,0.0,0.0
3,3.0,-0.0035162423009137897,-0.00351624230088703,0.008496547886573298,0.0048533426233154,0.004712184192565879,0.00021178722381587,7.8,0.00021178722381587,7.8,1.9018738714105483e-09,1.2628714111605398e-34,9.4732538660907e-20,1.91700604141483e-09,7.354788522618829e-35,3.6338551847443994e-20,0.01814497799163187,0.01814497799248026,7.24616e-05,7.45393e-05,0.04786811678427768,0.047868116784243374,7.23385e-05,7.240759999999999e-05,5.0,0.1106809665799133,0.09990318870957166,0.028980316479970743,0.029367356154324037,0.0,0.0,0.02898031647987696,0.0293673561539827,0.0,0.0,0.0,0.0,0.0,0.0
4,4.0,-0.0035704984681114694,-0.0035704984681242794,0.008425376335103598,0.005307725494824159,0.005483358267211859,0.0,7.8,0.0,7.8,1.8546151936623101e-09,9.129669783404523e-35,7.891248341908198e-20,1.913988806071796e-09,5.253420373299163e-35,2.5635575918574235e-20,0.022731095543480143,0.0227310955434365,8.21911e-05,8.361640000000001e-05,0.02335251535010175,0.023352515350826886,8.44673e-05,8.48085e-05,9.0,0.08940919692313778,0.08364111244367531,0.02962298685297096,0.029629395809493947,0.0,0.0,0.029622986852940097,0.02962939580952495,0.0,0.0,0.0,0.0,0.0,0.0
5,5.0,-0.00071267805782767,-0.00071267805782593,0.0084108565880235,0.00668025864564205,0.006561686676232861,0.0002043724060058,11.6,0.0002043724060058,11.6,1.7809188419574194e-09,9.504088028112103e-35,4.996812590622632e-20,1.8536212765260416e-09,4.903192348412553e-35,3.299670929417671e-20,0.01809441037531203,0.01809441037529348,8.316340000000002e-05,8.67112e-05,0.02354693951343271,0.02354693951335468,8.816639999999998e-05,8.81924e-05,10.0,0.08678411997952676,0.08189187257322464,0.02568399805155578,0.025995550033716862,0.0,0.0,0.025683998051619288,0.02599555003379575,0.0,0.0,0.0,0.0,0.0,0.0
6,6.0,-0.0006222723339293101,-0.00062227233393615,0.008397296923831201,0.006572271712927199,0.006498717673132261,0.0,11.6,0.0,11.6,1.8677487823518724e-09,1.1841728568582765e-34,7.073595709227143e-20,1.8353136159320593e-09,4.5967428266367687e-35,3.063859628395461e-20,0.01999490655822918,0.019994906558215956,9.054660000000001e-05,9.480529999999999e-05,0.0201065148527153,0.020106514852716462,9.581859999999998e-05,9.758930000000001e-05,11.0,0.08445836661884538,0.08007413283699762,0.025481049677477708,0.02590134630571267,0.0,0.0,0.025481049677460225,0.025901346305675355,0.0,0.0,0.0,0.0,0.0,0.0
7,7.0,-0.0006519147668263299,-0.00065191476682668,0.008361297370014899,0.007523588132141048,0.007459696367016549,0.0,11.6,0.0,11.6,1.695584108807479e-09,8.811724053003269e-35,5.869677125260117e-20,1.7315031854250628e-09,3.870941327694121e-35,2.0448497143124565e-20,0.025411063135666552,0.0254110631357372,0.00010045449999999999,0.0001029327,0.02497626461180058,0.02497626461183227,0.00010471680000000001,0.00010615570000000001,14.0,0.0757006369139703,0.07254644816787759,0.02601808549104173,0.026109179496824064,0.0,0.0,0.02601808549092281,0.026109179496771617,0.0,0.0,0.0,0.0,0.0,0.0
8,8.0,0.00158749577903775,0.0015874957790251501,0.008350582279450302,0.008842023070410111,0.00855203555175776,0.00026013851165766,15.1,0.00026013851165766,15.1,1.8296831721040235e-09,1.028112138735197e-34,5.454828619145347e-20,1.7380602836153578e-09,3.6773942613094147e-35,1.7839904055840527e-20,0.018059054213802758,0.018059054213851143,9.778450000000002e-05,0.0001041557,0.02666136237371401,0.026661362373853283,0.00010234230000000001,0.00010393170000000001,15.0,0.07400723497415664,0.07119626859309679,0.02008710543798645,0.02136640416173146,0.0,0.0,0.020087105438005983,0.02136640416141641,0.0,0.0,0.0,0.0,0.0,0.0
9,9.0,0.0016647257925496897,0.0016647257925446097,0.0083126066134466,0.00918345403715815,0.009235626420751899,0.0,15.1,0.0,15.1,1.7392675456006955e-09,8.815340436173841e-35,5.2348880633955114e-20,1.7179077178897104e-09,3.0644952177578456e-35,1.3198131670542832e-20,0.02095330484496121,0.02095330484506829,0.00011275869999999997,0.000118443,0.021151660250682637,0.021151660250628153,0.00011621050000000001,0.00011772550000000001,19.0,0.06588696705519517,0.06372740248712683,0.0198208240126167,0.02103025549527086,0.0,0.0,0.01982082401248663,0.02103025549522007,0.0,0.0,0.0,0.0,0.0,0.0
10,10.0,0.0034308362459010097,0.003430836245907841,0.008304127511315202,0.01090195314614254,0.010739504114990188,0.00032827854156488,18.3,0.00032827854156488,18.3,1.8750220488147125e-09,1.0226168363818896e-34,7.372367497867206e-20,1.8167198102973963e-09,2.9419154090475316e-35,1.1196097152237748e-20,0.01914242188615677,0.01914242188618305,0.0001120869,0.0001170934,0.02157611043809572,0.02157611043821393,0.0001192855,0.00011747939999999998,20.0,0.06392576660927501,0.06280668545257936,0.01828534305630829,0.019051042513789952,0.0,0.0,0.01828534305630771,0.019051042513754064,0.0,0.0,0.0,0.0,0.0,0.0
