,Unnamed: 0,Unnamed: 0.1,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
0,0.0,0.0,0.00625719011900477,0.0062571905913949896,0.0067239393881071,3.259436197578907,3.7344737595878543,1.2227676230877768e-09,4.791781217025919e-35,1.168494219716887e-19,1.2227676230877768e-09,4.791781217025919e-35,1.1684947639978148e-19,0.006257199778733459,0.0062571996326679,0.00015167244710024002,0.00010865314397957753,0.0,0.0,9.710600133983937e-05,9.819599799810335e-05,0.0,0.036701114375609536,0.026895758775196198,0.03842506594566003,0.0388190789451718,0.0,0.0,0.03842506351068118,0.038819078903904805,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,1.0,0.007725304800864949,0.00796318057180535,0.006693361152016899,8.377224051160738,13.860960290278308,0.02097422742844688,0.0013439583681391998,0.00067869465925769,0.02451338989582996,0.0018698967234537297,0.00113359387232274,0.010582929167482541,0.01003677039014364,0.00013225420843805002,0.0001100059598684225,0.012257324463434359,0.01225732432849318,0.0001050698803737608,9.378665126859178e-05,1.0,0.04422314558021121,0.05573742974509044,0.03394332815570848,0.034063012813118396,0.0,0.0,0.03523279325264618,0.035122318394180736,0.0,0.0,0.1,0.1,0.1,0.0
2,2.0,2.0,0.009837985245711538,0.011072272523974228,0.006625855758481099,30.185235269926487,28.281388104194775,0.05666336954687834,0.004515352378265251,0.0015828227769618202,0.05991874618904982,0.00571932418726798,0.00199191111270552,0.016479099894003667,0.015318879023040249,0.00013322029262778,9.78960888460204e-05,0.02203407146177866,0.021386379006603628,9.968974627553203e-05,8.753186557441855e-05,4.0,0.03147435032068983,0.05047984134245805,0.027166825912723264,0.025974809731621168,0.2,0.2,0.030003684296200095,0.02958526140323691,0.1,0.1,0.2,0.1,0.3,0.3
3,3.0,3.0,0.01075666896881417,0.0112385888340642,0.006608426134001399,40.89550920762122,59.990263840183616,0.06127955377644497,0.00529361424564711,0.0018738986429267302,0.06715436075685376,0.0067926394815798485,0.0022046024119635097,0.017749209841032502,0.01744137280864376,0.00013070241548116,9.809210896491436e-05,0.01940509547390467,0.01853776062295921,0.001609609276056265,0.0004339331062510416,5.0,0.03056608013117671,0.0654499498265575,0.027455147583517026,0.025428801412552333,0.2,0.2,0.027717503711432268,0.02702001350990648,0.1,0.1,0.4,0.3,0.3,0.4
4,4.0,4.0,0.01105017898061092,0.01278606579312259,0.0065530704828584,63.571894568903375,50.696037377975884,0.07901861246892306,0.007512681089829261,0.0018819904737086197,0.08289113841052323,0.00862858212045639,0.0024172171595457804,0.01893439901461439,0.01780858998345704,0.00014056039508426,9.517490398137281e-05,0.022028437084825037,0.021071848580379225,0.00010072276927529543,9.22939041629315e-05,9.0,0.02212283046600397,0.05477099407532739,0.02320406677209054,0.022852175452453743,0.2,0.2,0.024924428605855413,0.02530495201247433,0.1,0.1,0.4,0.4,0.5,0.4
5,5.0,5.0,0.010694410938473788,0.010944009336043172,0.0065417773462405,118.50193564635701,44.38613835640717,0.08198989506266485,0.007902950177747909,0.0024769828925165402,0.08504483489365165,0.008908948283109928,0.00244203536907302,0.018848340172769824,0.020161014407655692,0.00444354661740358,0.00010712211951610716,0.01840979523654438,0.017490768905150972,0.0001095841871574253,9.534715209155034e-05,10.0,0.0217857629261613,0.061542296278972106,0.026023654722175334,0.026154800676100383,0.0,0.0,0.025323400121740197,0.02617117656046779,0.1,0.1,0.3,0.3,0.3,0.4
6,6.0,6.0,0.011642966696290238,0.01236462705826678,0.006503231287789299,70.82653434039094,98.73522813706658,0.08911490559251697,0.00896197284158819,0.00257113152172751,0.09326579603862027,0.01003311160752623,0.00283813841833738,0.02108727107039797,0.02116840731674867,0.0001666293945163,0.005789912119507738,0.023213710961179763,0.02398249874153085,0.00012665921822185562,0.00010188813321290824,14.0,0.01771483465940322,0.05440501424164814,0.023943801563595192,0.02377622021951601,0.0,0.0,0.02286641865906936,0.023548554390374156,0.0,0.0,0.6,0.5,0.4,0.6
7,7.0,7.0,0.01184873660294497,0.01316711627634121,0.006494897328461301,208.99586315394845,120.03882728361059,0.09143660473053103,0.00924014578868863,0.00241731880132398,0.09426183219502225,0.010196346275399028,0.00271280928593661,0.02054585803036514,0.02149421335547025,0.00013537120539689,0.00010631009936330058,0.021830913259164718,0.02219026580174267,0.00010428091045466806,0.00010291810613124043,15.0,0.01756407253926488,0.0593729279215124,0.02276639695745831,0.02291437830597648,0.1,0.1,0.021799091681249542,0.02263937644466753,0.0,0.0,0.5,0.5,0.6,0.6
8,8.0,8.0,0.012333060374898232,0.01329160034354622,0.006465360699347401,390.5874257777352,85.54916536463425,0.09353824682177352,0.00965736232430909,0.0025694235356122203,0.09737351081698478,0.010781305750271598,0.0028526202096868297,0.020716103753077066,0.021862959898293698,0.00013497520703815,0.00011877813376481,0.02176000155300319,0.02253300232336299,0.00011577410623426872,9.924599435178495e-05,19.0,0.015132192522929749,0.05555120523298882,0.02245907103476381,0.02270197622632724,0.1,0.0,0.02119993125839174,0.0214854939750579,0.2,0.1,0.6,0.7,0.6,0.6
9,9.0,9.0,0.012447954014063041,0.01245562859315778,0.006458765842134102,545.266596138454,201.10838172286748,0.09587690172298355,0.01011992102209905,0.0026546700646097,0.09851885452845507,0.01106796752073937,0.00279883141856626,0.0209853026469514,0.02213633661996914,0.00015022051520638,0.00011665299534792,0.02118734910791689,0.022185852007752378,0.00011795233003791116,0.0001227172790094747,20.0,0.01513827448059924,0.06054356018625688,0.02243173807275917,0.021819027147927703,0.1,0.0,0.021007013460686046,0.0212544276011594,0.2,0.1,0.4,0.7,0.4,0.7
