,Unnamed: 0,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
0,0.0,0.7674981301686288,0.6708203932499368,0.04492312357760962,0.9326624320886718,0.9207754202862752,0.1,0.1,4.762802040076939,4.83133088866298,0.0,0.0,5.329070518200751e-17,0.007236546697094991,0.0
1,1.0,0.752465159114535,0.6123724356957946,0.03935759258456523,0.9196923257486629,0.9092428712200322,0.2,0.0,4.172569521125172,4.030518540606981,0.0,0.0,1.2027416100105864e-16,0.06072783311828968,1.0
2,2.0,0.7810900055437044,0.5,0.11922391597181556,0.8777203131654504,0.863910141475956,0.4,0.3,2.9231505512704796,2.6893824159101896,0.0,0.0,5.600458368664678e-16,0.1923562222160399,4.0
3,3.0,0.7899578780723969,0.4743416490252569,0.19996603932231663,0.8796941923674927,0.8775950661568105,0.2,0.2,4.527338298623049,4.246846257292647,0.0,0.0,2.464695114667847e-15,0.2601929615717381,5.0
4,4.0,0.7824946433488111,0.40089186286863654,0.38694615815766153,0.8985306944150023,0.8685164248477595,0.4,0.3,2.526506237878583,2.5939692437171384,0.0,0.0,1.864381664924102e-15,0.2807574346195906,9.0
5,5.0,0.7791014690617459,0.38729833462074165,0.3250640907557681,0.8926349937464089,0.8737040929861333,0.1,0.1,3.0185664258217235,2.938010068345921,0.0,0.0,5.227840367272307e-09,0.5542661474552005,10.0
6,6.0,0.795784759282457,0.3441236008058426,0.5587022172985598,0.8286071026262712,0.8311582712719936,0.3,0.4,2.7725498863436586,2.671854476716653,0.0,0.0,6.845450046576967e-09,1.8407287485199049,14.0
7,7.0,0.7970283798931379,0.33541019662496835,0.31907611591741436,0.8220870553212372,0.8326832107452338,0.5,0.5,2.5703851377334557,2.3565677213305944,0.0,0.0,6.383782391594652e-16,2.255087767331861,15.0
8,8.0,0.8118523151080321,0.3061862178478973,0.5181562987156212,0.8060449230732202,0.8062063490290237,0.5,0.6,3.276836397867509,3.2167547102089626,0.0,0.0,6.735353016059283e-16,6.449825909477658,19.0
9,9.0,0.8079643772827463,0.29999999999999993,0.6955270626116544,0.7884852440550436,0.790172383739064,0.5,0.6,3.294065186330234,2.815275755226827,0.0,0.0,3.6193270602780096e-16,5.231440429692157,20.0
10,10.0,0.7597085038635819,0.14638501094227993,1.190214755758643,0.5920187253685802,0.593438654662045,0.9,1.0,0.5091408973451701,0.5170530438294068,0.1,0.3,0.38012239924508523,16.098472421383484,100.0
11,11.0,0.7575145356115658,0.14569287935358963,0.7103922912850976,0.5948227639411834,0.592809471359461,0.9,1.0,0.5090086827994088,0.5161011215059873,0.1,0.1,0.3803814056921833,14.601289422786795,101.0
12,12.0,0.6972774224318888,0.1047645443654367,2.1162377779837698,0.547375090043581,0.5299049921092184,1.0,1.0,0.4708612230328334,0.4618050701743023,0.2,0.1,0.3961005594189415,10.687946462305263,200.0
13,13.0,0.6974709785157248,0.10450995214374262,1.4547333498019726,0.5475604765190378,0.5297177232857722,1.0,1.0,0.46448458242078117,0.4596995093237856,0.2,0.1,0.3969083833797852,9.529564623720944,201.0
14,14.0,0.6645366486774271,0.08588975014708021,1.2311692842748017,0.5191371355083443,0.5039702347556415,1.0,1.0,0.4544918177357148,0.4525889572543676,0.3,0.1,0.40391486198286586,6.763561116997153,300.0
15,15.0,0.6648681117429209,0.0857492925712544,1.6493709101108833,0.5169920944850934,0.5029690358556967,1.0,1.0,0.4538392217219817,0.4524687067362165,0.3,0.1,0.4042719032509362,6.600455405376851,301.0
16,16.0,0.6440949722994335,0.07453559924999288,1.4336901752278208,0.4958894306467638,0.48753291317200603,1.0,1.0,0.44915931226676997,0.4452427313969657,0.3,0.1,0.41268473368017566,4.317607321962714,400.0
17,17.0,0.6433730287149031,0.07444375004781968,1.5318015770055353,0.4959506789632481,0.4884237173906352,1.0,1.0,0.44889754554483163,0.44510285073976297,0.3,0.1,0.41219891794369384,4.3331085733370855,401.0
18,18.0,0.6232078122597141,0.06674912392349772,1.2639311038423329,0.4860908239631086,0.4801428969377727,1.0,1.0,0.4482655409536093,0.4450745242688906,0.3,0.1,0.4087242987259006,5.02948509636335,500.0
19,19.0,0.6227520888795544,0.06668313367115798,1.5415919741848483,0.48537475300710786,0.4798642817639215,1.0,1.0,0.44815045120312397,0.44494757335037366,0.3,0.1,0.4083006339037489,3.938425357104279,501.0
20,20.0,0.6141271268743199,0.06098367211363061,1.6755873364163563,0.48053988640848894,0.4770104014604497,1.0,1.0,0.44603772702791283,0.442793179261436,0.3,0.2,0.417938761453826,4.875791557389311,600.0
21,21.0,0.6135809994919077,0.060933334777679,2.4707895131083206,0.48028541097439986,0.4768838626479736,1.0,1.0,0.4458766334505583,0.44268352346103546,0.3,0.2,0.417494535839413,4.719943343382329,601.0
