,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.0,0.019802287418141124,0.0199625137628269,0.0065581579658194,1.9046537653775888,2.0067490657093003,0.06877190185520685,0.005210133430531825,0.00229838370053965,0.06868480459576536,0.00515385061872155,0.0022837384061606247,0.025543447039751373,0.025492783049508777,0.0001857059542089,0.000174536049598775,0.0,0.0,0.0001690869685262,0.000170742423506425,0.0,0.0262326324531163,0.10867207548828535,0.016702018898095826,0.0176493034435681,0.017215371506265127,0.0170845652471971,1.0,0.0,0.0,0.0,0.016775063455184324,0.017551431796227653,0.01735317575204575,0.017024767701667075,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,0.019823505078529726,0.020022418139946926,0.0065559938436675,1.838399463449605,2.1206798243219964,0.0691369504511769,0.0052779156846132,0.002313463279967675,0.06890036940414518,0.0051582049338607,0.0022561249439302248,0.0253858765186835,0.025565019276975076,0.00018294970504937502,0.000180426199221925,0.02551189700933915,0.025593217451474075,0.0001701312430668,0.000175531778950225,1.0,0.020931498323860525,0.0622554646545338,0.016294951834049925,0.017273261981271326,0.016629869185678922,0.016612134334860973,1.0,0.0,0.0,0.0,0.0164305500816444,0.017356297928740275,0.016966261456740024,0.016889573818535973,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,0.02149581538399315,0.021755671116029125,0.006439169426899,3.1083397578040604,2.7483636342803948,0.07852534860180498,0.0068298515638993244,0.002648598091429325,0.0797966039879692,0.0070913121362044,0.0027333185932206,0.02781081878912115,0.027602637135658477,0.00026949931634585,0.0002691105182748,0.0291249454149635,0.029203085840438202,0.00027713246527125,0.00025841049500737503,100.0,0.001154887971932975,0.0021502489454029,0.015847615540555228,0.016579200749713127,0.01611053705387795,0.016163233075436576,1.0,1.0,1.0,1.0,0.015682351869761475,0.016459460776304124,0.01602677476619875,0.0159544430821357,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3.0,0.021534871046779,0.02172505814349535,0.0064384563774433,3.4533190668444154,2.7168387979618274,0.07861430719860653,0.00682829155134015,0.00265061447608805,0.07981059250690058,0.0070799027346048,0.00271348231735415,0.027784230778747223,0.0277070370908449,0.000257700972724625,0.0002619315637275,0.027780535731197327,0.027708240909508776,0.00025954598095262503,0.0002560525608714,101.0,0.001270639546911125,0.0022599692290165754,0.015796271320651,0.016579186096529426,0.016051073965327598,0.016169402634837376,1.0,1.0,1.0,1.0,0.015603923378687524,0.016480854168998475,0.01595867066142495,0.015909437913426725,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.0,0.022010505775236,0.02250223244221895,0.0063845805891259,3.769442291755695,3.188945925619919,0.08073196522142767,0.007333206810489025,0.00271527564196545,0.08249723645104137,0.007607390564718075,0.00283585412501855,0.027788132532140727,0.028150525761877952,0.00033906273893077497,0.000335864227963525,0.028726222315978173,0.028655555481401775,0.00032875343458724996,0.00032243251916945,200.0,0.00077127426901315,0.001300568382356975,0.015651178869495776,0.016371669724482826,0.016022254155195176,0.015830031305115427,1.0,1.0,1.0,1.0,0.015713740563258,0.0164186545221115,0.01600951118538185,0.01594959247972535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.0,0.022092327391242176,0.0224737280786702,0.0063841558135652,4.07429105573101,3.404372870252701,0.0807034540920084,0.00733162456753205,0.0027220538723684504,0.08256655550220145,0.007597686558263575,0.002830435907979225,0.027758795333973574,0.0281001043732155,0.00032797598396425,0.0003319315728731,0.027759205247839723,0.028117938417695224,0.000330906797898875,0.000331212329911025,201.0,0.0008311300853939999,0.001357814999480525,0.01565631303948305,0.016304708060858576,0.0160222007566525,0.015847896764253577,1.0,1.0,1.0,1.0,0.01575752105568175,0.01653746354766225,0.016080951233050925,0.016015076241739548,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6.0,0.021954542129070123,0.022486801347684174,0.0063488768917065,4.772557554824743,3.6747096785984468,0.08226880370667874,0.007672268987011425,0.002734967932680275,0.08468341474056468,0.00810956300373535,0.0029002318182112753,0.028375949880243626,0.028336451642758248,0.000417203496908725,0.00040794024243945,0.028172941305681726,0.0285028447617727,0.00039923927397459997,0.000408662803238175,300.0,0.000618394311728825,0.001004949079189425,0.015505396914790349,0.016251761360155548,0.015939140610619802,0.015772938216758223,1.0,1.0,1.0,1.0,0.015332225844977825,0.016024949699064723,0.015634095937739977,0.015617799809383225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0,0.02195177596407375,0.022565274954286098,0.0063485750024886,5.257354738540016,3.5897158519946974,0.08217316047853185,0.0076642175078774,0.00273961136002945,0.08468068211095278,0.008110275377811775,0.002887866289347825,0.0283686476750114,0.028312597088233797,0.00041064817924045,0.000414528796682125,0.028369024780791223,0.0283121221446651,0.00041129853343582496,0.000400045042624625,301.0,0.000658332609866325,0.001043884434304875,0.015458450993532775,0.016214245929063825,0.01590775125612735,0.01573838005572885,1.0,1.0,1.0,1.0,0.01529723268967285,0.01601572351862025,0.015690205527459228,0.015625928048741525,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8.0,0.022188663936552052,0.02291852813953585,0.0063223397674182,4.224230483552674,4.002927960536908,0.08285091593260213,0.007819087427766975,0.00279476687575905,0.085589912028356,0.0082822374127522,0.0029721902859825003,0.0285564578378504,0.028477320224355528,0.00048653900739732497,0.00049271344323635,0.0288212582506093,0.028768974906954126,0.000487283832626375,0.00047666457248842495,400.0,0.0005351819358317749,0.00083338149746575,0.015267462746517125,0.016117594351765248,0.0156234988727192,0.015568237080010976,1.0,1.0,1.0,1.0,0.015344455792659625,0.016030091862007975,0.01566549435769835,0.015623409652615775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9.0,0.022167931919698625,0.02289743543362025,0.0063221058708065,4.257722465583356,3.77793592796661,0.08286086294415658,0.007808299869929925,0.002789074985116975,0.08564155879729518,0.00827719208664035,0.002970807959306575,0.028549624893558626,0.028454493335921874,0.0004947590641677,0.00048529353807675,0.028567378824957225,0.02845419061134945,0.00047863621148277503,0.000476276036351875,401.0,0.0005652724780858749,0.0008627459507384,0.015267601875564125,0.0161177831047343,0.015627593721091924,0.015568191456916725,1.0,1.0,1.0,1.0,0.015344598844461599,0.016028999583149198,0.015664959357795525,0.015622164982851175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
