,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
0,-0.004886794919466515,-0.004886794919539582,0.003361969694053578,0.209172978400602,0.07489425278618,8.287820485947985e-10,2.7112488493875016e-35,5.797289312677591e-20,8.287820485947985e-10,2.711248849387502e-35,5.79728931276116e-20,-0.004886787320121231,-0.004886787320344859,0.0001464809975004755,0.00011626099876593798,0.0,0.0,9.640999633120373e-05,7.418000313919038e-05,0,0.05295734717851264,0.013447879521272372,0.05592408193755483,0.05165749568661037,0.0,0.0,0.05592408193739111,0.05165749568629292,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.00458309835193124,-0.004583098351987637,0.003346680576008471,0.06102905068837572,0.08942076866514981,8.403965524045587e-10,9.33808244878985e-36,3.739926590048977e-20,6.90651707162332e-10,2.2593740411562512e-35,3.924400882122615e-20,-0.004583092756015905,-0.004583092755993037,0.00011654000263661146,0.00011070100299548358,3.829087943771781e-05,3.8290879165067855e-05,0.0001006599995889701,9.243100066669285e-05,1,0.06405487482563865,0.04765661006103723,0.0571231133491122,0.05238790376209024,0.0,0.0,0.05712311334878665,0.05238790376172467,0.0,0.0,0.0,0.0,0.0,0.0
2,-0.0031987148745632747,-0.0031987148745629456,0.003312927879240557,0.5583315630065044,0.45873538118758006,7.066075922658657e-10,1.7440319000992335e-35,1.2224571290646504e-19,7.531209194338744e-10,1.5062493607708341e-35,4.0040310932145034e-20,-0.003198706595353328,-0.003198706595350615,0.0001548309955978766,0.0001455610035918653,0.005009828039110271,0.0050098280393397485,0.0001653910003369674,0.00010855100117623806,4,0.05193155587833183,0.04384157088022498,0.055953587277675465,0.050558836629055054,0.0,0.0,0.05595358727773126,0.05055883662910152,0.0,0.0,0.0,0.0,0.0,0.0
3,-0.0021589044134874345,-0.0021589044134249684,0.003304213067000732,0.3529241142896353,0.23958027803746518,1.0084758628854704e-09,2.2255325173290687e-35,8.895310154934223e-20,1.0503378573366783e-09,1.3556244246937508e-35,3.996204834223716e-20,-0.0021589070712271733,-0.0021589070712261463,0.0001996610008063726,0.00011659099982352927,0.003327000851633049,0.0033270008516264977,0.000145360994793009,0.00012983999477000907,5,0.050406588805623244,0.04410686134006917,0.05975453049106782,0.05250719262643236,0.0,0.0,0.05975453049118396,0.0525071926265535,0.0,0.0,0.0,0.0,0.0,0.0
4,-0.0005208210590108965,-0.000520820942654477,0.003276535241429209,0.48729224682756467,0.7926168490666896,1.362743213655598e-09,2.0263294367454726e-35,1.5166930047345587e-19,1.3926446382636036e-09,9.683031604955362e-36,5.869116427969977e-21,-0.000520876341932922,-0.0005208763170015802,0.00015488099597860128,0.00010502099758014083,0.014536604407240588,0.014536604407190883,9.667000267654657e-05,9.110999963013455e-05,9,0.04188644161273445,0.03849011526314779,0.0505476159771199,0.04449837012919799,0.0,0.0,0.05054761606214101,0.04449837020217125,0.0,0.0,0.0,0.0,0.0,0.0
5,0.002272497925131912,0.0022724979379941997,0.003270888673120253,1.6055233502338524,0.8696922399758478,1.3725424801480992e-09,2.69531812673658e-35,2.2529710474715704e-19,1.4239780056614272e-09,9.037496164625004e-36,4.6061796245122226e-21,0.0022724848951343173,0.002272484898255129,0.00016170000162674114,9.395099914399907e-05,0.003323106318433456,0.003323106462383338,9.667000267654657e-05,9.282000246457756e-05,10,0.040761425302908064,0.03776092707697621,0.046321014188323024,0.04027673375917479,0.0,0.0,0.046321014413656166,0.040276733980226034,0.0,0.0,0.0,0.0,0.0,0.0
6,0.003857268274821043,0.0038572677578018254,0.003251615643894696,3.3800479206693126,12.438687215042592,1.0641598704236784e-09,1.8235862984593545e-35,1.3000487449359402e-19,1.0751761847529436e-09,7.134865393125004e-36,0.0,0.0038572541609938824,0.0038572541032476297,0.00017124100122600794,0.00010887099779210985,0.010216000364805387,0.010216000211342172,0.00015192000137176365,0.0001062500014086254,14,0.03490398567584141,0.03324811701661721,0.03836495496455293,0.031464701091661225,0.0,0.0,0.03836496494936918,0.031464714751508104,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0038251285944821073,0.0038251386914084848,0.003247448664230699,1.7568744183008675,1.8754422924030223,9.539202495589188e-10,2.9696671340096543e-35,1.5166318561534687e-19,1.0214173755152967e-09,6.778122123468754e-36,0.0,0.003825072343526848,0.003825073978022705,0.0001551710010971874,0.00010951099829981104,0.0038262553475185705,0.0038262554640732882,0.00011160100257257,0.00010743999882834032,15,0.034356447596506204,0.03283508472773529,0.038472414950703734,0.031585293761052465,0.0,0.0,0.03847252007251239,0.031585417796944605,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0044837321460225905,0.004483725990673242,0.0032326803496737105,1.049347321895766,2.665532213439292,1.2954998261159532e-09,1.2662141652794282e-35,1.0666341715789243e-19,9.60938564259867e-10,5.648435102890628e-36,5.434143518244197e-21,0.004483724370951718,0.0044837234830331805,0.00015311100287362933,0.0001581309988978319,0.006271189214641282,0.0062712099509083605,0.00011533100041560829,9.874000534182414e-05,19,0.030755778426647597,0.029565196656924097,0.039165098456649165,0.032618019781812994,0.0,0.0,0.03916495274811009,0.032617649246550647,0.0,0.0,0.0,0.0,0.0,0.0
9,0.004472060757324541,0.0044720610472289875,0.0032293829210670593,2.3844676663866267,1.0756060595304007,1.1164904664634596e-09,1.9716083002866217e-35,1.0257942173756101e-19,9.225010216894724e-10,5.422497698775003e-36,5.251416866495741e-21,0.004472050652400803,0.0044720506889179504,0.00013311100337887183,0.00011651100066956133,0.004472668247086498,0.004472659868030087,0.00010023100185208023,9.606999810785055e-05,20,0.02977558883718217,0.02912519725275941,0.039170752120519146,0.032659426234976474,0.0,0.0,0.03917074402014324,0.032659415356471044,0.0,0.0,0.0,0.0,0.0,0.0
