,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,SA_tau,t
0,-0.0027698290466673867,0.005106179530229155,0.004802813848647968,0.001346544,0.018245128457187103,0.02294105537922924,0.0,0.0,0.021958948941784788,0.024698207751301143,0.0,0.0,-0.004083375124500394,0.000440421,-0.004083375154645858,0
1,-0.0027789124347907825,0.005070341370813942,0.004780972251440673,0.001358804,0.018267239005170535,0.022968756175338872,0.0,0.0,0.02195893846820168,0.02469819836306569,0.0,0.0,-0.004083371340785721,0.000463792,-0.004083371690446514,1
2,-0.004798382499330792,0.004389177717633018,0.0047327541132007956,0.001513615,0.023184547244385872,0.027695439547296852,0.0,0.0,0.02195894716441975,0.024698206631359812,0.0,0.0,-0.004083374006193527,0.000524672,-0.004083374819563284,4
3,-0.005100170373005497,0.004087246553202193,0.004720304381429617,0.001631675,0.023963215287646715,0.02822448990983882,0.0,0.0,0.021958969185796744,0.024698228353638666,0.0,0.0,-0.004083374108454359,0.000553152,-0.00408338309025199,5
4,-0.004734959550572096,0.0037158441544360376,0.004680764630613156,0.001859845,0.022544819564583447,0.02675781612451452,0.0,0.0,0.027119309578971157,0.031096601404825463,0.0,0.0,-0.00356054471742702,0.000729642,-0.005383988607866861,9
5,-0.004813404054028841,0.00353994013796073,0.004672698104457505,0.002115177,0.022728837452452223,0.02688070100114337,0.0,0.0,0.028665819144092847,0.033838172024909595,0.0,0.0,-0.0037375451815043156,0.000758563,-0.006365888450430344,10
6,-0.0024812317246556714,0.00883397424555529,0.004645165205563851,0.002261857,0.01790922406181922,0.021481083270061988,0.0,0.0,0.023742083565934616,0.028513460572790472,0.0,0.0,-0.001199481499277961,0.001093463,-0.0035493807493473836,14
7,-0.0020846798134228875,0.008666061022159378,0.004639212377472427,0.002852849,0.017020538807092457,0.020388125158883334,0.0,0.0,0.01790799697397139,0.020302781939226727,0.0,0.0,-0.00041105757217024233,0.001246484,-0.0006396469923294245,15
8,-0.0027249565721851167,0.007782404901114226,0.004618114785248158,0.00306674,0.01830535850224092,0.021739997875683207,0.0,0.0,0.01761163599533401,0.022631259490900897,0.0,0.0,-0.00014137023574861915,0.001321504,-0.0017414691261398777,19
9,-0.0028247792976176774,0.007581463756135949,0.004613404172952942,0.003137289,0.018510605286473178,0.02194553761508777,0.0,0.0,0.0188519350547978,0.024528326191068327,0.0,0.0,-0.00022786538926006128,0.001232704,-0.00234555362024386,20
10,0.004378683744829537,0.014674457234930226,0.0044508224693808746,0.012692648,0.011534802050595047,0.013767556676743602,1.0,1.0,0.012584424300027286,0.01663348898197399,0.0,0.0,0.007829065450000483,0.00685469,0.004312262800293727,100
