,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3
0,0.01808953800378674,0.01919726910811965,0.00562127825641667,1.5964574188692495,1.6934345959452912,0.07087976728071858,0.005790036020875644,2.8135291444569827e-19,0.06957595023051788,0.005652986361130958,6.248196787980028e-20,0.023614336788220697,0.023456601340637668,0.00018394296057522297,0.00018470198847353458,0.0,0.0,0.00016325199976563454,0.0001739119179546833,0,0.0177050272634448,0.018474231309747756,0.018293698695683765,0.018243071770210447,1.0,1.0,1.0,1.0,0.017762025836405116,0.01812617268271426,0.01825670467856266,0.017916823635127165,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.018052786231573345,0.019123854189611433,0.00561942329457216,2.1639619022607803,1.706066672806628,0.07115797020514186,0.0058188905913102995,1.8707802191906744e-19,0.06986950624223953,0.005684169563005839,-2.1083450801858258e-19,0.02347101675049996,0.023299459021301004,0.0002255430445075035,0.00020073307678103447,0.023469397959823952,0.02329966235968299,0.000240962952375412,0.00019172194879502058,1,0.01770390663484882,0.018472918287235084,0.01829369775597969,0.018241394429948356,1.0,1.0,1.0,1.0,0.017759632250339937,0.01812439598793503,0.018255267082350837,0.017915121282374425,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.01973860207750661,0.021118226009401768,0.005519288080199151,2.3239462930941954,1.3516968132462353,0.07923811203070946,0.006853037301112228,-8.0953762212251e-20,0.08075747406148041,0.007267281779769694,2.6931169456849373e-19,0.02774749782000303,0.027405979714605965,0.000230583013035357,0.00023546291049569845,0.028648805182625553,0.028759564411403822,0.00024027295876294374,0.00024005305022001266,100,0.015821638887492204,0.0165532593715623,0.01620459158408056,0.01613709767492717,1.0,1.0,1.0,1.0,0.016208279973236435,0.016772571296570254,0.016087508925807636,0.016490530780865438,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.019729737056249752,0.02108343734536938,0.005518676894951403,1.408446696237661,2.9089065390871838,0.07917695708568723,0.006840542284775338,-8.041764458170629e-20,0.08067839809609538,0.007250688318127766,4.570831936135718e-19,0.027685296854815158,0.027328789581323426,0.0003924639895558357,0.0002373920287936926,0.027685595020657906,0.027329571276726874,0.000300233019515872,0.0002579130232334137,101,0.015822567475024793,0.01655361523830409,0.01620545178022392,0.016137735853168255,1.0,1.0,1.0,1.0,0.016209416312248676,0.016773346635612262,0.016088709669050735,0.01649150884942426,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.020680969439218575,0.02068652476337018,0.005472497647822249,4.237182374112308,3.018248065141961,0.08115616507457472,0.00713951357150315,-2.498001805406602e-19,0.08314856042361167,0.007616183880702632,-4.490400703472654e-19,0.02663841326753399,0.027487171579311437,0.00035537395160645247,0.00031804293394088745,0.028280852715104762,0.028170238492026694,0.0004895159509032965,0.00036741397343575954,200,0.01547569240356403,0.01602534440991015,0.015828659903278725,0.015777861196934435,1.0,1.0,1.0,1.0,0.014994003616959628,0.015501279641783038,0.015030348272818784,0.015201839669398642,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.02067734443430287,0.020670856632276264,0.005472133554484492,5.149461809312925,2.9846571043599397,0.08113407207652933,0.007133998105095259,1.520474759820309e-19,0.08311967808825303,0.007608768671044383,-8.100919925431169e-19,0.026610857443814265,0.027446068306309763,0.0004227450117468834,0.00044360500760376453,0.026611053637681216,0.027444392669188526,0.00032095296774059534,0.00041882507503032684,201,0.015477674926659604,0.016027090724608707,0.015831625294741126,0.01578028343054601,1.0,1.0,1.0,1.0,0.014994270021666704,0.015501458347669805,0.015030657179630005,0.015202133731408187,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.020417168057352865,0.01972896441308245,0.00544189447860562,2.3714314901735634,1.3657766177784652,0.08186488955370771,0.007586224390806013,-1.486905836551549e-20,0.08462165864106498,0.00814042080472671,8.819994500560548e-20,0.026081394331275636,0.027350586713564225,0.0003802339779213071,0.00037522404454648495,0.02614307546937229,0.026760577904877503,0.0003676139749586582,0.0003680440131574869,300,0.01569388465157539,0.016473521658850784,0.016006919200608958,0.01600939753259552,1.0,1.0,1.0,1.0,0.01499522436437915,0.01550139503213336,0.015072955549434643,0.015230343967574925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.020415162240495655,0.019718467655505903,0.005441635716418847,3.060021793935448,1.8171876990236342,0.0818258788627142,0.007577891011997012,-8.401794612993082e-20,0.08456376880354084,0.00812899940964674,-4.408702676725611e-19,0.026063144845936373,0.027318546646458254,0.000374913914129138,0.0006077468860894442,0.02606325197893438,0.027318374051631192,0.0003848850028589368,0.0004033439327031374,301,0.015694082310678772,0.016473740346196506,0.016007203797743175,0.01600962859268816,1.0,1.0,1.0,1.0,0.014995325025510183,0.015501435444854482,0.015073139332682856,0.015230459735721636,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.020891220819761913,0.021131479866551697,0.0054191483720727645,5.319264565245248,2.2910632935818285,0.08323952916180881,0.008043385250652796,-3.7874795892160287e-19,0.08684076854312112,0.008786208781046414,3.075925934301176e-19,0.027181681999661624,0.026772253902740063,0.0005136750405654311,0.0004931159783154726,0.026908918558737765,0.02823415972190889,0.0005062359850853682,0.0004778449656441808,400,0.014774971042985769,0.015309630445871922,0.015166845492738022,0.015223119738311476,1.0,1.0,1.0,1.0,0.015338175024975285,0.015939605877142347,0.015463211595857241,0.01578338117183023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.020890149441243355,0.02112675872388191,0.005418947889262732,3.3843189388280734,3.439945291960612,0.0831463054837127,0.008029358639601206,-8.173586222728859e-20,0.08675127287721891,0.008771604093298302,2.1844340705722876e-19,0.027166738018506463,0.026756054491309612,0.0004721550503745675,0.00045836600475013256,0.027166662370430965,0.02675502228638945,0.00042321498040109873,0.00045778590720146894,401,0.014775404102064826,0.015309847193160815,0.015167836642940071,0.015223618184233234,1.0,1.0,1.0,1.0,0.015338263926658293,0.015939671930116008,0.015463297213633934,0.01578348073617365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
