,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_satisfy_p1,SA_satisfy_p2,SA_satisfy_p3,SA_satisfy_p4,DRO_satisfy_p1,DRO_satisfy_p2,DRO_satisfy_p3,DRO_satisfy_p4,SA_obj_values,SA_obj_values_act,DRO_obj_values_act,SA_time,SA_tau,t
0,-5.937946609668339e-18,53.6128810662989,0.017026798450415694,0.6010476149385795,89.80884468948685,86.92218377771269,87.08351001122574,88.6058786700827,0.0,0.0,0.0,0.0,86.01900777317954,81.56969770356301,82.39289787022025,83.64857287741765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26847988314342,41.26847988314343,42.55715112766631,0.11450152297038585,0.0,0
1,-2.9205272026640857e-18,53.4131376861621,0.016719176041558738,1.2503252800088376,89.80884468948688,86.92218377771272,87.08351001122577,88.60587867008273,0.0,0.0,0.0,0.0,86.01900777317955,81.56969770356301,82.39289787022028,83.64857287741766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.26847988314342,41.26847988314343,42.55715112766631,0.10880699893459678,0.0,1
2,3.4359090917322364e-18,52.277974093645895,0.014495593273553911,1.5575553430244327,56.40798487607682,54.820364673737004,55.760661144465914,55.77024992687342,0.0,0.0,0.0,0.0,70.61546562826162,69.10079134024866,70.15488274695507,70.19744556166961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.86596059660394,41.865960596603955,42.5702480358963,0.5467289169318974,-1.4830585018155022e-28,20
3,-5.551115050747479e-18,52.239974267463495,0.014438851867633367,2.2170741439331323,56.407984876076824,54.82036467373702,55.76066114446593,55.77024992687343,0.0,0.0,0.0,0.0,43.71677434483063,43.5171096329912,43.860346527345534,43.94340919105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.5702480358963,0.5461612300714478,0.0,21
4,1.3862606362644571e-18,51.88621665017372,0.013668118779863368,3.362362797022797,45.97820091029978,45.1867602978081,45.320150344613786,46.15269036665455,1.0,1.0,1.0,1.0,43.71677434483064,43.5171096329912,43.86034652734554,43.94340919105504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22474388605919,42.224743886059215,42.51685907243457,0.7862498100148514,0.0,40
5,0.0,51.86564644036925,0.013638110738372273,2.4897878989577293,45.978200910299776,45.18676029780809,45.320150344613786,46.15269036665455,1.0,1.0,1.0,1.0,43.71677434483063,43.51710963299119,43.86034652734553,43.94340919105503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.224743886059194,42.224743886059215,42.51685907243457,0.43925543199293315,5.932234007262009e-28,41
6,9.647633865954961e-19,51.54793990937982,0.0131746370619041,3.3071444981032982,45.978200910299776,45.18676029780809,45.32015034461378,46.15269036665454,1.0,1.0,1.0,1.0,43.71677434483062,43.517109632991186,43.86034652734552,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.51685907243457,0.6297273270320147,0.0,60
7,3.986798647452299e-18,51.53416225205699,0.013154538068431802,3.5719744859961793,45.97820091029978,45.18676029780809,45.320150344613786,46.15269036665455,1.0,1.0,1.0,1.0,43.716774344830625,43.51710963299119,43.86034652734553,43.94340919105503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.51685907243457,1.231902253930457,-5.9164567891575885e-31,61
8,-2.9937961737948357e-18,51.32293151525121,0.012825907488682358,7.720993248047307,45.00911717325408,44.10995728099718,44.55602922568639,44.95507754370087,1.0,1.0,1.0,1.0,43.716774344830625,43.517109632991186,43.86034652734553,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.22474388605919,42.224743886059215,42.510563841876845,0.851226627943106,0.0,80
9,-7.237895468000488e-19,51.3126305601727,0.012810915025615011,4.546069061034359,45.009117173254076,44.109957280997165,44.55602922568638,44.95507754370085,1.0,1.0,1.0,1.0,43.71677434483062,43.517109632991186,43.86034652734552,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.224743886059194,42.224743886059215,42.510563841876845,0.7945591440657154,0.0,81
10,7.30381678544944e-18,51.13898872498539,0.012557727818927755,5.609694259008393,44.897232140255625,43.94149172340682,44.4609150072048,44.80052980230525,1.0,1.0,1.0,1.0,43.716774344830625,43.517109632991186,43.86034652734553,43.943409191055025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2247438860592,42.224743886059215,42.50774966640593,0.6494075669907033,-3.4214475181245724e-26,100
