,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,obj_val_act,MRO_obj_val_act,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3,satisfy_p0,satisfy_p1,satisfy_p2,satisfy_p3,MRO_satisfy_p0,MRO_satisfy_p1,MRO_satisfy_p2,MRO_satisfy_p3
0,58.41574886612645,58.41574886612645,0.08513399225207846,0.7791214226745069,0.5538853547768667,0.0,0.0,0.0,0.0,0.0,58.41574886612646,58.41574886612646,0.0,58.41574886612648,58.415748866126464,0.0017593730008229613,0.0015987829538062215,,,0.001405945047736168,0.0016183039406314492,0,1.7686350708302911,0.34053603644327146,70.22670890837027,69.18043765112168,69.65248403210667,70.3231938024048,0.0,0.0,0.0,0.0,70.22670890837028,69.1804376511217,69.65248403210668,70.32319380240483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,58.40615716109963,58.40615716109963,0.0835958802077937,0.980523846228607,0.797003504820168,0.0,0.0,0.0,0.0,0.0,58.40615716109965,58.40615716109965,0.0,58.40615716109963,58.40615716109963,0.002302061067894101,0.0026503889821469784,58.41574886612645,58.41574886612645,0.002455280045978725,0.0016422339249402285,1,2.24013840881162,[1.32818446],70.58757893479418,69.53437442950282,70.00818303812353,70.68910185696662,0.0,0.0,0.0,0.0,70.58757893479418,69.53437442950283,70.00818303812353,70.68910185696662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,58.36904971846165,58.5046231320061,0.07247796636776956,1.4644047192996368,1.2686774247558787,1.0782185938119642,1.55794659959205,0.4995500120913997,1.240524671547084,1.8617826558829285,58.369049718461675,58.50462313200612,0.6999456754737643,62.93419172597452,58.5046231320061,0.004860929911956191,0.004600900923833251,67.52094786195715,67.52094786195717,0.004455802030861378,0.004382801940664649,20,0.5446525031148264,[0.80201552],59.349023642658,59.079033568248676,59.23932964811219,59.44158041366148,0.0,0.0,0.0,0.0,64.83458422325448,64.41390647614324,64.80801904526037,65.31118188381392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,58.370843735684815,58.50278433009987,0.07219425933816684,1.1877427572617307,0.9256422418402508,1.159398129809354,1.6936485100900394,0.5860946759892219,1.3127460980768018,2.1258710999586037,58.370843735684836,58.50278433009988,0.7960588164352783,65.3620671644196,58.50278433009987,0.008107785950414836,0.007616449031047523,65.76303336532604,58.5046231320061,0.006225925055332482,0.007854306953959167,21,[0.52048667],[1.24752796],59.35696345701479,59.084511797495836,59.248328856389314,59.450368854362615,0.0,0.0,0.0,0.0,64.55077188005171,64.11217011245175,64.52287782023392,65.04514845153538,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,58.379980884295534,58.477807411604545,0.06834059389931683,0.9805889740819111,1.1913177279056981,1.5460819981500056,2.6842209474104823,0.751218730772969,1.630874082065362,3.0287294024844584,58.37998088429555,58.47780741160455,0.8999001967184947,69.4372743762667,60.75465933885053,0.008569365018047392,0.008258135989308357,73.94990177604566,60.50059680713822,0.008797454065643251,0.008413936011493206,40,[0.28057897],[0.67139226],59.482117013479666,59.16540487900127,59.379020665556716,59.58000683976107,0.0,0.0,0.0,0.0,62.82307433362615,62.220977551175686,62.84550410642533,63.355220417873234,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,58.37915070418428,58.476834949907456,0.06819055369186137,0.7599776559509337,0.8970075021497905,1.5434481583393473,2.6706987724247986,0.7530718397576731,1.626396936082631,3.0077179132580367,58.379150704184305,58.47683494990747,0.899013152327273,69.19605816523118,60.70796849301324,0.008114046999253333,0.008240755996666849,69.17634944585495,60.698312896178734,0.00862208497710526,0.007988527067936957,41,[0.27717272],[0.65853894],59.487505673109936,59.168755525103556,59.3845219408813,59.58553592646022,0.0,0.0,0.0,0.0,62.83014780336586,62.22771649413581,62.85368179122581,63.36403328181319,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,58.36864540676197,58.46181529598891,0.06587318530952051,1.2759044810663909,1.4076205175369978,1.7074635821144681,3.2959444873671364,0.8056672826218416,1.7808360725935939,3.60887919767611,58.36864540676199,58.46181529598893,0.978389561228808,68.64059012159069,60.51534821797841,0.020013448083773255,0.020623486023396254,68.73467793355415,60.34385813268735,0.021293743047863245,0.014134812052361667,60,[0.19648031],[0.45879428],59.57610103783316,59.226705221603254,59.472175381558806,59.67606961924429,0.0,0.0,0.0,0.0,62.83904670872627,62.21261961963128,62.87672486715719,63.38218385415533,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,58.36695254462475,58.46116395387092,0.06577269034215902,1.016278122086078,1.071528788539581,1.7189206514610664,3.3344781302344133,0.8337631362201968,1.795141689517954,3.6667225742617426,58.366952544624766,58.46116395387094,0.9902249647683941,68.64607882261724,60.48621909288428,0.01118575397413224,0.010735835996456444,68.47216432703514,60.47890480422456,0.010644585941918194,0.010595545987598598,61,[0.19485543],[0.4529996],59.58020082574174,59.22936339422067,59.47605440687969,59.68023992863709,0.0,0.0,0.0,0.0,62.89278803549047,62.27716677114327,62.93257281760581,63.4465372054165,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,58.35575436840405,58.45051412017918,0.0641295374434118,1.2915476690977812,0.7454106803052127,1.7689701447803967,3.4916205408447984,0.8802287542439395,1.8238833384950899,3.7396924205331583,58.35575436840406,58.450514120179186,0.9928199271418113,68.26362407134675,60.62698139308921,0.014330011093989015,0.014361340901814401,67.7879833944499,60.518293127918334,0.014363681082613766,0.013945003040134907,80,[0.1512095],[0.3488248],59.65188753182571,59.27471951384938,59.54248758198549,59.75086263814542,0.0,0.0,0.0,0.0,63.07115589573541,62.4680639925966,63.12049670107882,63.65463291004162,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,58.35346074411417,58.45002826387689,0.06405457512807505,0.7981773337814957,0.9349852519808337,1.773385855749605,3.5037532071090762,0.8797312269278735,1.8284838357020368,3.753065974016793,58.35346074411419,58.4500282638769,0.9907877870667788,68.41049977100778,60.60290784748965,0.014148371992632747,0.015022048028185964,68.13987406677418,60.598012683818006,0.014252380933612585,0.013865503016859293,81,[0.15055403],[0.34575992],59.65532026648725,59.276920591660506,59.54583034566918,59.75412627203567,0.0,0.0,0.0,0.0,63.17205026740291,62.57754027257445,63.21673780831323,63.75695067219745,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
