,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1
0,0,0.0119188427358554,0.0119188426825279,0.0067239393881071,3.3673593355342746,7.38932433584705,5.268356063861755e-10,3.4055623363206736e-35,2.290945670867145e-20,5.268356063861755e-10,3.4055623363206736e-35,2.29094522575505e-20,0.0119188437645228,0.0119188436146721,0.0002204030752182,0.0001267411280423,0.0,0.0,0.0001509319990873,0.0001107710413634,0,0.0354266945401523,0.0268957580792642,0.0310040154314791,0.0256800091744478,0.0,0.0,0.0310040153704612,0.0256800090433043,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.0118630433425003,0.011863058385526,0.0066933611520169,8.217120066285133,11.533905970863998,0.0218048975177278,0.0014263606672758,0.000886901681796,0.02132734159125,0.0013645664418695,0.0006451139109986,0.0118630720332973,0.0118630621238649,0.0001465720124542,0.0001220011617988,0.0118630627948491,0.0118630626454299,0.0001026908867061,0.0001041011419147,1,0.040136358028991,0.048091860307896,0.0310191269212248,0.0256923388415227,0.0,0.0,0.0310216334235775,0.0256942380884206,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.0119926192416029,0.0119926192362685,0.0066258557584811,9.887007027398797,9.262962034204977,0.0512544534159815,0.0041208944389428,0.0011393247900585,0.0512544534159815,0.0041208944389428,0.0011393247921327,0.015194371378926,0.0151943713546922,0.0001612119376659,0.0001008210238069,0.0211697734412636,0.0211692765961234,0.0001390508841723,9.679095819592476e-05,4,0.0282912419237814,0.0454568182442646,0.0250120656901391,0.0205265482629401,0.0,0.0,0.0250120657207235,0.0205265482898908,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0.0119611826615537,0.0099158910733953,0.0066084261340014,10.56415984663181,7.363747592549771,0.0556348985011264,0.0045015828724436,0.00178480217263,0.0625204009362601,0.0061867957615876,0.0014450117291141,0.0148433604486948,0.0180828140323562,0.0001236009411513,9.19010490179062e-05,0.0148427589205927,0.0148427588975841,8.671986870467663e-05,0.0035150230396538,5,0.0278119666063005,0.0643592772486412,0.0301889116154269,0.0255505604511033,0.0,0.0,0.0250119423053988,0.0205267353795336,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0.0123724116262193,0.0124323930673826,0.0065530704828584,47.49012345843949,90.82965874974616,0.0785391927557816,0.0073512730730024,0.002951226906599,0.079973968764241,0.0086919387965731,0.0027544882088735,0.0182626092673862,0.0177099125957343,0.0001785019412636,0.0001063309609889,0.0200733370022271,0.0227247934626983,0.0001254209782928,0.0001014610752463,9,0.0209354848411761,0.0531371381901026,0.0262881121779768,0.0222508142495724,0.0,0.0,0.0241822383429092,0.0206716562896602,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.012352133594113,0.0117359293636773,0.0065417773462405,68.83560785860755,34.44843079335988,0.0823320898004604,0.0080693351499949,0.0027853875022293,0.0820063066976226,0.0089565891815247,0.0027903588829739,0.0178506435340863,0.0201173436279918,0.0001199308317154,9.100115858018398e-05,0.0178496476171155,0.0173378518877693,8.940091356635094e-05,0.0001065621618181,10,0.0206723615243678,0.0637458613492599,0.0255219854352798,0.0212078067463142,0.0,0.0,0.0241817004325857,0.0206715880534328,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0.0143905483507016,0.0127591562665916,0.0065032312877893,26.06073617516085,8.754740457516164,0.0869019945263586,0.0086407683974894,0.0024366806113866,0.0896964903171931,0.0094197599747501,0.0024248159501137,0.0213859957590024,0.0223125749677718,0.0001540009398013,0.0001610920298844,0.0294253635522382,0.028475794234631,0.0001505711115896,0.0001050110440701,14,0.0167336615694377,0.0515111538587542,0.0219133406628471,0.0200917209880415,0.0,0.0,0.0174083240898688,0.0150981949485939,0.0,0.0,1.0,1.0,1.0,1.0
7,7,0.0143208524128144,0.0154962865134271,0.0064948973284613,18.257970484206453,0.8027817094698548,0.0921114179116807,0.0085998195446188,0.001984727256766,0.0906708436531261,0.0095650851094568,0.0024386075906765,0.0209379192684352,0.0224799795192692,0.0001266009639948,9.763101115822792e-05,0.0209671661746742,0.0217641561869201,9.551108814775944e-05,9.74610447883606e-05,15,0.0166257272484237,0.0585103863920902,0.0222642131985058,0.0198071445278708,0.0,0.0,0.0174121596617251,0.0151012280042431,0.0,0.0,1.0,1.0,1.0,1.0
8,8,0.0145211553821619,0.0139669180677247,0.0064653606993474,19.877559436718,13.372401738772169,0.092632849153622,0.0093103339326478,0.0019062728812094,0.0910987901080086,0.0094583097559768,0.0023571862361154,0.0204762742316096,0.0204158026168267,0.0001588519662618,0.0001532910391688,0.0206722866641924,0.0214105237162415,0.0001577709335833,0.0001060608774423,19,0.0143698634264506,0.0508247533933891,0.016105394547327,0.0140810913426464,0.0,0.0,0.0162622504606432,0.0137637041867377,0.0,1.0,1.0,1.0,1.0,1.0
9,9,0.0144717652506607,0.0127423721099163,0.0064587658421341,29.880172630539164,13.629191047046334,0.0953647632884071,0.0098795508683098,0.002109501893933,0.093508863650851,0.0100249377286632,0.0023567183291382,0.0201767358720665,0.0196388125637818,0.0001534209586679,0.0001126211136579,0.020188879366621,0.0201455324254481,0.0001146821305155,0.0001046711113303,20,0.0143621532680435,0.0501407682640243,0.0205633373643905,0.0154213045340522,0.0,0.0,0.0162598252082249,0.0137525903456561,0.0,1.0,1.0,1.0,0.0,1.0
