,Unnamed: 0,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_satisfy_p1,SA_satisfy_p2,SA_satisfy_p3,SA_satisfy_p4,DRO_satisfy_p1,DRO_satisfy_p2,DRO_satisfy_p3,DRO_satisfy_p4,SA_obj_values,SA_obj_values_act,DRO_obj_values_act,SA_time,SA_tau,t
0,0.0,-2.9689733048341696e-18,53.6243554303195,0.0170267984504156,0.9004602549830452,83.43338707060445,80.1336481967088,81.39176745822635,82.21355586926327,0.0,0.0,0.0,0.0,84.30315426374058,80.80075403123337,80.55372795818643,82.53937605754312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.056764030151655,41.056764030151655,42.48625094347301,0.14008714497322217,0.0,0.0
1,1.0,-1.4602636013320428e-18,53.423833673844584,0.0167191760415587,1.2969165975227952,83.43338707060445,80.13364819670882,81.39176745822637,82.21355586926327,0.0,0.0,0.0,0.0,84.30315426374057,80.80075403123334,80.55372795818643,82.53937605754311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.056764030151655,41.056764030151655,42.48625094347301,0.1530325500061735,0.0,1.0
2,2.0,1.14532727692205e-18,52.273022321031064,0.0144955932735539,1.6964571499847807,51.22550700815329,49.18964889893539,50.39883691114288,51.1639002993839,1.0,1.0,1.0,1.0,66.36435286752021,62.58992588483137,64.97240860657024,65.11509649152057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.729480569306446,41.729480569306475,42.49870457201734,0.35868412954732776,0.0,20.0
3,3.0,-1.898415630186051e-18,52.23480440719164,0.0144388518676333,1.9900032388977706,51.2255070081533,49.189648898935395,50.39883691114288,51.1639002993839,1.0,1.0,1.0,1.0,56.37777667596064,54.465945674088125,56.26394267736248,56.110756084120744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.86442100171725,41.86442100171726,42.49870457201734,0.4702315089525655,0.0,21.0
4,4.0,-1.0394769099514156e-18,51.79808094995207,0.0136681187798633,2.842559472017456,46.780195441068045,45.65865658363376,46.28105500167549,46.98190879868015,1.0,1.0,1.0,1.0,44.335257417437944,44.28200457102517,44.678874915050535,44.61937725490968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21053423860857,42.21053423860859,42.48776028532435,0.6303403780329973,0.0,40.0
5,5.0,0.0,51.77764035433687,0.0136381107383722,2.8026789904688485,46.78019544106805,45.65865658363376,46.28105500167548,46.981908798680145,1.0,1.0,1.0,1.0,44.335257417437944,44.28200457102517,44.67887491505054,44.61937725490969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.210534238608574,42.21053423860859,42.48776028532435,0.5026838375488296,0.0,41.0
6,6.0,4.683753384930383e-18,51.53108105749261,0.0131746370619041,3.586013483523857,46.14135587278933,45.29455803642966,45.540140180235184,46.332657752873686,1.0,1.0,1.0,1.0,44.08440002897801,43.868125117362226,44.285988259910425,44.3544857728815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21053423860857,42.21053423860859,42.50571847640132,0.6406783695565537,-1.5777218104420236e-30,60.0
7,7.0,4.3035385786539335e-18,51.51731212383976,0.0131545380684318,3.530971971456893,46.14135587278943,45.29455803642976,45.54014018023527,46.33265775287378,1.0,1.0,1.0,1.0,44.08440002897803,43.86812511736223,44.28598825991044,44.35448577288152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21053423860856,42.21053423860859,42.50571847640132,0.9762297089910135,9.244463733058732e-32,61.0
8,8.0,-1.0911930482350244e-19,51.34921176441412,0.0128259074886823,5.67734506749548,45.27394611515186,44.291416948992406,44.9232034989489,45.15765151397156,1.0,1.0,1.0,1.0,44.08440002897801,43.86812511736221,44.285988259910425,44.354485772881496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21053423860856,42.21053423860859,42.518008803400676,0.9782660369528458,2.157041537713704e-31,80.0
9,9.0,-7.088399140127586e-19,51.33888879238662,0.012810915025615,5.1708485124399886,45.27394611515186,44.291416948992406,44.92320349894891,45.15765151397157,1.0,1.0,1.0,1.0,44.08440002897799,43.8681251173622,44.285988259910404,44.35448577288148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.21053423860857,42.21053423860859,42.51800880340068,0.912362793518696,-1.7749370367472766e-30,81.0
