,Unnamed: 0,obj_values,MRO_obj_values,epsilon,online_time,MRO_time,MRO_mean_val,MRO_square_val,MRO_sig_val,mean_val,square_val,obj_val_act,MRO_obj_val_act,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_eval2,MRO_eval3,MRO_satisfy0,MRO_satisfy1,MRO_satisfy2,MRO_satisfy3,O_eval0,O_eval1,O_eval2,O_eval3,O_satisfy0,O_satisfy1,O_satisfy2,O_satisfy3,O_worst_satisfy0,O_worst_satisfy1,O_worst_satisfy2,O_worst_satisfy3,MRO_worst_satisfy0,MRO_worst_satisfy1,MRO_worst_satisfy2,MRO_worst_satisfy3,satisfy_p0,satisfy_p1,satisfy_p2,satisfy_p3,MRO_satisfy_p0,MRO_satisfy_p1,MRO_satisfy_p2,MRO_satisfy_p3
0,0.0,58.24724300980897,58.24724300980897,0.0851339922520784,0.8698213085299358,1.0422304963867646,1.570092458683775e-17,4.930380657631325e-33,1.1102230246251564e-17,1.570092458683775e-17,4.930380657631325e-33,58.24724300980898,58.24724300980898,1.1102230246251564e-17,58.247243009809004,58.247243009809,0.0015595412405673,0.00112227775389325,,,0.00100810101139355,0.000995780748780775,0.0,0.4832119263370661,0.34053606028512934,110.86143288507094,109.46206534175461,108.22463837096728,111.58844107473108,0.0,0.0,0.0,0.0,110.86143288507095,109.46206534175461,108.22463837096731,111.58844107473108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1.0,58.23749207707968,58.25831658544471,0.0835958802077937,1.3295667734055314,0.994675444351742,0.3383994643223331,0.34722999770255003,0.15730878873369847,0.35668966512984196,0.3886327929870317,58.237492077079686,58.25831658544472,0.19321998554780404,61.236376086540005,58.25831658544471,0.0014296792505774252,0.00129304721485815,61.11407145995334,61.11407145995334,0.001257084950339,0.0012591050181072,1.0,0.9144167327796697,1.2872637341135884,110.85650220507134,109.55535030475566,108.27176822396439,111.71495319392022,0.0,0.0,0.0,0.0,111.604659647524,110.20222142854055,108.95113473829021,112.34733910342801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,2.0,58.347375641967844,58.39853843320692,0.0724779663677695,0.8651605138147715,0.7966658973891754,1.6677845045841035,2.9744350822263588,0.8062470162777786,1.8271143388973048,3.9907219750846794,58.347375641967865,58.39853843320695,0.920630015962571,71.38792972343,66.07464420372416,0.0048923522117547,0.00463139847852285,125.95459515365144,124.59001374087511,0.0047122430405579,0.0046383832232095,20.0,0.2261941260677503,0.3757718127735646,64.99983449401236,64.2427358655196,64.70936138844866,65.31700120144845,0.0,0.0,0.0,0.0,69.3325861839606,68.41897682925523,68.95920063999544,69.75322702375817,0.0,0.0,0.0,0.0,0.75,0.75,0.75,0.75,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3.0,58.33835405348437,58.37630114422845,0.0721942593381668,1.4290941495273728,0.8572904710890725,1.709979512197672,3.1195768386843366,0.8432200368422044,1.8422245982774192,4.015574041012391,58.338354053484395,58.37630114422846,0.9537753168532846,74.24237969716165,71.36260664496221,0.0048461927508468994,0.0046839955321047256,71.7643979024811,66.84809104641216,0.004655618744436625,0.004577048966893875,21.0,0.22173653904487764,0.5270817826789472,65.45649981028666,64.81168401146732,65.45668276639512,66.09448563784757,0.0,0.0,0.0,0.0,69.22401422588747,68.22049005906865,68.91209768241805,69.7585243731083,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4.0,58.314395227603775,58.35945288411952,0.0683405938993168,0.6109744395362213,0.5812047005456407,1.8446978643977694,3.6482752406443875,0.9323985392544777,2.0525988658973118,4.729289431088905,58.314395227603775,58.359452884119534,1.0961855383801349,78.0051126704964,71.56282572982917,0.008575519750593175,0.007963654730701776,76.34740817391382,73.07931905632987,0.0079424472060054,0.008128821500577001,40.0,0.12782671064141288,0.29341275217937085,65.19082921422228,64.46306728810637,65.15420431633498,65.7371994367824,0.0,0.0,0.0,0.0,68.81119902925441,67.72433657605949,68.69041127651941,69.60311164981528,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,5.0,58.314320851977854,58.35860686280708,0.0681905536918613,0.6780768519092817,1.1382725975709036,1.8458884444736516,3.6512813273892677,0.9291065376934218,2.0576074920538483,4.746875456238495,58.31432085197787,58.358606862807086,1.098001648191005,77.65214997596783,71.27896693318036,0.008362522989045775,0.0082207162631675,77.74895668245281,71.25239287473781,0.008319218468386649,0.00831003850908015,41.0,0.12918376123496084,0.290828675125038,65.2034725760981,64.47517519530341,65.16766479954221,65.75118358885146,0.0,0.0,0.0,0.0,68.75566220745195,67.67233844206083,68.63250595678903,69.54097183377395,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,6.0,58.30407856777367,58.35459563360247,0.0658731853095205,0.9213828141510021,0.8662935871398076,1.8635008459278057,3.723532511812655,0.9434908171241859,2.080975648053364,4.824157820190299,58.30407856777368,58.354595633602486,1.127577190555837,77.96083322245974,71.31297748282462,0.0113897162955254,0.011323101265588723,77.96738434176294,72.2273002971561,0.011251766525674573,0.011051654757466126,60.0,0.09504010745472596,0.20626519225981968,65.13246849358693,64.36176522648093,65.03521979842623,65.68298506381873,0.0,0.0,0.0,0.0,68.72690225793801,67.56339196928806,68.6492863032946,69.60195924714883,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,7.0,58.30391616424453,58.354036632863284,0.065772690342159,0.7244912883616053,0.75544965438894,1.8648792067304907,3.728008849800772,0.9461239440151474,2.0815766114874448,4.828892291739871,58.30391616424454,58.35403663286329,1.1316449520990586,77.9307990317969,71.36231287537079,0.012208347267005551,0.012068415759131274,77.96855868943845,71.3456219276495,0.012230477266712076,0.0120266907906625,61.0,0.09552470234522102,0.2049559405778225,65.14035526906392,64.3696241029536,65.04367821074528,65.69188752772939,0.0,0.0,0.0,0.0,68.71894357477179,67.55345743167965,68.64260169096282,69.5938850806933,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,8.0,58.29542453635054,58.339662353087945,0.0641295374434118,0.6921482965408359,0.6762438382429536,1.884000247720964,3.8146355982148243,0.951940308935808,2.1121068092949526,4.966057161464049,58.29542453635055,58.33966235308796,1.1423782523811556,77.00172136679838,71.516433375509,0.014947765768738401,0.014414970733923775,77.11005944301893,70.6959664710665,0.015385957289254223,0.014441045495914226,80.0,0.07680991606263092,0.16063636808845722,65.50181944985067,64.63681275880433,65.45157507662054,66.05175024579259,0.0,0.0,0.0,0.0,68.87273128190321,67.7279587759962,68.8134307041795,69.73503580693733,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,9.0,58.29493032866795,58.33865584732632,0.064054575128075,0.832249912986299,0.8137278872309253,1.8859003843358075,3.8233596001105616,0.9564436784244983,2.1132986436984584,4.973882244727609,58.29493032866797,58.338655847326336,1.1425402613714164,77.05856210250067,71.80373875751201,0.0151206005539279,0.014995178760727826,76.96894582405304,71.49598537842907,0.015281842497643024,0.015390781743917576,81.0,0.077781198204289,0.16058946083259418,65.6780000753982,64.76377902192138,65.60759559917015,66.22548179201092,0.0,0.0,0.0,0.0,68.91654675663116,67.75929502910637,68.85737063849925,69.78077322886338,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
