,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,SA_tau,t
0,0.0003106723251818342,0.0075055085415564856,0.0038422510789183745,0.15795985400109203,0.02245416662285874,0.02161083596343029,0.0,0.0,0.02529288363865813,0.026362345693162082,0.0,0.0,-0.0008665620918041272,0.20382261800114065,-0.0008665620918041293,0
1,0.00030742838204998393,0.007472781409608833,0.003824777801152538,0.2325781569998071,0.022464958780326696,0.021622685585392567,0.0,0.0,0.02529288363865813,0.026362345693162082,0.0,0.0,-0.0008665620918041286,0.07730083799833665,-0.000866562091804129,1
2,0.0011855216835216524,0.00810010256229831,0.0037862032905606365,0.16777994400035823,0.019448285736649865,0.01868371530846469,0.0,0.0,0.027808947670288332,0.03127370776228703,0.0,0.0,-0.0003589498043872231,0.1632564440005808,-0.00035894980438722345,4
3,0.0006198748004901239,0.008212361606098312,0.0037762435051436937,0.13907227600066108,0.02025197099762175,0.02030880473873345,0.0,0.0,0.027808947670288332,0.03127370776228703,0.0,0.0,-0.0003589498043872231,0.05697680699813645,-0.0003589498043872234,5
4,0.0003482533595482977,0.008428036908791268,0.0037446117044905246,0.2089003879991651,0.0211671531032359,0.020464014124484647,0.0,0.0,0.025999962501758983,0.027759133315151098,0.0,0.0,5.697673131776641e-05,0.069680372998846,5.69767313177657e-05,9
5,0.00031858848996624945,0.00837720319349491,0.0037381584835660038,0.2691770719975466,0.021184548771045125,0.02045395746286151,0.0,0.0,0.025999962501758976,0.02775913331515109,0.0,0.0,5.697673131776629e-05,0.0692068320022372,5.6976731317766264e-05,10
6,0.0023912613171782225,0.010881298280806695,0.0037161321644510813,0.13503866700193612,0.01752355074860534,0.017646041483211135,0.0,0.0,0.024400326542865905,0.027327223282162104,0.0,0.0,0.002624202951389752,0.0721666079989518,0.0007394902578368034,14
7,0.001821615364782874,0.010780118225058295,0.0037113699019779415,0.0911270059987146,0.017973666687602714,0.01801325655257609,0.0,0.0,0.02813406732364192,0.03198727403039172,0.0,0.0,0.002493972160606776,0.056394924999040086,-0.0004258457026375451,15
8,0.002838516190259885,0.010712098607247564,0.003694491828198526,0.2626769279995642,0.01679222867773806,0.016802948125305125,0.0,0.0,0.022090842568809145,0.022124243587501837,0.0,0.0,0.003014730964368726,0.10162497800047277,0.0012923606062837,19
9,0.0016049916382226183,0.010629022497495873,0.0036907233383623537,0.45918740200067987,0.018675786257407984,0.01825781777214753,0.0,0.0,0.022090842568809152,0.02212424358750184,0.0,0.0,0.0029458361500453263,0.13630882000143174,0.0012923606062837008,20
10,0.004012589705465296,0.012969621992041505,0.003618686198923674,23.22023135100244,0.016171530794738452,0.014702425494166537,0.0,0.0,0.013526556132826934,0.012560448512598738,0.0,0.0,0.005885230274684212,0.49128523700346705,0.004671327082758256,50
11,0.004013258527325421,0.012924570381588854,0.003617056483084585,17.956646778002323,0.016180850789500028,0.014715047014480589,0.0,0.0,0.013535899861948964,0.01257589618150396,0.0,0.0,0.005863304913177276,0.9725021240010392,0.004655816933894233,51
12,0.004422784522474552,0.0136964952736163,0.0035606579755046996,482.5531743950014,0.011830020700252524,0.013070801460058035,1.0,1.0,0.012339074862501789,0.013207251242496151,0.0,0.0,0.006974157622546384,1.817872357001761,0.004591266446723345,100
13,0.004422252786283064,0.013668048221628652,0.003559814311338118,766.4740874050003,0.01182883231315655,0.013070215247555967,1.0,1.0,0.012364158054644176,0.013185556276241154,0.0,0.0,0.006951593155051987,2.1650515090004774,0.004538068964389642,101
14,0.005195409551805575,0.014069018606507354,0.0035261574366687466,1387.4963035559995,0.01279312311326178,0.01366199800087784,1.0,1.0,0.013045108339931001,0.013057999321088878,0.0,0.0,0.007285454270781912,1.9970629749986983,0.0052269408572508955,150
15,0.0051599613511131735,0.014052867609814113,0.003525590573943804,1158.3141132520032,0.012833385878260764,0.013693341872822073,1.0,1.0,0.013045108339931,0.013057999321088875,0.0,0.0,0.0072722586719772275,1.8921713890013052,0.0052269408572508955,151
16,0.005659828885846693,0.015453237057063522,0.003501596865183085,336.86299538299863,0.012927940812020835,0.013608544328450305,1.0,1.0,0.012373241712392846,0.012344754828694605,0.0,0.0,0.008769223828213473,1.9215231900016079,0.005786043356067133,200
17,0.005657894570209581,0.015435273890455714,0.0035011709052329355,328.5770153630001,0.012926877059228521,0.013608553958275448,1.0,1.0,0.012373241712392844,0.012344754828694609,0.0,0.0,0.00875474236961082,1.9798353199985286,0.0057860433560671335,201
18,0.006050446523553635,0.01592872338872019,0.0034825429945804383,328.3405362279991,0.011487127459918754,0.012044348130565381,1.0,1.0,0.011045284993824605,0.01135138569879146,0.0,0.0,0.0094571454715164,3.3366386420020717,0.005201953903088429,250
19,0.005766958954834249,0.015943958270477836,0.0034822022531844966,373.7673599609989,0.010505008010168801,0.01121853796487571,1.0,1.0,0.011051830500149476,0.01133481647486573,0.0,0.0,0.009508926828498434,2.3049866760011355,0.005213493318427857,251
20,0.00579074200850754,0.01603598802306296,0.0034669892523229657,1116.8661708069994,0.01050481503570242,0.011203328261209244,1.0,1.0,0.011100757589762714,0.011195428133071963,0.0,0.0,0.009698056836514916,1.7238355550034612,0.005348038181457091,300
21,0.005783345134246133,0.01602218643875234,0.0034667055493365164,856.682354337001,0.010504872560948954,0.011205492832951566,1.0,1.0,0.01110075758976271,0.01119542813307196,0.0,0.0,0.009683841089276167,2.671051035998971,0.00534803818145709,301
