,Unnamed: 0,obj_values,MRO_obj_values,SAA_obj_values,epsilon,online_time,MRO_time,SAA_time,MRO_mean_val,MRO_square_val,MRO_sig_val,SAA_mean_val,SAA_square_val,SAA_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,SAA_worst_values,worst_times,MRO_worst_times,SAA_worst_times,worst_values_regret,MRO_worst_values_regret,SAA_worst_values_regret,worst_times_regret,MRO_worst_times_regret,SAA_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,SAA_eval0,SAA_eval1,SAA_satisfy0,SAA_satisfy1,SAA_worst_satisfy0,SAA_worst_satisfy1
10,10.0,0.0163595035257148,0.016359503525715274,0.002190480023365175,0.0138402125188588,0.00944251272799675,0.00639138925,0.0052613195,2.1681824839542845e-09,1.2738699380669933e-34,4.1634767120795095e-20,2.1681824839542845e-09,1.2738699380669933e-34,1.0757799737050157e-19,2.117476630343339e-09,3.598466871200676e-35,1.0074062310498479e-20,0.016359503203255025,0.01635950320325425,0.03228582443128567,0.00015276875,0.000157505,0.00015546875,0.016364585198614223,0.01636458519862055,0.0322858207695046,0.000165122,0.00016226925,0.00015669375,20.0,0.05480997040511165,0.056291973272393804,0.0160693077968179,0.017052234554587348,1.0,1.0,0.016069307796725676,0.017052234550610924,1.0,1.0,1.0,1.0,1.0,1.0,0.02285448936086805,0.02240566850823005,0.0,0.0,0.0,0.0
11,11.0,0.016306087607635352,0.016306087607632927,0.00227010556705445,0.0138266485946507,0.006585741907775825,0.0071901564284057255,0.0061270733442993,0.011692182203441625,0.001777766521171225,7.909251055396305e-05,0.011692182203441625,0.001777766521171225,0.00019663269488985,0.0116921822008607,0.001777766521171225,7.909251055534099e-05,0.016350338042516874,0.0163503380424067,0.03368908198254528,0.00015883150000000002,0.0001623305,0.000152957,0.016489688664100773,0.0164896886640971,0.0343463612250935,0.0001630565,0.00016113025,0.00015956424999999998,21.0,0.05259747298619287,0.054045778207412146,0.015638896557930125,0.015068147573562524,1.0,1.0,0.015638896557891524,0.015068147573955,1.0,1.0,1.0,1.0,1.0,1.0,0.021201504889231275,0.021863321455757475,0.0,0.0,0.0,0.0
12,12.0,0.017386964894260774,0.017316226022161575,0.003220467024165425,0.0137242796234304,0.006418486350067049,0.007054471710968,0.0063313744010925,0.07107733462969518,0.01171361922782955,0.0006886169309025251,0.07107733462969518,0.01171361922782955,0.00132486942140705,0.06910601637150762,0.011742405750896499,0.0006542399995383,0.017946493218988724,0.01794668167120775,0.03979909593716562,0.00018999775,0.00019104075,0.00019200400000000001,0.018914721534659673,0.018914721534591776,0.040624200943464625,0.00019390475,0.0001960055,0.00019057474999999998,30.0,0.038606021045421476,0.03937019165287783,0.01527627047379735,0.014589124315741626,1.0,1.0,0.015334719109316901,0.01401534676780845,1.0,1.0,1.0,1.0,1.0,1.0,0.018619123918791374,0.019319281783253473,0.0,0.0,0.0,0.0
13,13.0,0.0173174612190298,0.0173174604652758,0.00344245622675575,0.0137146174014274,0.0064222487774658,0.007155856646972575,0.0061408891795043,0.07600527728081342,0.012464806688245924,0.0007066018560653749,0.07600527728081342,0.012464806688245924,0.0014336030414590752,0.07378232571064439,0.0127068974938519,0.00074301665469005,0.01795096111328965,0.01793517175652795,0.03999020153631615,0.0001959575,0.0001957685,0.000193222,0.018183063891010227,0.0181831177125242,0.040066422969139974,0.00019414925,0.00019335874999999999,0.0001955785,31.0,0.03746707204216332,0.0382237817228956,0.015288187219814574,0.013972232390646124,1.0,1.0,0.01533104999167695,0.013659213395818274,1.0,1.0,1.0,1.0,1.0,1.0,0.01843044621280025,0.018517390227534,0.0,0.0,0.0,0.0
14,14.0,0.016531472589957727,0.016589299877279775,0.0030634276653394,0.0136383221982758,0.006858000431365925,0.007130854806274375,0.005958274328948925,0.10405438074945647,0.018399671296349278,0.0010073035500626,0.10405438074945647,0.018399671296349278,0.0015688328036851,0.10160794416994998,0.018090628439196375,0.001023267202865275,0.01838777034956715,0.018452519707527273,0.04730170352545408,0.0002325405,0.0002421225,0.000230936,0.019349227696627523,0.019345653187821527,0.040316416920290477,0.00024184250000000001,0.000234041,0.0002363625,40.0,0.029682538259772073,0.030388778124391475,0.0147581972409814,0.014319739932282124,1.0,1.0,0.014014268612100525,0.013695026898549775,1.0,1.0,1.0,1.0,1.0,1.0,0.018729179138527847,0.017734811417573725,0.0,0.0,0.0,0.0
15,15.0,0.016462055053864152,0.01649913812921045,0.0031080399473344,0.0136308303714564,0.007172594133819526,0.0074072943089904,0.006084978899932825,0.10561662854307043,0.01867398127449415,0.0010071418153268,0.10561662854307043,0.01867398127449415,0.001676606369481025,0.10376091421746272,0.018573215639870723,0.0010267313469085,0.018221491546879923,0.018386304932236076,0.04898933505292935,0.000242481,0.00024031750000000002,0.0002443475,0.018221938068186325,0.018294711394136177,0.048541583448211176,0.0002499045,0.000255255,0.00024205450000000002,41.0,0.0290115702413919,0.029699057101901752,0.014780442245885775,0.014342568872248825,1.0,1.0,0.014024819459116974,0.01379416996032495,1.0,1.0,1.0,1.0,1.0,1.0,0.01829465087658955,0.0180259590805052,0.0,0.0,0.0,0.0
16,16.0,0.016322073029836175,0.0162756526532574,0.0029780436805783,0.0135700732459637,0.0060313003485717494,0.0073311567367858495,0.006217720981903,0.12049059137762044,0.022271106168018275,0.0011341818781622,0.12049059137762044,0.022271106168018275,0.001980391919290875,0.12173663249662947,0.022407761723628176,0.00122829788036995,0.017871604761008974,0.018766751808913573,0.04685606483908318,0.00027311975,0.0002845305,0.00026533425,0.0182941068085381,0.018357276850990374,0.0489580215791076,0.0002791615,0.000282562,0.00027897425,50.0,0.0241954844721194,0.02473871187492085,0.014962161649267326,0.0143645043125506,1.0,1.0,0.014569618040784126,0.014051768363857475,1.0,1.0,1.0,1.0,1.0,1.0,0.0186049369831845,0.019265079467775923,0.0,0.0,0.0,0.0
17,17.0,0.016249727666296024,0.01622201425353525,0.003037916306077925,0.0135639618115671,0.0063661564140624505,0.006989903467712375,0.00615232096716305,0.12159643641662476,0.022620961282149202,0.00114472925412315,0.12159643641662476,0.022620961282149202,0.00192444747727255,0.12326198720792832,0.02329618058853595,0.001231151325879525,0.017749284448118373,0.018645323968801426,0.0453885298048861,0.00028004575,0.00027562775,0.00028525125,0.017750028807410726,0.018659810735177876,0.046715358081938205,0.000280196,0.00028647125000000003,0.00027486525,51.0,0.023805698541222425,0.024264462958104173,0.014979340844037625,0.014268407817011301,1.0,1.0,0.014385257564768151,0.013925741545232774,1.0,1.0,1.0,1.0,1.0,1.0,0.018865018981429674,0.019241086593812975,0.0,0.0,0.0,0.0
18,18.0,0.01714714075905585,0.01670505586817775,0.003710836144007425,0.0135135180213095,0.00620047196905515,0.00712031111856075,0.006222967302673275,0.13629544190816564,0.026287082533717275,0.0012989500980657,0.13629544190816564,0.026287082533717275,0.002279281562610425,0.13729025694660252,0.026751552721867876,0.00137172532177455,0.0189033417432787,0.019030100519844377,0.04819206955266745,0.00030917625,0.0003112545,0.00032882525,0.019413973278893826,0.019328681662308375,0.04628177506830365,0.00030833525,0.00031916375,0.00030559325,60.0,0.021933319363715124,0.02083981343638375,0.014675780211019975,0.01419512877003405,1.0,1.0,0.014900817979351326,0.013861101276726724,1.0,1.0,1.0,1.0,1.0,1.0,0.018629359231408703,0.016867051105802548,0.0,0.0,0.75,0.0
19,19.0,0.017239951710288325,0.01683189716816955,0.0038806820186431754,0.013508361074047,0.006780486402404725,0.007044437200469949,0.006021473680297775,0.13716857580603706,0.026236060439925275,0.0013103323460930249,0.13716857580603706,0.026236060439925275,0.0022299296646528,0.13890603357256684,0.027115691950188925,0.001374552835531675,0.018995755609059726,0.01911835820864885,0.0439714008830508,0.0003145745,0.00033098424999999996,0.0003305595,0.0190112535890617,0.019115192372465173,0.049479929755243526,0.00031399125,0.00032497575,0.000334009,61.0,0.02158579533410195,0.020524529661316925,0.01460273330504115,0.01413328981220475,1.0,1.0,0.0149461542638468,0.0138915138892301,1.0,1.0,1.0,1.0,1.0,1.0,0.018875743884148574,0.0162645527457233,0.0,0.0,0.75,0.0
