,Unnamed: 0,tau,obj_values,MRO_tau,MRO_obj_values,cluster_SAA_tau,cluster_SAA_obj_values,epsilon,online_time,MRO_time,cluster_SAA_time,MRO_square_val,MRO_sig_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,cluster_SAA_eval0,cluster_SAA_eval1,cluster_SAA_satisfy0,cluster_SAA_satisfy1
0,0.0,-0.0082477222161619,-0.0002063620853809462,-0.008247722215250225,-0.00020636208531307765,-0.010252963016630576,-0.0102529630166305,0.0043225324637831,0.6841474362299778,0.3091884274617769,0.09470389346824953,2.3668800450434203e-35,1.371943923778158e-20,2.3668800450434203e-35,1.371943915300386e-20,-0.00020634318632363894,-0.00020634318637516774,0.0001108149881474,7.049739360809326e-05,0.0,0.0,7.285241736099124e-05,5.87699469178915e-05,0.0,0.0509880077463704,0.017290130475100474,0.03141938086989865,0.028798289474845976,0.0,0.0,0.031419380870230974,0.028798289531017728,0.0,0.0,0.0,0.0,0.0,0.0,0.0467836918753424,0.03909572315933055,0.0,0.0
1,1.0,-0.0076453776022571,0.0009346303118943618,-0.0076453776028008,0.0009346302520814266,-0.008170777155807475,-0.008170777155807451,0.0043028750262966,2.0138764200964943,1.393085521645844,0.1308960962342098,2.082495706753033e-35,1.7098623318160908e-20,1.972400037536184e-35,1.75884727100685e-20,0.0009346623738547482,0.0009346624318448783,9.406078606843948e-05,7.49000464566052e-05,0.0039406156886485745,0.003940615659451125,7.22976983524859e-05,6.874505197629333e-05,1.0,0.06359623337971768,0.047658199995540246,0.026962786518952776,0.02601665818092705,0.0,0.0,0.026962786524895227,0.026016657531198074,0.0,0.0,0.0,0.0,0.0,0.0,0.03709592814426465,0.036269745837362526,0.0,0.0
2,2.0,-0.003911910277932175,0.0046687530448751005,-0.0039119102677122,0.004668753046138125,-0.00423995543914585,-0.0038932970818125003,0.0042594787018807,2.7345690256915987,2.43308856949443,0.1147378942114301,1.928960791585811e-35,3.2794535519813063e-20,1.3149333583574558e-35,1.160854486736129e-20,0.004668778676313,0.004668778678774725,0.000104380305856375,7.311755325645208e-05,0.012746211652269024,0.01274621163692855,7.035996532067657e-05,6.928021321073174e-05,4.0,0.05544482937020378,0.04899968733482778,0.017807888801798198,0.018512123122263,0.0,0.0,0.01780788881170665,0.018512123151190298,0.0,0.0,0.0,0.0,0.0,0.0,0.02211863787673335,0.0243329826031945,0.0,0.0
3,3.0,-0.00399467149647305,0.004560903258013175,-0.003994665278022325,0.0045609052976166,-0.00423995543914585,-0.003893297081812525,0.0042482739432866,3.1676270798780024,2.8309722472331487,0.03479779325425623,2.1524096586316184e-35,6.953526466887925e-20,1.1834400225217101e-35,7.824355085395663e-21,0.004560861445997825,0.004560861846831224,0.00010230235056949322,7.404986536130309e-05,0.006239155085278625,0.006239155093936124,7.011735578998923e-05,7.083185482770205e-05,5.0,0.05388363047966808,0.04785757974574705,0.016871429770495473,0.016920112343783475,0.0,0.0,0.016871388747948902,0.016920056201778673,0.0,0.0,0.0,0.0,0.0,0.0,0.020170510146771077,0.01981985106001075,0.0,0.0
4,4.0,-0.0007842351844251001,0.009392176588383025,-0.000785362544214625,0.009392147460322625,-0.0036363489889356497,0.0008671851774522249,0.0042126881675518,4.674359004828148,3.633555825566873,0.12031378003302957,2.2336771830193295e-35,5.146401659098345e-20,8.453143018012216e-36,1.112955451382865e-20,0.009392088952521426,0.009392084417390924,9.967491496353112e-05,6.96495408192277e-05,0.011734294034676351,0.011734276680038624,7.057510083541274e-05,7.154000923037529e-05,9.0,0.04362361971769972,0.04164377220985783,0.0153279145455479,0.0164435964300141,0.0,0.0,0.0153277871756201,0.01644384421076235,0.0,0.0,0.0,0.0,0.0,0.0,0.017635062763533025,0.017129786134909723,0.0,0.0
5,5.0,-0.0008060644650803,0.009342905995452726,-0.0008060355818695751,0.009342906062090324,-0.002902551149500175,0.000790780032342175,0.0042054282940117,3.6746687620761804,2.886076361814048,0.3817334723426029,2.485495561092377e-35,3.550946703840552e-20,7.889600150144734e-36,1.062461427460957e-20,0.0093428967772916,0.00934289681091365,0.0001028850674629,7.290748180821538e-05,0.00934476037398785,0.0093447578763869,7.377756992354989e-05,7.219502003863454e-05,10.0,0.042243042330497124,0.0408215438839448,0.015319950069604075,0.016476092208484273,0.0,0.0,0.01532000367761015,0.016476718116746697,0.0,0.0,0.0,0.0,0.0,0.0,0.017635062763533025,0.0172432277793515,0.0,0.0
6,6.0,-0.0014140755039908585,0.009936838966411201,-0.0014140455457515972,0.009936838950248876,-0.0017484236628658749,0.0010368511699688,0.0041806486850074,3.845631448086351,4.1559816565713845,0.12550218543037767,1.8386627717556745e-35,3.900296460670251e-20,6.228631697482685e-36,4.406377089117412e-21,0.009936832535532725,0.0099368325341105,0.00010093930177387499,7.836503209546208e-05,0.0131353016960835,0.013135327457764776,7.626978913322091e-05,7.656757952645421e-05,14.0,0.036405225256476104,0.03583069551242572,0.015913638135790525,0.0152293201479948,0.0,0.0,0.015913797784227624,0.015229376370083826,0.0,0.0,0.0,0.0,0.0,0.0,0.01756942531626715,0.0170310282586907,0.0,0.0
7,7.0,-0.0008522190434566249,0.00993858474245705,-0.0008522332266408749,0.009938636100252349,-0.0005288616545100499,0.001084954171145125,0.0041752911397251,3.985427778970916,6.015020486491267,0.3536963324295357,2.2794853942077875e-35,4.105538038388419e-20,5.917200112608551e-36,9.189601707183472e-21,0.00993853569430005,0.009938540209067825,0.000113291782326925,8.350081043317914e-05,0.010487240950230474,0.010487240426411274,7.951504085212946e-05,7.890013512223959e-05,15.0,0.035672969535900975,0.03525501603579177,0.01593503384832,0.014813562675836925,0.0,0.0,0.015935035190921876,0.014813239626166675,0.0,0.0,0.0,0.0,0.0,0.0,0.0169457793397214,0.0171052545547488,0.0,0.0
8,8.0,-0.0005689817240846501,0.009905988949811125,-0.0005689207689684251,0.009905990958266477,-0.0007994182988807,0.00108905316969645,0.0041563033067233,7.429749019443989,7.574471973231994,0.3009881825419143,2.0179824296692942e-35,3.3818247572570814e-20,4.931000093840459e-36,3.3165209969881935e-21,0.00990585116169445,0.0099058512790281,0.00011521269334475,9.501067688688636e-05,0.010549033475313399,0.010549012796064926,9.038759162649512e-05,8.661748142912984e-05,19.0,0.03221703579521315,0.0317664021268894,0.015757204557349025,0.014554185211621499,0.0,0.0,0.015757197123419626,0.014554178772179325,0.0,0.0,0.0,0.0,0.0,0.0,0.017044957279276476,0.01528153224627935,0.0,0.0
9,9.0,-0.000610380906712425,0.01192672072296195,-0.000610380906625725,0.01192672072141685,-0.000662652007851575,0.0029410462360859,0.0041520637556576,4.923841505777091,7.513681907963473,0.31472726748324925,2.489968921381995e-35,4.290702096588348e-20,4.73376009008684e-36,1.3555825377881267e-20,0.011926700647375527,0.011926700647354849,0.000122089986689325,9.45907668210566e-05,0.01238126304577035,0.0123812600824901,8.820317452773452e-05,8.390255970880389e-05,20.0,0.031229268072929327,0.0313328253820926,0.01573442811196115,0.014600789164504925,0.0,0.0,0.015734454926149423,0.014600980570132075,0.0,0.0,0.0,0.0,0.0,0.0,0.016975171489347476,0.015551257094001774,0.0,0.0
