,Unnamed: 0,DRO_tau,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_eval3,DRO_eval4,DRO_satisfy1,DRO_satisfy2,DRO_satisfy3,DRO_satisfy4,SA_eval1,SA_eval2,SA_eval3,SA_eval4,SA_satisfy1,SA_satisfy2,SA_satisfy3,SA_satisfy4,SA_obj_values,SA_time,SA_tau,t
0,0.0,0.005289291437529272,0.021609309049712044,0.005621278256416601,16.78334271935979,0.017014310202067683,0.018125813296744255,0.01764440888448752,0.01756790891678216,0.96,0.96,0.96,0.96,0.01764929220044468,0.018810337862579806,0.018206494776336783,0.018174941967423152,0.0,0.0,0.0,0.0,0.008436110883146296,0.9330451923259534,0.004976232606114004,0.0
1,1.0,0.005211281369627824,0.02168262775466351,0.0056194232945721,18.805960133643822,0.017050239968178303,0.018200338634788586,0.017694989622358225,0.017644279278126486,0.96,0.96,0.96,0.96,0.0175515681858244,0.01873400885070456,0.018115789580605023,0.01810885647969589,0.0,0.0,0.0,0.0,0.008505654613641975,0.7935359985614195,0.004962522348208048,1.0
2,2.0,0.006563156869463998,0.024625935246293543,0.005519288080199098,74.35311968294438,0.015885550202272045,0.01662375850765407,0.01628662638625197,0.016168477966167064,1.0,1.0,1.0,1.0,0.01599575338627468,0.01677991845255648,0.01634532639906985,0.016250550426206573,0.04,0.04,0.0,0.04,0.011875837955401973,1.0550130945886484,0.006408075065629419,100.0
3,3.0,0.006480083560506619,0.024615979917424435,0.005518676894951401,77.52632885943167,0.015878620759380888,0.016638589850010408,0.016303294250155385,0.016190628539738582,1.0,1.0,1.0,1.0,0.01601784738426129,0.016820959311393827,0.016384416841624203,0.016301927793192714,0.04,0.0,0.0,0.04,0.011857696782549805,1.1719322933536023,0.006313838510291656,101.0
4,4.0,0.006834947536643513,0.02548451348980098,0.005472497647822202,157.12854528876255,0.015561584137986363,0.016312595526773686,0.015852612809742178,0.015844552538672504,1.0,1.0,1.0,1.0,0.015604763090320637,0.016425140102370527,0.015804892169455607,0.015863319995140047,0.0,0.0,0.0,0.0,0.01285511651385991,1.1858245698851533,0.006804684085626569,200.0
5,5.0,0.006822956429670646,0.02546917819362693,0.0054721335544843965,155.54744419143535,0.015594147357744736,0.016346419803629858,0.01588519612834608,0.01587430427678878,1.0,1.0,1.0,1.0,0.015604952576895087,0.01642961944435991,0.015809705124183383,0.01586824982788297,0.0,0.0,0.0,0.0,0.012839229774511813,1.9500254314742052,0.006779346095959355,201.0
6,6.0,0.007064134707574436,0.02587191611181934,0.005441894478605601,252.02181828890926,0.015276140223040677,0.016019881921394925,0.015588919293862429,0.01553857665987671,1.0,1.0,1.0,1.0,0.015322508021158233,0.016116693981849263,0.015534598777899651,0.01554455917161925,0.04,0.0,0.04,0.04,0.013404778554754828,1.9988791792024858,0.006945709676791957,300.0
7,7.0,0.007003693105819326,0.025925284598091257,0.005441635716418801,241.83036913704126,0.015296032104272503,0.016049043590986984,0.015623226305363462,0.015559793437101309,1.0,1.0,1.0,1.0,0.015324806430416322,0.016144697100892755,0.015538502987532293,0.015549608325898629,0.0,0.0,0.04,0.04,0.01344815730251785,2.1105867653829047,0.006960632465468991,301.0
8,8.0,0.007020363595269031,0.025990650517403003,0.005419148372072701,322.40852298285347,0.015255929446301074,0.015968836146275492,0.015545672437710942,0.015483466325272697,1.0,1.0,1.0,1.0,0.015147446426715925,0.015971931276202837,0.015366273008447834,0.01539714155624204,0.08,0.0,0.04,0.04,0.01363139193770147,2.669905481308233,0.006988096212127952,400.0
9,9.0,0.006983080129973329,0.025975778685196797,0.005418947889262699,333.26456278620054,0.015284031477594584,0.016010706199788505,0.015560777741136827,0.015510483189594288,1.0,1.0,1.0,1.0,0.015152852328948543,0.015978549594153287,0.015375796723162133,0.015404099914475779,0.08,0.0,0.04,0.04,0.013617354355825841,3.7814589000400156,0.006978585586208017,401.0
