,obj_values,MRO_obj_values,SAA_obj_values,epsilon,online_time,MRO_time,SAA_time,MRO_mean_val,MRO_square_val,MRO_sig_val,SAA_mean_val,SAA_square_val,SAA_sig_val,mean_val,square_val,sig_val,worst_values,MRO_worst_values,SAA_worst_values,worst_times,MRO_worst_times,SAA_worst_times,worst_values_regret,MRO_worst_values_regret,SAA_worst_values_regret,worst_times_regret,MRO_worst_times_regret,SAA_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,SAA_eval0,SAA_eval1,SAA_satisfy0,SAA_satisfy1,SAA_worst_satisfy0,SAA_worst_satisfy1
0,-0.01578999586370924,-0.015789995863714087,-0.03885640093823998,0.018453616691811767,0.0611955805222168,0.059745732,0.005355843,2.9802322387695314e-09,4.07600829437705e-34,7.41624287225843e-26,2.9802322387695314e-09,4.07600829437705e-34,1.9370442162630631e-19,2.9802322387695314e-09,4.07600829437705e-34,7.416252430775471e-26,-0.01578999755786517,-0.015789997557867842,0.01158217134450295,0.00026297569274902344,0.00018739700317382812,0.000213623046875,0.0,0.0,0.0,4.4345855712890625e-05,3.4809112548828125e-05,3.337860107421875e-05,0,0.09740554134152332,7.051305185579171e-09,-0.01578999789071595,-0.015789999369114252,1.0,1.0,-0.015789997890713694,-0.015789999369113912,1.0,1.0,1.0,1.0,1.0,1.0,0.013927581421024847,0.010863893376947386,0.0,0.0,0.0,0.0
1,-0.015789997349486634,-0.015789997349473717,-0.03885639702772912,0.01828615653523656,0.07232341055078124,0.071930073,0.004193329,2.483526865641276e-09,4.362583715202947e-34,1.478899022486972e-26,2.483526865641276e-09,4.362583715202947e-34,1.614205593387905e-19,2.483526865641276e-09,3.396673578647542e-34,2.4363176799569342e-26,-0.01578999845346717,-0.015789998453460484,0.010974880639559287,0.0002696514129638672,0.0001800060272216797,0.0002193450927734375,-0.015789996506406945,-0.015789996506410994,0.010974885802426677,0.0002048015594482422,0.00014853477478027344,0.000148773193359375,1,0.1405342621383262,0.1302354512780915,-0.015789998951244385,-0.015789999399454083,1.0,1.0,-0.015789998951248264,-0.01578999939945543,1.0,1.0,1.0,1.0,1.0,1.0,0.013927575970466503,0.010863897283848956,0.0,0.0,0.0,0.0
2,-0.01578999924065733,-0.015789999240656855,-0.036973553816863264,0.017919169196815247,0.12482070804260254,0.12438012,0.004974562,5.652860738126925e-09,3.936937108730756e-34,3.487408732607337e-28,5.652860738126925e-09,3.936937108730756e-34,1.067202568112751e-27,5.652860738126925e-09,2.2644490524316945e-34,1.7526584824131217e-27,-0.015789999434643143,-0.01578999943464283,0.011730843470479708,0.0003666877746582031,0.00021839141845703125,0.00029778480529785156,-0.015789998260587173,-0.01578999826057939,0.03904136896810617,0.0002617835998535156,0.000255584716796875,0.00024271011352539062,4,0.12338570558066968,0.161004786610873,-0.015789999554771658,-0.015789999576847572,1.0,1.0,-0.01578999955477185,-0.01578999957684747,1.0,1.0,1.0,1.0,1.0,1.0,0.016218955152333944,0.008644200192353872,0.0,0.0,0.0,0.0
3,-0.015789996477923538,-0.015789996477884816,-0.03456620390415743,0.01782501876267491,0.1422410450633545,0.142043281,0.005891818,5.087574664314233e-09,4.261673402656608e-34,2.2563149961857456e-26,5.087574664314233e-09,4.261673402656608e-34,2.2175926830148273e-19,5.087574664314233e-09,2.038004147188525e-34,1.510386149177873e-26,-0.01578999800052994,-0.015789998000528247,0.005315148968069637,0.0003857612609863281,0.0002760887145996094,0.0003349781036376953,-0.01578999944274918,-0.015789999442748896,0.01768248271641131,0.0002779960632324219,0.00023865699768066406,0.00023245811462402344,5,0.11690154848511182,0.15677420813946755,-0.015789998968329947,-0.015789999145407036,1.0,1.0,-0.01578999896833817,-0.015789999145413104,1.0,1.0,1.0,1.0,1.0,1.0,0.010394625134686742,0.005911169018908755,0.0,0.0,0.0,0.0
4,-0.015789997526961662,-0.015789997526949866,-0.03042213326325905,0.017527646021759286,0.2006594330415039,0.198611074,0.007184062,5.308374493616054e-09,5.072413194593112e-34,1.8937211652433766e-27,5.308374493616054e-09,5.072413194593112e-34,1.7519812967903641e-19,4.555752198778661e-09,1.4557172479918037e-34,4.1048623292662915e-27,-0.015789998647109036,-0.015789998647103492,0.00013636184917685187,0.00047898292541503906,0.0003790855407714844,0.00044083595275878906,-0.015789997212270698,-0.015789997212262978,0.015042925107468137,0.0003733634948730469,0.0003707408905029297,0.0003609657287597656,9,0.09264276710623859,0.1337510144035599,-0.015789999267921687,-0.015789999261493357,1.0,1.0,-0.015789999267923766,-0.015789999261495474,1.0,1.0,1.0,1.0,1.0,1.0,-0.004146165074006152,-0.006056094235357788,0.0,0.0,0.0,0.0
5,-0.015789996283447787,-0.015789996283462934,-0.0301621426780033,0.0174672860603206,0.1994173213857422,0.209373119,0.007621461,5.814801803358912e-09,3.88860216876133e-34,9.6418271767308e-27,5.814801803358912e-09,3.88860216876133e-34,1.9816562754088394e-19,5.1123543281773444e-09,1.3586694314590168e-34,3.347609924217604e-27,-0.015789998067429898,-0.01578999806739061,-9.274086889745486e-05,0.00047898292541503906,0.0003504753112792969,0.0004658699035644531,-0.015789998587070215,-0.015789998587064338,0.0019183015890516936,0.00033354759216308594,0.0003788471221923828,0.00038623809814453125,10,0.08635686140551409,0.12913450961961245,-0.01578999861146129,-0.015789998597082508,1.0,1.0,-0.01578999861145663,-0.015789998597077783,1.0,1.0,1.0,1.0,1.0,1.0,-0.007626021553619919,-0.00804391029451862,0.0,0.0,0.0,0.0
6,-0.01578999941002377,-0.01578999946700401,-0.03443928054992354,0.017262047829584844,0.19984803126037598,0.22188008381823732,0.009602105818237304,0.07712245805073693,0.01896781888555824,0.00013589820850297876,0.07712245805073693,0.01896781888555824,0.002103086384691759,0.1046569886418384,0.031017581978079554,0.0015646801669481792,-0.01578999952927826,-0.01578999955877543,0.010846301353584498,0.0005822181701660156,0.0005028247833251953,0.0005543231964111328,-0.015789998085439242,-0.015789998085409637,-0.0012906952702441028,0.0004954338073730469,0.0004940032958984375,0.0004851818084716797,14,0.06911813209047231,0.10955064401578624,-0.015789999610985924,-0.015789999609367757,1.0,1.0,-0.015789999588474685,-0.01578999958643405,1.0,1.0,1.0,1.0,1.0,1.0,0.0006825239214425133,0.0006685246934438071,0.0,0.0,0.0,0.0
7,-0.015789999288425324,-0.01578999938394023,-0.031039860295695686,0.017217833186634696,0.21332839142089843,0.21407901670568846,0.009575012705688477,0.08892904410697988,0.02272849836817132,0.00012910329975055124,0.08892904410697988,0.02272849836817132,0.0015184855219853258,0.1202391850321016,0.03379936420504303,0.001486446164782737,-0.01578999948076535,-0.015789999511105067,0.005196819411277226,0.0005841255187988281,0.00045418739318847656,0.0005574226379394531,-0.015789999523333258,-0.015789999554486553,0.015966928885926886,0.0005204677581787109,0.0005152225494384766,0.0004968643188476562,15,0.06542564530114252,0.11779938120034565,-0.015789999594538816,-0.015789999589881743,1.0,1.0,-0.015789999515207667,-0.015789999513338066,1.0,1.0,1.0,1.0,1.0,1.0,-0.0046891879361596065,-0.007907961191424194,0.0,0.0,0.0,0.0
8,-0.015789999508257335,-0.015789995720201552,-0.031177033307196986,0.01706158733578211,0.21555856346325683,0.22092438558654784,0.00925728958654785,0.13722083852919384,0.037958868430551795,0.00011954029982998956,0.13722083852919384,0.037958868430551795,0.002102565608473682,0.16183834766579006,0.04937456579791402,0.0025411014586543498,-0.015789999574969828,-0.01578999773528965,0.00589084005615961,0.0006911754608154297,0.0005452632904052734,0.0006585121154785156,-0.01578999948237189,-0.015789999516769085,0.005240475101404914,0.0006182193756103516,0.000637054443359375,0.0006124973297119141,19,0.05401288827853172,0.1112908705956673,-0.015789998702787494,-0.01578999864743061,1.0,1.0,-0.01578999961038119,-0.015789999609359562,1.0,1.0,1.0,1.0,1.0,1.0,-0.004761918896977166,-0.0092991516049066,0.0,0.0,0.0,0.0
9,-0.015789998013699073,-0.015789999330514733,-0.03234477117006443,0.017026798450415694,0.2116276383626709,0.23880865963342285,0.01026824063342285,0.17051259987664158,0.04612286892813932,0.002571409550793333,0.17051259987664158,0.04612286892813932,0.002650629126657284,0.1706026967142832,0.05297905279446019,0.002506804180063707,-0.01578999879076672,-0.015789999476448942,0.010296997231747977,0.0007042884826660156,0.0006422996520996094,0.0006897449493408203,-0.015789999575538068,-0.01578999774807723,0.00547028141168204,0.0006420612335205078,0.0006418228149414062,0.0006296634674072266,20,0.05173836055956288,0.1265303960488948,-0.0157899995812764,-0.01578999958031051,1.0,1.0,-0.015789999338493635,-0.015789999335524097,1.0,1.0,1.0,1.0,1.0,1.0,3.314091480615955e-06,-0.004809919308596771,0.0,0.0,0.0,0.0
