,Unnamed: 0,DRO_obj_values,epsilon,DRO_time,DRO_eval1,DRO_eval2,DRO_satisfy1,DRO_satisfy2,SA_eval1,SA_eval2,SA_satisfy1,SA_satisfy2,SA_obj_values,SA_time,t
0,0.0,0.6483775618376629,0.6708203932499369,0.018220984900835874,0.9220866716159354,0.910397079882142,0.0,0.0,4.072141015423462,4.47966765244635,0.0,0.0,0.0,0.007486224058084126,0.0
1,1.0,0.6195794808840339,0.6123724356957946,0.038820128422230454,0.9219601542346358,0.8888983106220341,0.0,0.0,4.643573039490704,4.591066635183841,0.0,0.0,0.0,0.022397524560801626,1.0
2,2.0,0.664780864776592,0.5,0.15847662201849738,0.8788630421454922,0.8699524055820265,0.0,0.0,1.9593523948975946,2.0856127063731553,0.0,0.0,3.947459643111668e-16,0.06934041151544078,4.0
3,3.0,0.6737056020148067,0.4743416490252569,0.2759264388587326,0.8954626821936236,0.9468525831976097,0.0,0.0,2.769882464829985,2.450492145381854,0.0,0.0,6.383782391594651e-16,0.21114559902343893,5.0
4,4.0,0.7113024608054574,0.4008918628686366,0.47080519632436324,0.8512796183752878,0.8608437761332957,0.0,0.0,2.086213630961695,2.121921957198292,0.0,0.0,3.3901453073375314e-16,0.2649576702388003,9.0
5,5.0,0.7000956120605999,0.3872983346207416,0.2362749262247234,0.8344692036018728,0.8167211039167757,0.0,0.0,1.3568995317815986,1.5991176134579679,0.0,0.0,2.164934898019055e-16,0.18371135566849256,10.0
6,6.0,0.7244643812438458,0.3441236008058426,0.409934330440592,0.7616475264449429,0.7532177012416518,0.0,0.0,3.040382530377516,3.1430139045754757,0.0,0.0,2.5272182007914746e-16,1.192324340750929,14.0
7,7.0,0.7368685708296185,0.3354101966249684,0.4739808688755147,0.7544814348466695,0.7468721277313348,0.0,0.0,2.4071662327192898,2.564265925416474,0.0,0.0,1.942890293094024e-16,0.49797497951658437,15.0
8,8.0,0.7309722150547882,0.3061862178478973,0.7450971060898155,0.7617091909905676,0.7412709969724796,0.0,0.0,2.4794867919936006,2.742487569549408,0.0,0.0,1.202741610010586e-16,6.92508621676825,19.0
9,9.0,0.7242560373232014,0.3,0.7781213045236655,0.7473699602436132,0.6935383038710949,0.0,0.0,3.217336890281943,3.5241653925761294,0.0,0.0,9.2148511043888e-17,6.136513352626935,20.0
10,10.0,0.7230036976748113,0.2572478777137632,1.0771739592310041,0.7163191379182541,0.7078284193179093,0.0,0.0,2.760472883327669,2.6787635944517145,0.0,0.0,1.5183932542667582e-16,27.056057702808175,29.0
