,obj_values,MRO_obj_values,cluster_SAA_obj_values,epsilon,online_time,MRO_time,cluster_SAA_time,MRO_square_val,MRO_sig_val,square_val,sig_val,worst_values,MRO_worst_values,worst_times,MRO_worst_times,worst_values_regret,MRO_worst_values_regret,worst_times_regret,MRO_worst_times_regret,t,regret_bound,MRO_regret_bound,MRO_eval0,MRO_eval1,MRO_satisfy0,MRO_satisfy1,O_eval0,O_eval1,O_satisfy0,O_satisfy1,O_worst_satisfy0,O_worst_satisfy1,MRO_worst_satisfy0,MRO_worst_satisfy1,cluster_SAA_eval0,cluster_SAA_eval1,cluster_SAA_satisfy0,cluster_SAA_satisfy1
0,0.4540161107026531,0.45401611070265246,1.5765166949677224e-15,0.3389133250039704,0.07876000134274364,0.0030388659797608852,0.0024514473043382168,1.1490338789457297e-31,0.0,1.1490338789457297e-31,0.0,0.4540161107026531,0.45401611070265246,2.1219253540039062e-05,1.3828277587890625e-05,1.0,1.0,1.6689300537109375e-05,1.0728836059570312e-05,0,1.2489696812766036,0.0,0.9946177844512988,0.9813387624253184,0.0,0.0,0.9946177844512986,0.9813387624253184,0.0,0.0,0.0,0.0,0.0,0.0,4.423379449850929,5.005596173300875,0.0,0.0
1,0.7150394960447888,0.7150394960447887,1.7208456881689926e-15,0.337679751340865,0.0030613881535828114,0.003063835669308901,0.002644867170602083,1.0711580991736218e-31,1.850371707708594e-17,9.575282324547748e-32,0.0,0.7150394960447888,0.7150394960447887,2.0265579223632812e-05,1.2159347534179688e-05,0.7843570798219772,0.7843570798219766,1.6450881958007812e-05,1.049041748046875e-05,1,1.745811917722026,1.8268945580579155,1.0002876533939402,0.9923376056663692,0.0,0.0,1.0002876533939402,0.9923376056663693,0.0,0.0,0.0,0.0,0.0,0.0,4.111656484823037,4.412991243572256,0.0,0.0
2,0.7689634513527553,0.7689634513527555,8.018277400070575e-16,0.33495247729348543,0.003155266400426626,0.0030838758684694767,0.0035687261261045933,1.3113259330165118e-31,0.0,6.383521549698499e-32,0.0,0.7689634513527552,0.7689634513527555,2.0742416381835938e-05,1.239776611328125e-05,1.0245372172752432,1.0245372172752445,1.71661376953125e-05,1.1682510375976562e-05,4,1.406329962889547,1.865366927254048,1.0050882407204238,0.9435792776266788,0.0,0.0,1.0050882407204238,0.9435792776266788,0.0,0.0,0.0,0.0,0.0,0.0,3.8102685246345174,4.082632753459073,0.0,0.0
3,0.7990271238228802,0.7990271238228797,0.0,0.33424740510750256,0.003454342484474182,0.003422906156629324,0.01347897294908762,1.2024024717024605e-31,0.0,5.745169394728648e-32,0.0,0.7990271238228801,0.7990271238228797,2.193450927734375e-05,1.239776611328125e-05,0.8513519058848051,0.8513519058848051,1.6689300537109375e-05,1.0251998901367188e-05,5,1.3348181109597752,1.7874608005959354,1.0084442650408691,0.9811179353053554,0.0,0.0,1.0084442650408685,0.9811179353053545,0.0,0.0,0.0,0.0,0.0,0.0,2.874101021606509,3.685205853814811,0.0,0.0
4,0.9345002942238112,0.9469190758577679,3.139251311009063e-16,0.3272051152083444,0.01400403818115592,0.015525054186582565,0.016001364216208458,3.5923562392022452,0.06177485938210028,6.000372941642109,0.07696293665035213,0.951107577145829,0.9469190758577678,2.5987625122070312e-05,1.3113021850585938e-05,1.4131081640794083,1.4131081640794083,1.7404556274414062e-05,1.0967254638671875e-05,24,0.60743588685186,0.7347497432174254,0.9776969219193842,1.040109066410887,0.0,0.0,0.978552500454484,1.0503032135705839,0.0,0.0,1.0,0.0,1.0,0.0,2.8344903173227167,3.7378141742037805,0.0,0.0
5,0.9377223053139276,0.9460178107482609,3.0346096006420946e-16,0.32698333518127576,0.003922390751540661,0.0037351250648498535,0.00421178387477994,3.620317001751495,0.06342673959536446,5.957121582408003,0.07470352528735959,0.9537760121385448,0.9494165025058077,2.002716064453125e-05,1.239776611328125e-05,0.953776012138545,0.9497068169083396,1.6689300537109375e-05,1.049041748046875e-05,25,0.5872567946045145,0.7082177049109764,0.9791681666324632,1.0413243585936365,0.0,0.0,0.978552500454484,1.0503032135705839,0.0,0.0,1.0,0.0,1.0,0.0,2.8344903173227167,3.7378141742037805,0.0,0.0
6,0.9884643123827279,0.9792553406020845,2.878355989768924e-17,0.3231619121242026,0.0036688344553112984,0.00387076148763299,0.0042352317832410336,10.378281029227033,0.12204617899161485,10.74337765176691,0.02766788503587235,0.9884643123827281,1.0273085466529221,2.1696090698242188e-05,1.2874603271484375e-05,1.0633008402023465,1.0509055888233192,1.71661376953125e-05,1.0967254638671875e-05,49,0.32939687011861757,0.37875475550271553,0.9766310022981719,1.0254931449388305,1.0,0.0,0.9849247639427158,1.0004158905938199,1.0,0.0,1.0,1.0,1.0,1.0,2.932783637329587,3.1868633991102775,0.0,0.0
7,0.98874814435274,0.9887481443527398,1.6148698540002277e-16,0.3230433390279182,0.0036837230436503887,0.005363014992326498,0.021644964814186096,6.339353052945156,0.034417619016295704,11.008195122159474,0.027404095318482938,0.9887481443527403,0.98874814435274,2.7179718017578125e-05,1.3113021850585938e-05,0.9887481443527402,1.0334160186505985,1.7404556274414062e-05,1.1444091796875e-05,50,0.3241677966253364,0.4953375180654371,0.9849247639427159,1.0004158905938199,1.0,0.0,0.9849247639427157,1.0004158905938199,1.0,0.0,1.0,1.0,1.0,1.0,3.193829117680699,3.2211315955975515,0.0,0.0
8,0.9999999999999998,1.0,1.708035422500241e-16,0.31895350394419714,0.0025297747924923897,0.0023048007860779762,0.09247631765902042,10.261346471844112,0.0,12.005962914203169,1.2810265668751807e-17,0.9999999999999999,0.9999999999999998,3.838539123535156e-05,1.3113021850585938e-05,1.0054253870081942,1.005425387008194,1.7881393432617188e-05,1.1444091796875e-05,99,0.17219485162662992,0.25564173003890756,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.629124621471272,2.802571054952222,0.0,0.0
9,1.0,1.0,9.093255249310806e-17,0.3188924655867707,0.002722112461924553,0.004130091983824968,0.023766507860273123,7.955073716645465,7.401486830834377e-18,11.948592746208135,9.410461827775136e-17,1.0,0.9999999999999999,2.8133392333984375e-05,1.33514404296875e-05,0.9999999999999999,0.9999999999999998,1.8358230590820312e-05,1.1205673217773438e-05,100,0.17061994388191867,0.30154821947859184,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.7247335847751204,4.604689441054885,0.0,0.0
